"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2016"	"2016/01"	"< 1 year"	"0"	1932	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"1 year"	"1"	138	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"2 years"	"2"	82	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"3 years"	"3"	52	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"4 years"	"4"	49	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"5 years"	"5"	59	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"6 years"	"6"	42	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"7 years"	"7"	42	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"8 years"	"8"	31	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"9 years"	"9"	40	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"10 years"	"10"	44	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"11 years"	"11"	33	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"12 years"	"12"	59	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"13 years"	"13"	51	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"14 years"	"14"	72	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"15 years"	"15"	94	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"16 years"	"16"	131	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"17 years"	"17"	168	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"18 years"	"18"	196	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"19 years"	"19"	274	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"20 years"	"20"	241	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"21 years"	"21"	311	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"22 years"	"22"	327	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"23 years"	"23"	328	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"24 years"	"24"	401	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"25 years"	"25"	408	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"26 years"	"26"	409	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"27 years"	"27"	376	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"28 years"	"28"	384	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"29 years"	"29"	403	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"30 years"	"30"	424	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"31 years"	"31"	449	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"32 years"	"32"	502	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"33 years"	"33"	512	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"34 years"	"34"	491	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"35 years"	"35"	503	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"36 years"	"36"	543	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"37 years"	"37"	553	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"38 years"	"38"	582	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"39 years"	"39"	615	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"40 years"	"40"	616	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"41 years"	"41"	659	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"42 years"	"42"	682	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"43 years"	"43"	809	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"44 years"	"44"	885	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"45 years"	"45"	944	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"46 years"	"46"	1010	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"47 years"	"47"	1110	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"48 years"	"48"	1200	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"49 years"	"49"	1294	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"50 years"	"50"	1469	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"51 years"	"51"	1730	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"52 years"	"52"	1871	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"53 years"	"53"	2072	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"54 years"	"54"	2262	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"55 years"	"55"	2522	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"56 years"	"56"	2674	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"57 years"	"57"	2870	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"58 years"	"58"	3088	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"59 years"	"59"	3215	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"60 years"	"60"	3268	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"61 years"	"61"	3475	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"62 years"	"62"	3522	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"63 years"	"63"	3788	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"64 years"	"64"	3843	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"65 years"	"65"	3795	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"66 years"	"66"	4022	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"67 years"	"67"	4299	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"68 years"	"68"	4654	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"69 years"	"69"	4706	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"70 years"	"70"	4033	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"71 years"	"71"	4409	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"72 years"	"72"	4885	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"73 years"	"73"	5124	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"74 years"	"74"	4966	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"75 years"	"75"	5027	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"76 years"	"76"	5063	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"77 years"	"77"	5261	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"78 years"	"78"	5355	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"79 years"	"79"	5686	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"80 years"	"80"	5999	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"81 years"	"81"	6167	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"82 years"	"82"	6106	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"83 years"	"83"	6642	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"84 years"	"84"	6757	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"85 years"	"85"	7274	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"86 years"	"86"	7062	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"87 years"	"87"	7234	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"88 years"	"88"	7392	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"89 years"	"89"	7024	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"90 years"	"90"	6889	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"91 years"	"91"	6534	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"92 years"	"92"	5880	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"93 years"	"93"	5231	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"94 years"	"94"	4658	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"95 years"	"95"	3669	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"96 years"	"96"	2864	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"97 years"	"97"	2291	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"98 years"	"98"	1692	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"99 years"	"99"	1298	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"100+ years"	"100"	2643	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"< 1 year"	"0"	1894	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"1 year"	"1"	128	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"2 years"	"2"	67	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"3 years"	"3"	60	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"4 years"	"4"	57	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"5 years"	"5"	37	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"6 years"	"6"	50	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"7 years"	"7"	42	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"8 years"	"8"	39	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"9 years"	"9"	37	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"10 years"	"10"	49	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"11 years"	"11"	42	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"12 years"	"12"	46	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"13 years"	"13"	56	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"14 years"	"14"	73	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"15 years"	"15"	92	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"16 years"	"16"	128	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"17 years"	"17"	155	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"18 years"	"18"	183	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"19 years"	"19"	227	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"20 years"	"20"	264	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	"21 years"	"21"	313	Not Applicable	Not Applicable
