"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Jan., 2004"	"2004/01"	"Alabama"	"01"	4504	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Alaska"	"02"	247	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Arizona"	"04"	3974	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Arkansas"	"05"	2693	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"California"	"06"	23207	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Colorado"	"08"	2672	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Connecticut"	"09"	3017	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Delaware"	"10"	747	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"District of Columbia"	"11"	526	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Florida"	"12"	16630	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Georgia"	"13"	6676	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Hawaii"	"15"	862	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Idaho"	"16"	880	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Illinois"	"17"	10349	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Indiana"	"18"	5334	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Iowa"	"19"	2837	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Kansas"	"20"	2344	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Kentucky"	"21"	4046	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Louisiana"	"22"	3791	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Maine"	"23"	1322	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Maryland"	"24"	4332	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Massachusetts"	"25"	5813	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Michigan"	"26"	8597	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Minnesota"	"27"	3670	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Mississippi"	"28"	2656	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Missouri"	"29"	5378	Not Applicable	Not Applicable
