"Notes"	"Month"	"Month Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"Jan., 2021"	"2021/01"	"Alabama"	"01"	8048	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Alaska"	"02"	486	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Arizona"	"04"	10057	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Arkansas"	"05"	4198	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"California"	"06"	47999	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Colorado"	"08"	4372	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Connecticut"	"09"	3761	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Delaware"	"10"	1229	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"District of Columbia"	"11"	661	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Florida"	"12"	24337	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Georgia"	"13"	12910	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Hawaii"	"15"	990	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Idaho"	"16"	1518	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Illinois"	"17"	12349	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Indiana"	"18"	8027	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Iowa"	"19"	3324	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Kansas"	"20"	3323	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Kentucky"	"21"	5793	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Louisiana"	"22"	5928	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Maine"	"23"	1574	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Maryland"	"24"	6075	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Massachusetts"	"25"	6814	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Michigan"	"26"	10598	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Minnesota"	"27"	4616	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Mississippi"	"28"	4501	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Missouri"	"29"	7383	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Montana"	"30"	1061	Not Applicable	Not Applicable
	"Jan., 2021"	"2021/01"	"Nebraska"	"31"	1792	Not Applicable	Not Applicable
