"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	766	110153	695.4
	"1999"	"1999"	"1 year"	"1"	47	109969	42.7
	"1999"	"1999"	"2 years"	"2"	36	111183	32.4
	"1999"	"1999"	"3 years"	"3"	24	113576	21.1
	"1999"	"1999"	"4 years"	"4"	27	117695	22.9
	"1999"	"1999"	"5 years"	"5"	14	118358	Unreliable
	"1999"	"1999"	"6 years"	"6"	14	119345	Unreliable
	"1999"	"1999"	"7 years"	"7"	14	122359	Unreliable
	"1999"	"1999"	"8 years"	"8"	15	121561	Unreliable
	"1999"	"1999"	"9 years"	"9"	15	123113	Unreliable
	"1999"	"1999"	"10 years"	"10"	18	121204	Unreliable
	"1999"	"1999"	"11 years"	"11"	14	117905	Unreliable
	"1999"	"1999"	"12 years"	"12"	12	114146	Unreliable
	"1999"	"1999"	"13 years"	"13"	11	111143	Unreliable
	"1999"	"1999"	"14 years"	"14"	19	110240	Unreliable
	"1999"	"1999"	"15 years"	"15"	23	106684	21.6
	"1999"	"1999"	"16 years"	"16"	34	108944	31.2
	"1999"	"1999"	"17 years"	"17"	47	109100	43.1
	"1999"	"1999"	"18 years"	"18"	62	100439	61.7
	"1999"	"1999"	"19 years"	"19"	62	96587	64.2
	"1999"	"1999"	"20 years"	"20"	59	95937	61.5
	"1999"	"1999"	"21 years"	"21"	83	93857	88.4
	"1999"	"1999"	"22 years"	"22"	72	94958	75.8
	"1999"	"1999"	"23 years"	"23"	66	94445	69.9
	"1999"	"1999"	"24 years"	"24"	65	98677	65.9
	"1999"	"1999"	"25 years"	"25"	70	100246	69.8
	"1999"	"1999"	"26 years"	"26"	74	102336	72.3
	"1999"	"1999"	"27 years"	"27"	76	107387	70.8
	"1999"	"1999"	"28 years"	"28"	85	116020	73.3
	"1999"	"1999"	"29 years"	"29"	110	122822	89.6
	"1999"	"1999"	"30 years"	"30"	116	126882	91.4
	"1999"	"1999"	"31 years"	"31"	101	123220	82.0
	"1999"	"1999"	"32 years"	"32"	152	130254	116.7
	"1999"	"1999"	"33 years"	"33"	144	133454	107.9
	"1999"	"1999"	"34 years"	"34"	174	142789	121.9
	"1999"	"1999"	"35 years"	"35"	211	148752	141.8
	"1999"	"1999"	"36 years"	"36"	196	145588	134.6
	"1999"	"1999"	"37 years"	"37"	221	146472	150.9
	"1999"	"1999"	"38 years"	"38"	258	145927	176.8
	"1999"	"1999"	"39 years"	"39"	267	146498	182.3
	"1999"	"1999"	"40 years"	"40"	251	148340	169.2
	"1999"	"1999"	"41 years"	"41"	338	141509	238.9
	"1999"	"1999"	"42 years"	"42"	333	140980	236.2
	"1999"	"1999"	"43 years"	"43"	340	135146	251.6
	"1999"	"1999"	"44 years"	"44"	355	131954	269.0
	"1999"	"1999"	"45 years"	"45"	366	129165	283.4
	"1999"	"1999"	"46 years"	"46"	401	121533	330.0
	"1999"	"1999"	"47 years"	"47"	403	119621	336.9
	"1999"	"1999"	"48 years"	"48"	393	113633	345.9
	"1999"	"1999"	"49 years"	"49"	423	114890	368.2
	"1999"	"1999"	"50 years"	"50"	458	115839	395.4
	"1999"	"1999"	"51 years"	"51"	530	111567	475.1
	"1999"	"1999"	"52 years"	"52"	558	122806	454.4
	"1999"	"1999"	"53 years"	"53"	459	89913	510.5
	"1999"	"1999"	"54 years"	"54"	543	92170	589.1
	"1999"	"1999"	"55 years"	"55"	565	89568	630.8
	"1999"	"1999"	"56 years"	"56"	664	94178	705.0
	"1999"	"1999"	"57 years"	"57"	606	82661	733.1
	"1999"	"1999"	"58 years"	"58"	617	75483	817.4
	"1999"	"1999"	"59 years"	"59"	619	70899	873.1
	"1999"	"1999"	"60 years"	"60"	655	71484	916.3
	"1999"	"1999"	"61 years"	"61"	704	67463	1043.5
	"1999"	"1999"	"62 years"	"62"	787	63959	1230.5
	"1999"	"1999"	"63 years"	"63"	796	63057	1262.3
	"1999"	"1999"	"64 years"	"64"	881	62327	1413.5
	"1999"	"1999"	"65 years"	"65"	946	57458	1646.4
	"1999"	"1999"	"66 years"	"66"	1023	58345	1753.4
	"1999"	"1999"	"67 years"	"67"	1089	59562	1828.3
	"1999"	"1999"	"68 years"	"68"	1239	60178	2058.9
	"1999"	"1999"	"69 years"	"69"	1377	59917	2298.2
	"1999"	"1999"	"70 years"	"70"	1490	59392	2508.8
	"1999"	"1999"	"71 years"	"71"	1546	58277	2652.8
	"1999"	"1999"	"72 years"	"72"	1659	56089	2957.8
	"1999"	"1999"	"73 years"	"73"	1772	55127	3214.4
	"1999"	"1999"	"74 years"	"74"	1874	54498	3438.7
	"1999"	"1999"	"75 years"	"75"	1964	52599	3733.9
	"1999"	"1999"	"76 years"	"76"	2034	49468	4111.7
	"1999"	"1999"	"77 years"	"77"	2147	48629	4415.1
	"1999"	"1999"	"78 years"	"78"	2234	45260	4935.9
	"1999"	"1999"	"79 years"	"79"	2378	41657	5708.5
	"1999"	"1999"	"80 years"	"80"	2197	39363	5581.4
	"1999"	"1999"	"81 years"	"81"	2296	33822	6788.5
	"1999"	"1999"	"82 years"	"82"	2519	32281	7803.4
	"1999"	"1999"	"83 years"	"83"	2324	28785	8073.6
	"1999"	"1999"	"84 years"	"84"	2465	25813	9549.5
	"1999"	"1999"	"85 years"	"85"	2376	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	2262	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	2111	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	2010	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	1923	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	1689	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	1598	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	1369	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	1148	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	938	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	780	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	637	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	479	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	352	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	287	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	522	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"0"	733	110298	664.6
	"2000"	"2000"	"1 year"	"1"	37	111308	33.2
	"2000"	"2000"	"2 years"	"2"	30	111529	26.9
	"2000"	"2000"	"3 years"	"3"	12	113708	Unreliable
	"2000"	"2000"	"4 years"	"4"	15	116942	Unreliable
	"2000"	"2000"	"5 years"	"5"	12	117824	Unreliable
	"2000"	"2000"	"6 years"	"6"	14	118948	Unreliable
	"2000"	"2000"	"7 years"	"7"	15	121066	Unreliable
