"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"< 1 year"	"0"	64	9870	648.4
	"2018"	"2018"	"4 years"	"4"	0	8289	Unreliable
	"2018"	"2018"	"6 years"	"6"	0	8094	Unreliable
	"2018"	"2018"	"11 years"	"11"	0	6099	Unreliable
	"2018"	"2018"	"13 years"	"13"	0	5379	Unreliable
	"2018"	"2018"	"23 years"	"23"	17	10967	Unreliable
	"2018"	"2018"	"24 years"	"24"	10	13721	Unreliable
	"2018"	"2018"	"25 years"	"25"	22	14798	148.7
	"2018"	"2018"	"26 years"	"26"	17	16222	Unreliable
	"2018"	"2018"	"27 years"	"27"	13	17008	Unreliable
	"2018"	"2018"	"28 years"	"28"	21	17598	119.3
	"2018"	"2018"	"29 years"	"29"	13	17470	Unreliable
	"2018"	"2018"	"32 years"	"32"	19	16280	Unreliable
	"2018"	"2018"	"33 years"	"33"	18	15643	Unreliable
	"2018"	"2018"	"34 years"	"34"	15	14658	Unreliable
	"2018"	"2018"	"35 years"	"35"	13	13969	Unreliable
	"2018"	"2018"	"36 years"	"36"	15	13154	Unreliable
	"2018"	"2018"	"37 years"	"37"	28	12314	227.4
	"2018"	"2018"	"38 years"	"38"	13	11877	Unreliable
	"2018"	"2018"	"39 years"	"39"	30	10898	275.3
	"2018"	"2018"	"40 years"	"40"	17	9815	Unreliable
	"2018"	"2018"	"41 years"	"41"	17	9293	Unreliable
	"2018"	"2018"	"42 years"	"42"	18	8298	Unreliable
	"2018"	"2018"	"43 years"	"43"	24	8302	289.1
	"2018"	"2018"	"44 years"	"44"	24	7754	309.5
	"2018"	"2018"	"45 years"	"45"	35	7791	449.2
	"2018"	"2018"	"46 years"	"46"	25	7737	323.1
	"2018"	"2018"	"47 years"	"47"	31	8084	383.5
	"2018"	"2018"	"48 years"	"48"	30	7804	384.4
	"2018"	"2018"	"49 years"	"49"	42	7371	569.8
	"2018"	"2018"	"50 years"	"50"	29	7167	404.6
	"2018"	"2018"	"51 years"	"51"	31	7094	437.0
	"2018"	"2018"	"52 years"	"52"	52	7120	730.3
	"2018"	"2018"	"53 years"	"53"	62	7605	815.3
	"2018"	"2018"	"54 years"	"54"	62	7680	807.3
	"2018"	"2018"	"55 years"	"55"	70	7627	917.8
	"2018"	"2018"	"56 years"	"56"	70	7293	959.8
	"2018"	"2018"	"57 years"	"57"	78	7345	1061.9
	"2018"	"2018"	"58 years"	"58"	82	7416	1105.7
	"2018"	"2018"	"59 years"	"59"	85	6995	1215.2
	"2018"	"2018"	"60 years"	"60"	98	6936	1412.9
	"2018"	"2018"	"61 years"	"61"	100	6829	1464.3
	"2018"	"2018"	"62 years"	"62"	100	6673	1498.6
	"2018"	"2018"	"63 years"	"63"	101	6666	1515.2
	"2018"	"2018"	"64 years"	"64"	116	6522	1778.6
	"2018"	"2018"	"65 years"	"65"	90	6067	1483.4
	"2018"	"2018"	"66 years"	"66"	97	5703	1700.9
	"2018"	"2018"	"67 years"	"67"	103	5551	1855.5
	"2018"	"2018"	"68 years"	"68"	93	5439	1709.9
	"2018"	"2018"	"69 years"	"69"	95	5224	1818.5
	"2018"	"2018"	"70 years"	"70"	101	5046	2001.6
	"2018"	"2018"	"71 years"	"71"	105	4967	2114.0
	"2018"	"2018"	"72 years"	"72"	83	3791	2189.4
	"2018"	"2018"	"73 years"	"73"	99	3748	2641.4
	"2018"	"2018"	"74 years"	"74"	95	3568	2662.6
	"2018"	"2018"	"75 years"	"75"	94	3414	2753.4
	"2018"	"2018"	"76 years"	"76"	83	3173	2615.8
	"2018"	"2018"	"77 years"	"77"	117	2749	4256.1
	"2018"	"2018"	"78 years"	"78"	73	2667	2737.2
	"2018"	"2018"	"79 years"	"79"	92	2416	3807.9
	"2018"	"2018"	"80 years"	"80"	86	2228	3860.0
	"2018"	"2018"	"81 years"	"81"	84	2068	4061.9
	"2018"	"2018"	"82 years"	"82"	94	1881	4997.3
	"2018"	"2018"	"83 years"	"83"	82	1813	4522.9
	"2018"	"2018"	"84 years"	"84"	108	1637	6597.4
	"2018"	"2018"	"85 years"	"85"	93	Not Applicable	Not Applicable
	"2018"	"2018"	"86 years"	"86"	100	Not Applicable	Not Applicable
	"2018"	"2018"	"87 years"	"87"	86	Not Applicable	Not Applicable
