"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"< 1 year"	"0"	21467	3848208	557.8
	"2018"	"2018"	"1 year"	"1"	1448	3912900	37.0
	"2018"	"2018"	"2 years"	"2"	1047	3991437	26.2
	"2018"	"2018"	"3 years"	"3"	745	4036562	18.5
	"2018"	"2018"	"4 years"	"4"	590	4021168	14.7
	"2018"	"2018"	"5 years"	"5"	524	4010118	13.1
	"2018"	"2018"	"6 years"	"6"	460	4015259	11.5
	"2018"	"2018"	"7 years"	"7"	419	4059363	10.3
	"2018"	"2018"	"8 years"	"8"	457	4055624	11.3
	"2018"	"2018"	"9 years"	"9"	470	4055278	11.6
	"2018"	"2018"	"10 years"	"10"	471	4184077	11.3
	"2018"	"2018"	"11 years"	"11"	494	4203007	11.8
	"2018"	"2018"	"12 years"	"12"	589	4168485	14.1
	"2018"	"2018"	"13 years"	"13"	676	4156887	16.3
	"2018"	"2018"	"14 years"	"14"	890	4167071	21.4
	"2018"	"2018"	"15 years"	"15"	1186	4141218	28.6
	"2018"	"2018"	"16 years"	"16"	1493	4130744	36.1
	"2018"	"2018"	"17 years"	"17"	2028	4241936	47.8
	"2018"	"2018"	"18 years"	"18"	2701	4319722	62.5
	"2018"	"2018"	"19 years"	"19"	2972	4263601	69.7
	"2018"	"2018"	"20 years"	"20"	3273	4273822	76.6
	"2018"	"2018"	"21 years"	"21"	3721	4292514	86.7
	"2018"	"2018"	"22 years"	"22"	3960	4334743	91.4
	"2018"	"2018"	"23 years"	"23"	4252	4438724	95.8
	"2018"	"2018"	"24 years"	"24"	4568	4533776	100.8
	"2018"	"2018"	"25 years"	"25"	4844	4606281	105.2
	"2018"	"2018"	"26 years"	"26"	5230	4728714	110.6
	"2018"	"2018"	"27 years"	"27"	5699	4813980	118.4
	"2018"	"2018"	"28 years"	"28"	5829	4801711	121.4
	"2018"	"2018"	"29 years"	"29"	5859	4611070	127.1
	"2018"	"2018"	"30 years"	"30"	6100	4501282	135.5
	"2018"	"2018"	"31 years"	"31"	5959	4421549	134.8
	"2018"	"2018"	"32 years"	"32"	6299	4433749	142.1
	"2018"	"2018"	"33 years"	"33"	6478	4461246	145.2
	"2018"	"2018"	"34 years"	"34"	6547	4318192	151.6
	"2018"	"2018"	"35 years"	"35"	7090	4376401	162.0
	"2018"	"2018"	"36 years"	"36"	7205	4366923	165.0
	"2018"	"2018"	"37 years"	"37"	7463	4313086	173.0
	"2018"	"2018"	"38 years"	"38"	7835	4391406	178.4
	"2018"	"2018"	"39 years"	"39"	8024	4115771	195.0
	"2018"	"2018"	"40 years"	"40"	7907	4031314	196.1
	"2018"	"2018"	"41 years"	"41"	8185	3986156	205.3
	"2018"	"2018"	"42 years"	"42"	8293	3866067	214.5
	"2018"	"2018"	"43 years"	"43"	8902	3979609	223.7
	"2018"	"2018"	"44 years"	"44"	9476	3851155	246.1
	"2018"	"2018"	"45 years"	"45"	10509	3904041	269.2
	"2018"	"2018"	"46 years"	"46"	11925	4074459	292.7
	"2018"	"2018"	"47 years"	"47"	13249	4301318	308.0
	"2018"	"2018"	"48 years"	"48"	14182	4349714	326.0
	"2018"	"2018"	"49 years"	"49"	15008	4117603	364.5
	"2018"	"2018"	"50 years"	"50"	15823	4026474	393.0
	"2018"	"2018"	"51 years"	"51"	17543	4025069	435.8
	"2018"	"2018"	"52 years"	"52"	19504	4094079	476.4
	"2018"	"2018"	"53 years"	"53"	22113	4333375	510.3
	"2018"	"2018"	"54 years"	"54"	24981	4405567	567.0
	"2018"	"2018"	"55 years"	"55"	27310	4393983	621.5
	"2018"	"2018"	"56 years"	"56"	29857	4377130	682.1
	"2018"	"2018"	"57 years"	"57"	32543	4422810	735.8
	"2018"	"2018"	"58 years"	"58"	34611	4453038	777.2
	"2018"	"2018"	"59 years"	"59"	36642	4294024	853.3
	"2018"	"2018"	"60 years"	"60"	38701	4259361	908.6
	"2018"	"2018"	"61 years"	"61"	41292	4202894	982.5
	"2018"	"2018"	"62 years"	"62"	42834	4043396	1059.4
	"2018"	"2018"	"63 years"	"63"	45095	4000235	1127.3
	"2018"	"2018"	"64 years"	"64"	45951	3825765	1201.1
	"2018"	"2018"	"65 years"	"65"	47257	3669600	1287.8
	"2018"	"2018"	"66 years"	"66"	48642	3516436	1383.3
	"2018"	"2018"	"67 years"	"67"	49857	3398755	1466.9
	"2018"	"2018"	"68 years"	"68"	51107	3307833	1545.0
	"2018"	"2018"	"69 years"	"69"	54383	3194269	1702.5
	"2018"	"2018"	"70 years"	"70"	58141	3144466	1849.0
	"2018"	"2018"	"71 years"	"71"	63825	3260552	1957.5
	"2018"	"2018"	"72 years"	"72"	53943	2392283	2254.9
	"2018"	"2018"	"73 years"	"73"	56033	2344633	2389.8
	"2018"	"2018"	"74 years"	"74"	60590	2263489	2676.8
	"2018"	"2018"	"75 years"	"75"	66524	2293604	2900.4
	"2018"	"2018"	"76 years"	"76"	63365	1978012	3203.5
	"2018"	"2018"	"77 years"	"77"	63017	1786181	3528.0
	"2018"	"2018"	"78 years"	"78"	63188	1666402	3791.9
	"2018"	"2018"	"79 years"	"79"	65651	1542867	4255.1
	"2018"	"2018"	"80 years"	"80"	67987	1451583	4683.6
	"2018"	"2018"	"81 years"	"81"	68584	1311488	5229.5
	"2018"	"2018"	"82 years"	"82"	71290	1224165	5823.6
	"2018"	"2018"	"83 years"	"83"	73173	1143669	6398.1
	"2018"	"2018"	"84 years"	"84"	72426	996403	7268.7
	"2018"	"2018"	"85 years"	"85"	75023	Not Applicable	Not Applicable
	"2018"	"2018"	"86 years"	"86"	76643	Not Applicable	Not Applicable
	"2018"	"2018"	"87 years"	"87"	77989	Not Applicable	Not Applicable
	"2018"	"2018"	"88 years"	"88"	79099	Not Applicable	Not Applicable
	"2018"	"2018"	"89 years"	"89"	76362	Not Applicable	Not Applicable
	"2018"	"2018"	"90 years"	"90"	74794	Not Applicable	Not Applicable
	"2018"	"2018"	"91 years"	"91"	70835	Not Applicable	Not Applicable
	"2018"	"2018"	"92 years"	"92"	64200	Not Applicable	Not Applicable
	"2018"	"2018"	"93 years"	"93"	58805	Not Applicable	Not Applicable
	"2018"	"2018"	"94 years"	"94"	51435	Not Applicable	Not Applicable
	"2018"	"2018"	"95 years"	"95"	43573	Not Applicable	Not Applicable
	"2018"	"2018"	"96 years"	"96"	36338	Not Applicable	Not Applicable
	"2018"	"2018"	"97 years"	"97"	28908	Not Applicable	Not Applicable
	"2018"	"2018"	"98 years"	"98"	21307	Not Applicable	Not Applicable
	"2018"	"2018"	"99 years"	"99"	14720	Not Applicable	Not Applicable
	"2018"	"2018"	"100+ years"	"100"	30249	Not Applicable	Not Applicable
	"2018"	"2018"	"Not Stated"	"NS"	144	Not Applicable	Not Applicable
"Total"	"2018"	"2018"			2839205	327167434	867.8
	"2019"	"2019"	"< 1 year"	"0"	20921	3783052	553.0
	"2019"	"2019"	"1 year"	"1"	1474	3829599	38.5
	"2019"	"2019"	"2 years"	"2"	916	3922044	23.4
	"2019"	"2019"	"3 years"	"3"	710	3998665	17.8
	"2019"	"2019"	"4 years"	"4"	576	4043323	14.2
	"2019"	"2019"	"5 years"	"5"	536	4028281	13.3
	"2019"	"2019"	"6 years"	"6"	490	4017227	12.2
	"2019"	"2019"	"7 years"	"7"	439	4022319	10.9
	"2019"	"2019"	"8 years"	"8"	435	4066194	10.7
	"2019"	"2019"	"9 years"	"9"	433	4061874	10.7
	"2019"	"2019"	"10 years"	"10"	480	4060940	11.8
	"2019"	"2019"	"11 years"	"11"	536	4189261	12.8
	"2019"	"2019"	"12 years"	"12"	601	4208387	14.3
	"2019"	"2019"	"13 years"	"13"	687	4175221	16.5
	"2019"	"2019"	"14 years"	"14"	860	4164459	20.7
	"2019"	"2019"	"15 years"	"15"	1137	4175459	27.2
	"2019"	"2019"	"16 years"	"16"	1485	4150420	35.8
	"2019"	"2019"	"17 years"	"17"	1886	4142425	45.5
	"2019"	"2019"	"18 years"	"18"	2732	4255827	64.2
	"2019"	"2019"	"19 years"	"19"	3018	4330439	69.7
	"2019"	"2019"	"20 years"	"20"	3313	4269683	77.6
	"2019"	"2019"	"21 years"	"21"	3821	4278323	89.3
	"2019"	"2019"	"22 years"	"22"	3882	4298772	90.3
	"2019"	"2019"	"23 years"	"23"	4146	4341644	95.5
	"2019"	"2019"	"24 years"	"24"	4351	4444518	97.9
	"2019"	"2019"	"25 years"	"25"	4752	4539058	104.7
	"2019"	"2019"	"26 years"	"26"	5086	4611220	110.3
	"2019"	"2019"	"27 years"	"27"	5383	4733869	113.7
	"2019"	"2019"	"28 years"	"28"	5757	4818725	119.5
	"2019"	"2019"	"29 years"	"29"	5991	4806144	124.7
	"2019"	"2019"	"30 years"	"30"	6183	4614384	134.0
	"2019"	"2019"	"31 years"	"31"	6225	4502311	138.3
	"2019"	"2019"	"32 years"	"32"	6263	4421505	141.6
	"2019"	"2019"	"33 years"	"33"	6683	4432973	150.8
	"2019"	"2019"	"34 years"	"34"	6855	4460132	153.7
	"2019"	"2019"	"35 years"	"35"	6998	4315866	162.1
	"2019"	"2019"	"36 years"	"36"	7326	4372444	167.5
	"2019"	"2019"	"37 years"	"37"	7692	4361286	176.4
	"2019"	"2019"	"38 years"	"38"	8177	4305576	189.9
	"2019"	"2019"	"39 years"	"39"	8445	4382349	192.7
	"2019"	"2019"	"40 years"	"40"	8639	4105313	210.4
	"2019"	"2019"	"41 years"	"41"	8456	4020254	210.3
	"2019"	"2019"	"42 years"	"42"	8791	3974741	221.2
	"2019"	"2019"	"43 years"	"43"	8928	3854040	231.7
	"2019"	"2019"	"44 years"	"44"	9534	3967275	240.3
	"2019"	"2019"	"45 years"	"45"	10170	3837909	265.0
	"2019"	"2019"	"46 years"	"46"	11198	3889372	287.9
	"2019"	"2019"	"47 years"	"47"	12579	4058038	310.0
	"2019"	"2019"	"48 years"	"48"	14385	4282657	335.9
	"2019"	"2019"	"49 years"	"49"	15407	4329775	355.8
	"2019"	"2019"	"50 years"	"50"	16151	4096572	394.3
	"2019"	"2019"	"51 years"	"51"	17198	4004343	429.5
	"2019"	"2019"	"52 years"	"52"	18788	4001782	469.5
	"2019"	"2019"	"53 years"	"53"	20593	4068851	506.1
	"2019"	"2019"	"54 years"	"54"	23924	4305603	555.6
	"2019"	"2019"	"55 years"	"55"	26793	4374565	612.5
	"2019"	"2019"	"56 years"	"56"	28966	4361016	664.2
	"2019"	"2019"	"57 years"	"57"	31658	4342385	729.0
	"2019"	"2019"	"58 years"	"58"	34347	4385570	783.2
	"2019"	"2019"	"59 years"	"59"	36689	4413855	831.2
	"2019"	"2019"	"60 years"	"60"	38690	4252663	909.8
	"2019"	"2019"	"61 years"	"61"	41522	4215172	985.1
	"2019"	"2019"	"62 years"	"62"	43975	4156645	1057.9
	"2019"	"2019"	"63 years"	"63"	45361	3996088	1135.1
	"2019"	"2019"	"64 years"	"64"	46936	3950578	1188.1
	"2019"	"2019"	"65 years"	"65"	48159	3774597	1275.9
	"2019"	"2019"	"66 years"	"66"	49560	3618069	1369.8
	"2019"	"2019"	"67 years"	"67"	50719	3464437	1464.0
	"2019"	"2019"	"68 years"	"68"	52212	3345475	1560.7
	"2019"	"2019"	"69 years"	"69"	53762	3252423	1653.0
	"2019"	"2019"	"70 years"	"70"	57343	3136704	1828.1
	"2019"	"2019"	"71 years"	"71"	61396	3083083	1991.4
	"2019"	"2019"	"72 years"	"72"	67130	3191048	2103.7
	"2019"	"2019"	"73 years"	"73"	56853	2334433	2435.4
	"2019"	"2019"	"74 years"	"74"	58425	2283164	2558.9
	"2019"	"2019"	"75 years"	"75"	63147	2198286	2872.6
	"2019"	"2019"	"76 years"	"76"	69019	2222392	3105.6
	"2019"	"2019"	"77 years"	"77"	65894	1911261	3447.7
	"2019"	"2019"	"78 years"	"78"	65124	1720817	3784.5
	"2019"	"2019"	"79 years"	"79"	66309	1599909	4144.5
	"2019"	"2019"	"80 years"	"80"	68349	1475278	4633.0
	"2019"	"2019"	"81 years"	"81"	70621	1381641	5111.4
	"2019"	"2019"	"82 years"	"82"	71124	1241341	5729.6
	"2019"	"2019"	"83 years"	"83"	73524	1151190	6386.8
	"2019"	"2019"	"84 years"	"84"	74916	1067757	7016.2
	"2019"	"2019"	"85 years"	"85"	73207	Not Applicable	Not Applicable
	"2019"	"2019"	"86 years"	"86"	75293	Not Applicable	Not Applicable
	"2019"	"2019"	"87 years"	"87"	76921	Not Applicable	Not Applicable
	"2019"	"2019"	"88 years"	"88"	76891	Not Applicable	Not Applicable
	"2019"	"2019"	"89 years"	"89"	76604	Not Applicable	Not Applicable
	"2019"	"2019"	"90 years"	"90"	72782	Not Applicable	Not Applicable
	"2019"	"2019"	"91 years"	"91"	69883	Not Applicable	Not Applicable
	"2019"	"2019"	"92 years"	"92"	64861	Not Applicable	Not Applicable
	"2019"	"2019"	"93 years"	"93"	58116	Not Applicable	Not Applicable
	"2019"	"2019"	"94 years"	"94"	51841	Not Applicable	Not Applicable
	"2019"	"2019"	"95 years"	"95"	43876	Not Applicable	Not Applicable
	"2019"	"2019"	"96 years"	"96"	36034	Not Applicable	Not Applicable
	"2019"	"2019"	"97 years"	"97"	28978	Not Applicable	Not Applicable
	"2019"	"2019"	"98 years"	"98"	22195	Not Applicable	Not Applicable
	"2019"	"2019"	"99 years"	"99"	15533	Not Applicable	Not Applicable
	"2019"	"2019"	"100+ years"	"100"	30731	Not Applicable	Not Applicable
	"2019"	"2019"	"Not Stated"	"NS"	147	Not Applicable	Not Applicable
"Total"	"2019"	"2019"			2854838	328239523	869.7
	"2020"	"2020"	"< 1 year"	"0"	19582	3735010	524.3
	"2020"	"2020"	"1 year"	"1"	1364	3773884	36.1
	"2020"	"2020"	"2 years"	"2"	889	3853025	23.1
	"2020"	"2020"	"3 years"	"3"	725	3921526	18.5
	"2020"	"2020"	"4 years"	"4"	551	4017847	13.7
	"2020"	"2020"	"5 years"	"5"	516	4054336	12.7
	"2020"	"2020"	"6 years"	"6"	450	4040169	11.1
	"2020"	"2020"	"7 years"	"7"	441	4029753	10.9
	"2020"	"2020"	"8 years"	"8"	405	4034785	10.0
	"2020"	"2020"	"9 years"	"9"	398	4078668	9.8
	"2020"	"2020"	"10 years"	"10"	456	4074173	11.2
	"2020"	"2020"	"11 years"	"11"	526	4072994	12.9
	"2020"	"2020"	"12 years"	"12"	617	4200977	14.7
	"2020"	"2020"	"13 years"	"13"	800	4219921	19.0
	"2020"	"2020"	"14 years"	"14"	1014	4186358	24.2
	"2020"	"2020"	"15 years"	"15"	1332	4175920	31.9
	"2020"	"2020"	"16 years"	"16"	1793	4187874	42.8
	"2020"	"2020"	"17 years"	"17"	2229	4164893	53.5
	"2020"	"2020"	"18 years"	"18"	3159	4159857	75.9
	"2020"	"2020"	"19 years"	"19"	3765	4272385	88.1
	"2020"	"2020"	"20 years"	"20"	3983	4344572	91.7
	"2020"	"2020"	"21 years"	"21"	4576	4283150	106.8
	"2020"	"2020"	"22 years"	"22"	4685	4293020	109.1
	"2020"	"2020"	"23 years"	"23"	5032	4315220	116.6
	"2020"	"2020"	"24 years"	"24"	5262	4358793	120.7
	"2020"	"2020"	"25 years"	"25"	5706	4461006	127.9
	"2020"	"2020"	"26 years"	"26"	5962	4555511	130.9
	"2020"	"2020"	"27 years"	"27"	6533	4628618	141.1
	"2020"	"2020"	"28 years"	"28"	6970	4751001	146.7
	"2020"	"2020"	"29 years"	"29"	7525	4835107	155.6
	"2020"	"2020"	"30 years"	"30"	7906	4821081	164.0
	"2020"	"2020"	"31 years"	"31"	7944	4627340	171.7
	"2020"	"2020"	"32 years"	"32"	8049	4514736	178.3
	"2020"	"2020"	"33 years"	"33"	8345	4432699	188.3
	"2020"	"2020"	"34 years"	"34"	8546	4442547	192.4
	"2020"	"2020"	"35 years"	"35"	8785	4466747	196.7
	"2020"	"2020"	"36 years"	"36"	9051	4319361	209.5
	"2020"	"2020"	"37 years"	"37"	9771	4374441	223.4
	"2020"	"2020"	"38 years"	"38"	9872	4362662	226.3
	"2020"	"2020"	"39 years"	"39"	10602	4305093	246.3
	"2020"	"2020"	"40 years"	"40"	10945	4378957	249.9
	"2020"	"2020"	"41 years"	"41"	11118	4100150	271.2
	"2020"	"2020"	"42 years"	"42"	10991	4014287	273.8
	"2020"	"2020"	"43 years"	"43"	11538	3967810	290.8
	"2020"	"2020"	"44 years"	"44"	11817	3846684	307.2
	"2020"	"2020"	"45 years"	"45"	12743	3957972	322.0
	"2020"	"2020"	"46 years"	"46"	13429	3826694	350.9
	"2020"	"2020"	"47 years"	"47"	14763	3876923	380.8
	"2020"	"2020"	"48 years"	"48"	16683	4043448	412.6
	"2020"	"2020"	"49 years"	"49"	18813	4265569	441.0
	"2020"	"2020"	"50 years"	"50"	20160	4310670	467.7
	"2020"	"2020"	"51 years"	"51"	20976	4076434	514.6
	"2020"	"2020"	"52 years"	"52"	22399	3983727	562.3
	"2020"	"2020"	"53 years"	"53"	24222	3979962	608.6
	"2020"	"2020"	"54 years"	"54"	26954	4044734	666.4
	"2020"	"2020"	"55 years"	"55"	30507	4277856	713.1
	"2020"	"2020"	"56 years"	"56"	33814	4343881	778.4
	"2020"	"2020"	"57 years"	"57"	36561	4327862	844.8
	"2020"	"2020"	"58 years"	"58"	39240	4306615	911.2
	"2020"	"2020"	"59 years"	"59"	43106	4346885	991.7
	"2020"	"2020"	"60 years"	"60"	46304	4372095	1059.1
	"2020"	"2020"	"61 years"	"61"	48871	4208976	1161.1
	"2020"	"2020"	"62 years"	"62"	51325	4168433	1231.3
	"2020"	"2020"	"63 years"	"63"	54811	4106492	1334.7
	"2020"	"2020"	"64 years"	"64"	56010	3944582	1419.9
	"2020"	"2020"	"65 years"	"65"	58027	3897420	1488.9
	"2020"	"2020"	"66 years"	"66"	59907	3720410	1610.2
	"2020"	"2020"	"67 years"	"67"	61164	3562236	1717.0
	"2020"	"2020"	"68 years"	"68"	62889	3407082	1845.8
	"2020"	"2020"	"69 years"	"69"	64401	3286519	1959.6
	"2020"	"2020"	"70 years"	"70"	67279	3192029	2107.7
	"2020"	"2020"	"71 years"	"71"	71049	3074732	2310.7
	"2020"	"2020"	"72 years"	"72"	76103	3017173	2522.3
	"2020"	"2020"	"73 years"	"73"	82553	3117385	2648.1
	"2020"	"2020"	"74 years"	"74"	71135	2274412	3127.6
	"2020"	"2020"	"75 years"	"75"	72225	2219565	3254.0
	"2020"	"2020"	"76 years"	"76"	78100	2130427	3665.9
	"2020"	"2020"	"77 years"	"77"	85310	2147097	3973.3
	"2020"	"2020"	"78 years"	"78"	82048	1839828	4459.5
	"2020"	"2020"	"79 years"	"79"	80508	1649916	4879.5
	"2020"	"2020"	"80 years"	"80"	81661	1526957	5348.0
	"2020"	"2020"	"81 years"	"81"	83337	1400392	5951.0
	"2020"	"2020"	"82 years"	"82"	85630	1303809	6567.7
	"2020"	"2020"	"83 years"	"83"	85649	1163249	7362.9
	"2020"	"2020"	"84 years"	"84"	87616	1070307	8186.1
	"2020"	"2020"	"85 years"	"85"	89658	Not Applicable	Not Applicable
	"2020"	"2020"	"86 years"	"86"	86428	Not Applicable	Not Applicable
	"2020"	"2020"	"87 years"	"87"	87456	Not Applicable	Not Applicable
	"2020"	"2020"	"88 years"	"88"	88017	Not Applicable	Not Applicable
	"2020"	"2020"	"89 years"	"89"	87692	Not Applicable	Not Applicable
	"2020"	"2020"	"90 years"	"90"	85205	Not Applicable	Not Applicable
	"2020"	"2020"	"91 years"	"91"	79355	Not Applicable	Not Applicable
	"2020"	"2020"	"92 years"	"92"	74460	Not Applicable	Not Applicable
	"2020"	"2020"	"93 years"	"93"	67957	Not Applicable	Not Applicable
	"2020"	"2020"	"94 years"	"94"	58709	Not Applicable	Not Applicable
	"2020"	"2020"	"95 years"	"95"	50701	Not Applicable	Not Applicable
	"2020"	"2020"	"96 years"	"96"	42141	Not Applicable	Not Applicable
	"2020"	"2020"	"97 years"	"97"	33368	Not Applicable	Not Applicable
	"2020"	"2020"	"98 years"	"98"	25839	Not Applicable	Not Applicable
	"2020"	"2020"	"99 years"	"99"	19187	Not Applicable	Not Applicable
	"2020"	"2020"	"100+ years"	"100"	36632	Not Applicable	Not Applicable
	"2020"	"2020"	"Not Stated"	"NS"	116	Not Applicable	Not Applicable
"Total"	"2020"	"2020"			3383729	329484123	1027.0
	"2021"	"2021"	"< 1 year"	"0"	19920	3564493	558.8
	"2021"	"2021"	"1 year"	"1"	1490	3702936	40.2
	"2021"	"2021"	"2 years"	"2"	960	3767428	25.5
	"2021"	"2021"	"3 years"	"3"	737	3856743	19.1
	"2021"	"2021"	"4 years"	"4"	629	3935738	16.0
	"2021"	"2021"	"5 years"	"5"	540	4040153	13.4
	"2021"	"2021"	"6 years"	"6"	517	4076629	12.7
	"2021"	"2021"	"7 years"	"7"	470	4064596	11.6
	"2021"	"2021"	"8 years"	"8"	437	4051555	10.8
	"2021"	"2021"	"9 years"	"9"	442	4058615	10.9
	"2021"	"2021"	"10 years"	"10"	494	4103489	12.0
	"2021"	"2021"	"11 years"	"11"	523	4189406	12.5
	"2021"	"2021"	"12 years"	"12"	603	4279315	14.1
	"2021"	"2021"	"13 years"	"13"	855	4442581	19.2
	"2021"	"2021"	"14 years"	"14"	1094	4432993	24.7
	"2021"	"2021"	"15 years"	"15"	1405	4355926	32.3
	"2021"	"2021"	"16 years"	"16"	1944	4310462	45.1
	"2021"	"2021"	"17 years"	"17"	2594	4333375	59.9
	"2021"	"2021"	"18 years"	"18"	3471	4292780	80.9
	"2021"	"2021"	"19 years"	"19"	3993	4272123	93.5
	"2021"	"2021"	"20 years"	"20"	4263	4346679	98.1
	"2021"	"2021"	"21 years"	"21"	4778	4347378	109.9
	"2021"	"2021"	"22 years"	"22"	5066	4278923	118.4
	"2021"	"2021"	"23 years"	"23"	5212	4271130	122.0
	"2021"	"2021"	"24 years"	"24"	5581	4279887	130.4
	"2021"	"2021"	"25 years"	"25"	6028	4309146	139.9
	"2021"	"2021"	"26 years"	"26"	6477	4387353	147.6
	"2021"	"2021"	"27 years"	"27"	6961	4481186	155.3
	"2021"	"2021"	"28 years"	"28"	7525	4554775	165.2
	"2021"	"2021"	"29 years"	"29"	8204	4660017	176.1
	"2021"	"2021"	"30 years"	"30"	8746	4730811	184.9
	"2021"	"2021"	"31 years"	"31"	9187	4745375	193.6
	"2021"	"2021"	"32 years"	"32"	9477	4612291	205.5
	"2021"	"2021"	"33 years"	"33"	9727	4531756	214.6
	"2021"	"2021"	"34 years"	"34"	9942	4482395	221.8
	"2021"	"2021"	"35 years"	"35"	10459	4492867	232.8
	"2021"	"2021"	"36 years"	"36"	10777	4490254	240.0
	"2021"	"2021"	"37 years"	"37"	10989	4397037	249.9
