"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	7583	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	6816	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	7401	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	6812	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	6970	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	6721	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	7146	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	6717	Not Applicable	Not Applicable
	"Sep., 1999"	"1999/09"	6851	Not Applicable	Not Applicable
	"Oct., 1999"	"1999/10"	7179	Not Applicable	Not Applicable
	"Nov., 1999"	"1999/11"	6833	Not Applicable	Not Applicable
	"Dec., 1999"	"1999/12"	7825	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	8335	Not Applicable	Not Applicable
	"Feb., 2000"	"2000/02"	7313	Not Applicable	Not Applicable
	"Mar., 2000"	"2000/03"	7315	Not Applicable	Not Applicable
	"Apr., 2000"	"2000/04"	6941	Not Applicable	Not Applicable
	"May, 2000"	"2000/05"	7190	Not Applicable	Not Applicable
	"Jun., 2000"	"2000/06"	7114	Not Applicable	Not Applicable
	"Jul., 2000"	"2000/07"	7336	Not Applicable	Not Applicable
	"Aug., 2000"	"2000/08"	7450	Not Applicable	Not Applicable
	"Sep., 2000"	"2000/09"	7269	Not Applicable	Not Applicable
	"Oct., 2000"	"2000/10"	7487	Not Applicable	Not Applicable
	"Nov., 2000"	"2000/11"	7576	Not Applicable	Not Applicable
	"Dec., 2000"	"2000/12"	8183	Not Applicable	Not Applicable
	"Jan., 2001"	"2001/01"	8349	Not Applicable	Not Applicable
	"Feb., 2001"	"2001/02"	7558	Not Applicable	Not Applicable
	"Mar., 2001"	"2001/03"	8019	Not Applicable	Not Applicable
	"Apr., 2001"	"2001/04"	7756	Not Applicable	Not Applicable
	"May, 2001"	"2001/05"	7858	Not Applicable	Not Applicable
	"Jun., 2001"	"2001/06"	7542	Not Applicable	Not Applicable
	"Jul., 2001"	"2001/07"	7731	Not Applicable	Not Applicable
	"Aug., 2001"	"2001/08"	7741	Not Applicable	Not Applicable
	"Sep., 2001"	"2001/09"	7979	Not Applicable	Not Applicable
	"Oct., 2001"	"2001/10"	8054	Not Applicable	Not Applicable
	"Nov., 2001"	"2001/11"	7615	Not Applicable	Not Applicable
	"Dec., 2001"	"2001/12"	8179	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	8594	Not Applicable	Not Applicable
	"Feb., 2002"	"2002/02"	7679	Not Applicable	Not Applicable
	"Mar., 2002"	"2002/03"	8332	Not Applicable	Not Applicable
	"Apr., 2002"	"2002/04"	7756	Not Applicable	Not Applicable
	"May, 2002"	"2002/05"	7904	Not Applicable	Not Applicable
	"Jun., 2002"	"2002/06"	7662	Not Applicable	Not Applicable
	"Jul., 2002"	"2002/07"	8126	Not Applicable	Not Applicable
	"Aug., 2002"	"2002/08"	7859	Not Applicable	Not Applicable
	"Sep., 2002"	"2002/09"	7724	Not Applicable	Not Applicable
	"Oct., 2002"	"2002/10"	8099	Not Applicable	Not Applicable
	"Nov., 2002"	"2002/11"	8105	Not Applicable	Not Applicable
	"Dec., 2002"	"2002/12"	8480	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	8711	Not Applicable	Not Applicable
	"Feb., 2003"	"2003/02"	7788	Not Applicable	Not Applicable
	"Mar., 2003"	"2003/03"	8350	Not Applicable	Not Applicable
	"Apr., 2003"	"2003/04"	8069	Not Applicable	Not Applicable
	"May, 2003"	"2003/05"	8187	Not Applicable	Not Applicable
	"Jun., 2003"	"2003/06"	7723	Not Applicable	Not Applicable
	"Jul., 2003"	"2003/07"	8142	Not Applicable	Not Applicable
	"Aug., 2003"	"2003/08"	8212	Not Applicable	Not Applicable
	"Sep., 2003"	"2003/09"	7988	Not Applicable	Not Applicable
	"Oct., 2003"	"2003/10"	8211	Not Applicable	Not Applicable
	"Nov., 2003"	"2003/11"	8104	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	9123	Not Applicable	Not Applicable
