"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",1089,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",966,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",1086,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",1051,Not Applicable,Not Applicable
,"May, 1999","1999/05",1243,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",1247,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",1354,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",1307,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",1148,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",1148,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",1067,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",1072,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",1149,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",926,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",1048,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",1061,Not Applicable,Not Applicable
,"May, 2000","2000/05",1154,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",1256,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",1343,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",1224,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",1159,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",1188,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",1042,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",1013,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",1051,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",962,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",1065,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",1157,Not Applicable,Not Applicable
,"May, 2001","2001/05",1205,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",1161,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",1278,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",1279,Not Applicable,Not Applicable
,"Sep., 2001","2001/09",1097,Not Applicable,Not Applicable
,"Oct., 2001","2001/10",1165,Not Applicable,Not Applicable
,"Nov., 2001","2001/11",1036,Not Applicable,Not Applicable
,"Dec., 2001","2001/12",1099,Not Applicable,Not Applicable
,"Jan., 2002","2002/01",1055,Not Applicable,Not Applicable
,"Feb., 2002","2002/02",950,Not Applicable,Not Applicable
,"Mar., 2002","2002/03",1200,Not Applicable,Not Applicable
,"Apr., 2002","2002/04",1068,Not Applicable,Not Applicable
,"May, 2002","2002/05",1239,Not Applicable,Not Applicable
,"Jun., 2002","2002/06",1203,Not Applicable,Not Applicable
,"Jul., 2002","2002/07",1319,Not Applicable,Not Applicable
,"Aug., 2002","2002/08",1287,Not Applicable,Not Applicable
,"Sep., 2002","2002/09",1207,Not Applicable,Not Applicable
,"Oct., 2002","2002/10",1140,Not Applicable,Not Applicable
,"Nov., 2002","2002/11",1079,Not Applicable,Not Applicable
,"Dec., 2002","2002/12",1065,Not Applicable,Not Applicable
,"Jan., 2003","2003/01",1004,Not Applicable,Not Applicable
,"Feb., 2003","2003/02",914,Not Applicable,Not Applicable
,"Mar., 2003","2003/03",1028,Not Applicable,Not Applicable
,"Apr., 2003","2003/04",1106,Not Applicable,Not Applicable
,"May, 2003","2003/05",1177,Not Applicable,Not Applicable
,"Jun., 2003","2003/06",1212,Not Applicable,Not Applicable
,"Jul., 2003","2003/07",1254,Not Applicable,Not Applicable
,"Aug., 2003","2003/08",1293,Not Applicable,Not Applicable
,"Sep., 2003","2003/09",1103,Not Applicable,Not Applicable
,"Oct., 2003","2003/10",1147,Not Applicable,Not Applicable
,"Nov., 2003","2003/11",1188,Not Applicable,Not Applicable
,"Dec., 2003","2003/12",1169,Not Applicable,Not Applicable
,"Jan., 2004","2004/01",1192,Not Applicable,Not Applicable
,"Feb., 2004","2004/02",1027,Not Applicable,Not Applicable
,"Mar., 2004","2004/03",1084,Not Applicable,Not Applicable
,"Apr., 2004","2004/04",1062,Not Applicable,Not Applicable
,"May, 2004","2004/05",1249,Not Applicable,Not Applicable
,"Jun., 2004","2004/06",1173,Not Applicable,Not Applicable
,"Jul., 2004","2004/07",1265,Not Applicable,Not Applicable
,"Aug., 2004","2004/08",1249,Not Applicable,Not Applicable
,"Sep., 2004","2004/09",1148,Not Applicable,Not Applicable
