"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",274,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",294,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",286,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",260,Not Applicable,Not Applicable
,"May, 1999","1999/05",287,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",323,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",352,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",323,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",256,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",264,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",249,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",306,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",290,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",262,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",246,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",272,Not Applicable,Not Applicable
,"May, 2000","2000/05",293,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",256,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",319,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",290,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",256,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",266,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",231,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",272,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",285,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",236,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",259,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",258,Not Applicable,Not Applicable
,"May, 2001","2001/05",280,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",286,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",302,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",262,Not Applicable,Not Applicable
