"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 1999"	"1999/01"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 1999"	"1999/02"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 1999"	"1999/03"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 1999"	"1999/04"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 1999"	"1999/05"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 1999"	"1999/06"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 1999"	"1999/07"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 1999"	"1999/08"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 1999"	"1999/09"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 1999"	"1999/10"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 1999"	"1999/11"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 1999"	"1999/12"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2000"	"2000/01"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2000"	"2000/02"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2000"	"2000/03"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2000"	"2000/04"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2000"	"2000/05"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2000"	"2000/06"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2000"	"2000/07"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2000"	"2000/08"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2000"	"2000/09"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2000"	"2000/10"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2000"	"2000/11"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2000"	"2000/12"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2001"	"2001/01"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2001"	"2001/02"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2001"	"2001/03"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2001"	"2001/04"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2001"	"2001/05"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2001"	"2001/06"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2001"	"2001/07"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2001"	"2001/08"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2001"	"2001/09"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2001"	"2001/10"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2001"	"2001/11"	24	Not Applicable	Not Applicable
