"Notes","State","State Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","Jan., 1999","1999/01",36,Not Applicable,Not Applicable
,"Alabama","01","Feb., 1999","1999/02",43,Not Applicable,Not Applicable
,"Alabama","01","Mar., 1999","1999/03",40,Not Applicable,Not Applicable
,"Alabama","01","Apr., 1999","1999/04",47,Not Applicable,Not Applicable
,"Alabama","01","May, 1999","1999/05",37,Not Applicable,Not Applicable
,"Alabama","01","Jun., 1999","1999/06",40,Not Applicable,Not Applicable
,"Alabama","01","Jul., 1999","1999/07",41,Not Applicable,Not Applicable
,"Alabama","01","Aug., 1999","1999/08",46,Not Applicable,Not Applicable
,"Alabama","01","Sep., 1999","1999/09",45,Not Applicable,Not Applicable
,"Alabama","01","Oct., 1999","1999/10",37,Not Applicable,Not Applicable
,"Alabama","01","Nov., 1999","1999/11",33,Not Applicable,Not Applicable
,"Alabama","01","Dec., 1999","1999/12",41,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2000","2000/01",33,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2000","2000/02",41,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2000","2000/03",35,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2000","2000/04",34,Not Applicable,Not Applicable
,"Alabama","01","May, 2000","2000/05",54,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2000","2000/06",41,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2000","2000/07",45,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2000","2000/08",41,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2000","2000/09",36,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2000","2000/10",34,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2000","2000/11",35,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2000","2000/12",38,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2001","2001/01",47,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2001","2001/02",47,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2001","2001/03",35,Not Applicable,Not Applicable
