"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	189	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	181	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	195	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	193	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	205	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	234	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	243	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	219	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	201	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	192	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	208	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	225	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021"	"2021/01"	295	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2021"	"2021/02"	229	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2021"	"2021/03"	221	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2021"	"2021/04"	195	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2021"	"2021/05"	187	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2021"	"2021/06"	173	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2021"	"2021/07"	204	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2021"	"2021/08"	381	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2021"	"2021/09"	378	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2021"	"2021/10"	256	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2021"	"2021/11"	208	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2021"	"2021/12"	224	Not Applicable	Not Applicable
