"Notes","Residence State","Residence State Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","Jan., 2020","2020/01",4853,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2020","2020/02",4693,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2020","2020/03",4881,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2020","2020/04",4956,Not Applicable,Not Applicable
,"Alabama","01","May, 2020","2020/05",5190,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2020","2020/06",5006,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2020","2020/07",5869,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2020","2020/08",5892,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2020","2020/09",5224,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2020","2020/10",5322,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2020","2020/11",5681,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2020","2020/12",7212,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2021","2021/01",8048,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2021","2021/02",5661,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2021","2021/03",5218,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2021","2021/04",5051,Not Applicable,Not Applicable
,"Alabama","01","May, 2021","2021/05",5009,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2021","2021/06",4795,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2021","2021/07",5036,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2021","2021/08",6853,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2021","2021/09",6908,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2021","2021/10",5752,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2021","2021/11",5135,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2021","2021/12",5423,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2022 (provisional)","2022/01",6808,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2022 (provisional)","2022/02",6071,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2022 (provisional)","2022/03",5121,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2022 (provisional)","2022/04",4608,Not Applicable,Not Applicable
,"Alabama","01","May, 2022 (provisional)","2022/05",4692,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2022 (provisional)","2022/06",4727,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2022 (provisional)","2022/07",4962,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2022 (provisional)","2022/08",4892,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2022 (provisional)","2022/09",4814,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2022 (provisional)","2022/10",5193,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2022 (provisional)","2022/11",5003,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2022 (provisional)","2022/12",5399,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2023 (provisional)","2023/01",5472,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2023 (provisional)","2023/02",4761,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2023 (provisional)","2023/03",4859,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2023 (provisional)","2023/04",2847,Not Applicable,Not Applicable
"Total","Alabama","01",,,213897,Not Applicable,Not Applicable
,"Alaska","02","Jan., 2020","2020/01",440,Not Applicable,Not Applicable
,"Alaska","02","Feb., 2020","2020/02",383,Not Applicable,Not Applicable
,"Alaska","02","Mar., 2020","2020/03",370,Not Applicable,Not Applicable
,"Alaska","02","Apr., 2020","2020/04",369,Not Applicable,Not Applicable
,"Alaska","02","May, 2020","2020/05",408,Not Applicable,Not Applicable
,"Alaska","02","Jun., 2020","2020/06",380,Not Applicable,Not Applicable
,"Alaska","02","Jul., 2020","2020/07",433,Not Applicable,Not Applicable
,"Alaska","02","Aug., 2020","2020/08",438,Not Applicable,Not Applicable
,"Alaska","02","Sep., 2020","2020/09",432,Not Applicable,Not Applicable
,"Alaska","02","Oct., 2020","2020/10",481,Not Applicable,Not Applicable
,"Alaska","02","Nov., 2020","2020/11",511,Not Applicable,Not Applicable
,"Alaska","02","Dec., 2020","2020/12",525,Not Applicable,Not Applicable
,"Alaska","02","Jan., 2021","2021/01",486,Not Applicable,Not Applicable
,"Alaska","02","Feb., 2021","2021/02",386,Not Applicable,Not Applicable
,"Alaska","02","Mar., 2021","2021/03",427,Not Applicable,Not Applicable
,"Alaska","02","Apr., 2021","2021/04",436,Not Applicable,Not Applicable
,"Alaska","02","May, 2021","2021/05",438,Not Applicable,Not Applicable
,"Alaska","02","Jun., 2021","2021/06",421,Not Applicable,Not Applicable
,"Alaska","02","Jul., 2021","2021/07",468,Not Applicable,Not Applicable
,"Alaska","02","Aug., 2021","2021/08",589,Not Applicable,Not Applicable
,"Alaska","02","Sep., 2021","2021/09",635,Not Applicable,Not Applicable
,"Alaska","02","Oct., 2021","2021/10",742,Not Applicable,Not Applicable
,"Alaska","02","Nov., 2021","2021/11",608,Not Applicable,Not Applicable
,"Alaska","02","Dec., 2021","2021/12",572,Not Applicable,Not Applicable
,"Alaska","02","Jan., 2022 (provisional)","2022/01",551,Not Applicable,Not Applicable
,"Alaska","02","Feb., 2022 (provisional)","2022/02",459,Not Applicable,Not Applicable
,"Alaska","02","Mar., 2022 (provisional)","2022/03",473,Not Applicable,Not Applicable
,"Alaska","02","Apr., 2022 (provisional)","2022/04",440,Not Applicable,Not Applicable
,"Alaska","02","May, 2022 (provisional)","2022/05",437,Not Applicable,Not Applicable
,"Alaska","02","Jun., 2022 (provisional)","2022/06",468,Not Applicable,Not Applicable
,"Alaska","02","Jul., 2022 (provisional)","2022/07",490,Not Applicable,Not Applicable
,"Alaska","02","Aug., 2022 (provisional)","2022/08",456,Not Applicable,Not Applicable
,"Alaska","02","Sep., 2022 (provisional)","2022/09",453,Not Applicable,Not Applicable
,"Alaska","02","Oct., 2022 (provisional)","2022/10",476,Not Applicable,Not Applicable
,"Alaska","02","Nov., 2022 (provisional)","2022/11",451,Not Applicable,Not Applicable
,"Alaska","02","Dec., 2022 (provisional)","2022/12",558,Not Applicable,Not Applicable
,"Alaska","02","Jan., 2023 (provisional)","2023/01",506,Not Applicable,Not Applicable
,"Alaska","02","Feb., 2023 (provisional)","2023/02",422,Not Applicable,Not Applicable
,"Alaska","02","Mar., 2023 (provisional)","2023/03",388,Not Applicable,Not Applicable
,"Alaska","02","Apr., 2023 (provisional)","2023/04",162,Not Applicable,Not Applicable
"Total","Alaska","02",,,18568,Not Applicable,Not Applicable
,"Arizona","04","Jan., 2020","2020/01",5695,Not Applicable,Not Applicable
,"Arizona","04","Feb., 2020","2020/02",5279,Not Applicable,Not Applicable
,"Arizona","04","Mar., 2020","2020/03",5745,Not Applicable,Not Applicable
,"Arizona","04","Apr., 2020","2020/04",5775,Not Applicable,Not Applicable
,"Arizona","04","May, 2020","2020/05",5836,Not Applicable,Not Applicable
,"Arizona","04","Jun., 2020","2020/06",6486,Not Applicable,Not Applicable
,"Arizona","04","Jul., 2020","2020/07",8251,Not Applicable,Not Applicable
,"Arizona","04","Aug., 2020","2020/08",6601,Not Applicable,Not Applicable
,"Arizona","04","Sep., 2020","2020/09",5391,Not Applicable,Not Applicable
,"Arizona","04","Oct., 2020","2020/10",5572,Not Applicable,Not Applicable
,"Arizona","04","Nov., 2020","2020/11",6054,Not Applicable,Not Applicable
,"Arizona","04","Dec., 2020","2020/12",9062,Not Applicable,Not Applicable
,"Arizona","04","Jan., 2021","2021/01",10057,Not Applicable,Not Applicable
,"Arizona","04","Feb., 2021","2021/02",6567,Not Applicable,Not Applicable
,"Arizona","04","Mar., 2021","2021/03",6039,Not Applicable,Not Applicable
,"Arizona","04","Apr., 2021","2021/04",5452,Not Applicable,Not Applicable
,"Arizona","04","May, 2021","2021/05",5746,Not Applicable,Not Applicable
,"Arizona","04","Jun., 2021","2021/06",5690,Not Applicable,Not Applicable
,"Arizona","04","Jul., 2021","2021/07",5828,Not Applicable,Not Applicable
,"Arizona","04","Aug., 2021","2021/08",6718,Not Applicable,Not Applicable
,"Arizona","04","Sep., 2021","2021/09",6863,Not Applicable,Not Applicable
,"Arizona","04","Oct., 2021","2021/10",6844,Not Applicable,Not Applicable
,"Arizona","04","Nov., 2021","2021/11",7325,Not Applicable,Not Applicable
,"Arizona","04","Dec., 2021","2021/12",8313,Not Applicable,Not Applicable
,"Arizona","04","Jan., 2022 (provisional)","2022/01",8350,Not Applicable,Not Applicable
,"Arizona","04","Feb., 2022 (provisional)","2022/02",6661,Not Applicable,Not Applicable
,"Arizona","04","Mar., 2022 (provisional)","2022/03",6172,Not Applicable,Not Applicable
,"Arizona","04","Apr., 2022 (provisional)","2022/04",5552,Not Applicable,Not Applicable
,"Arizona","04","May, 2022 (provisional)","2022/05",5782,Not Applicable,Not Applicable
,"Arizona","04","Jun., 2022 (provisional)","2022/06",5608,Not Applicable,Not Applicable
,"Arizona","04","Jul., 2022 (provisional)","2022/07",6097,Not Applicable,Not Applicable
,"Arizona","04","Aug., 2022 (provisional)","2022/08",5708,Not Applicable,Not Applicable
,"Arizona","04","Sep., 2022 (provisional)","2022/09",5507,Not Applicable,Not Applicable
,"Arizona","04","Oct., 2022 (provisional)","2022/10",5674,Not Applicable,Not Applicable
,"Arizona","04","Nov., 2022 (provisional)","2022/11",6158,Not Applicable,Not Applicable
,"Arizona","04","Dec., 2022 (provisional)","2022/12",6808,Not Applicable,Not Applicable
,"Arizona","04","Jan., 2023 (provisional)","2023/01",6378,Not Applicable,Not Applicable
,"Arizona","04","Feb., 2023 (provisional)","2023/02",5620,Not Applicable,Not Applicable
,"Arizona","04","Mar., 2023 (provisional)","2023/03",5999,Not Applicable,Not Applicable
,"Arizona","04","Apr., 2023 (provisional)","2023/04",4106,Not Applicable,Not Applicable
"Total","Arizona","04",,,253369,Not Applicable,Not Applicable
,"Arkansas","05","Jan., 2020","2020/01",2952,Not Applicable,Not Applicable
,"Arkansas","05","Feb., 2020","2020/02",2855,Not Applicable,Not Applicable
,"Arkansas","05","Mar., 2020","2020/03",2873,Not Applicable,Not Applicable
,"Arkansas","05","Apr., 2020","2020/04",2719,Not Applicable,Not Applicable
,"Arkansas","05","May, 2020","2020/05",2815,Not Applicable,Not Applicable
,"Arkansas","05","Jun., 2020","2020/06",2962,Not Applicable,Not Applicable
,"Arkansas","05","Jul., 2020","2020/07",3134,Not Applicable,Not Applicable
,"Arkansas","05","Aug., 2020","2020/08",3334,Not Applicable,Not Applicable
,"Arkansas","05","Sep., 2020","2020/09",3185,Not Applicable,Not Applicable
,"Arkansas","05","Oct., 2020","2020/10",3478,Not Applicable,Not Applicable
,"Arkansas","05","Nov., 2020","2020/11",3710,Not Applicable,Not Applicable
,"Arkansas","05","Dec., 2020","2020/12",4091,Not Applicable,Not Applicable
,"Arkansas","05","Jan., 2021","2021/01",4198,Not Applicable,Not Applicable
,"Arkansas","05","Feb., 2021","2021/02",3216,Not Applicable,Not Applicable
,"Arkansas","05","Mar., 2021","2021/03",3038,Not Applicable,Not Applicable
,"Arkansas","05","Apr., 2021","2021/04",2824,Not Applicable,Not Applicable
,"Arkansas","05","May, 2021","2021/05",2990,Not Applicable,Not Applicable
,"Arkansas","05","Jun., 2021","2021/06",2911,Not Applicable,Not Applicable
,"Arkansas","05","Jul., 2021","2021/07",3309,Not Applicable,Not Applicable
,"Arkansas","05","Aug., 2021","2021/08",3936,Not Applicable,Not Applicable
,"Arkansas","05","Sep., 2021","2021/09",3580,Not Applicable,Not Applicable
,"Arkansas","05","Oct., 2021","2021/10",3380,Not Applicable,Not Applicable
,"Arkansas","05","Nov., 2021","2021/11",3169,Not Applicable,Not Applicable
,"Arkansas","05","Dec., 2021","2021/12",3519,Not Applicable,Not Applicable
,"Arkansas","05","Jan., 2022 (provisional)","2022/01",3988,Not Applicable,Not Applicable
,"Arkansas","05","Feb., 2022 (provisional)","2022/02",3553,Not Applicable,Not Applicable
,"Arkansas","05","Mar., 2022 (provisional)","2022/03",3195,Not Applicable,Not Applicable
,"Arkansas","05","Apr., 2022 (provisional)","2022/04",2814,Not Applicable,Not Applicable
,"Arkansas","05","May, 2022 (provisional)","2022/05",2949,Not Applicable,Not Applicable
,"Arkansas","05","Jun., 2022 (provisional)","2022/06",2874,Not Applicable,Not Applicable
,"Arkansas","05","Jul., 2022 (provisional)","2022/07",2933,Not Applicable,Not Applicable
,"Arkansas","05","Aug., 2022 (provisional)","2022/08",2958,Not Applicable,Not Applicable
,"Arkansas","05","Sep., 2022 (provisional)","2022/09",2969,Not Applicable,Not Applicable
,"Arkansas","05","Oct., 2022 (provisional)","2022/10",3099,Not Applicable,Not Applicable
,"Arkansas","05","Nov., 2022 (provisional)","2022/11",3073,Not Applicable,Not Applicable
,"Arkansas","05","Dec., 2022 (provisional)","2022/12",3436,Not Applicable,Not Applicable
,"Arkansas","05","Jan., 2023 (provisional)","2023/01",3359,Not Applicable,Not Applicable
,"Arkansas","05","Feb., 2023 (provisional)","2023/02",2834,Not Applicable,Not Applicable
,"Arkansas","05","Mar., 2023 (provisional)","2023/03",3054,Not Applicable,Not Applicable
,"Arkansas","05","Apr., 2023 (provisional)","2023/04",1875,Not Applicable,Not Applicable
"Total","Arkansas","05",,,127141,Not Applicable,Not Applicable
,"California","06","Jan., 2020","2020/01",25636,Not Applicable,Not Applicable
,"California","06","Feb., 2020","2020/02",23734,Not Applicable,Not Applicable
,"California","06","Mar., 2020","2020/03",25008,Not Applicable,Not Applicable
,"California","06","Apr., 2020","2020/04",25531,Not Applicable,Not Applicable
,"California","06","May, 2020","2020/05",24851,Not Applicable,Not Applicable
,"California","06","Jun., 2020","2020/06",23915,Not Applicable,Not Applicable
,"California","06","Jul., 2020","2020/07",27320,Not Applicable,Not Applicable
,"California","06","Aug., 2020","2020/08",27451,Not Applicable,Not Applicable
,"California","06","Sep., 2020","2020/09",24446,Not Applicable,Not Applicable
,"California","06","Oct., 2020","2020/10",24459,Not Applicable,Not Applicable
,"California","06","Nov., 2020","2020/11",26508,Not Applicable,Not Applicable
,"California","06","Dec., 2020","2020/12",40949,Not Applicable,Not Applicable
,"California","06","Jan., 2021","2021/01",47999,Not Applicable,Not Applicable
,"California","06","Feb., 2021","2021/02",29951,Not Applicable,Not Applicable
,"California","06","Mar., 2021","2021/03",26632,Not Applicable,Not Applicable
,"California","06","Apr., 2021","2021/04",23176,Not Applicable,Not Applicable
,"California","06","May, 2021","2021/05",23461,Not Applicable,Not Applicable
,"California","06","Jun., 2021","2021/06",22656,Not Applicable,Not Applicable
,"California","06","Jul., 2021","2021/07",23698,Not Applicable,Not Applicable
,"California","06","Aug., 2021","2021/08",27019,Not Applicable,Not Applicable
