"Notes","Residence State","Residence State Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","Jan., 2021","2021/01",797,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2021","2021/02",579,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2021","2021/03",547,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2021","2021/04",560,Not Applicable,Not Applicable
,"Alabama","01","May, 2021","2021/05",518,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2021","2021/06",495,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2021","2021/07",504,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2021","2021/08",743,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2021","2021/09",776,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2021","2021/10",640,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2021","2021/11",547,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2021","2021/12",551,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2022 (provisional)","2022/01",721,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2022 (provisional)","2022/02",609,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2022 (provisional)","2022/03",548,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2022 (provisional)","2022/04",468,Not Applicable,Not Applicable
,"Alabama","01","May, 2022 (provisional)","2022/05",506,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2022 (provisional)","2022/06",486,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2022 (provisional)","2022/07",475,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2022 (provisional)","2022/08",498,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2022 (provisional)","2022/09",518,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2022 (provisional)","2022/10",534,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2022 (provisional)","2022/11",501,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2022 (provisional)","2022/12",551,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2023 (provisional)","2023/01",593,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2023 (provisional)","2023/02",499,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2023 (provisional)","2023/03",530,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2023 (provisional)","2023/04",285,Not Applicable,Not Applicable
"Total","Alabama","01",,,15579,Not Applicable,Not Applicable
,"Alaska","02","Jan., 2021","2021/01",50,Not Applicable,Not Applicable
,"Alaska","02","Feb., 2021","2021/02",48,Not Applicable,Not Applicable
,"Alaska","02","Mar., 2021","2021/03",53,Not Applicable,Not Applicable
,"Alaska","02","Apr., 2021","2021/04",47,Not Applicable,Not Applicable
,"Alaska","02","May, 2021","2021/05",47,Not Applicable,Not Applicable
,"Alaska","02","Jun., 2021","2021/06",46,Not Applicable,Not Applicable
,"Alaska","02","Jul., 2021","2021/07",65,Not Applicable,Not Applicable
