"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 1999"	"1999/01"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 1999"	"1999/02"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 1999"	"1999/03"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 1999"	"1999/04"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 1999"	"1999/05"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 1999"	"1999/06"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 1999"	"1999/07"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 1999"	"1999/08"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 1999"	"1999/09"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 1999"	"1999/10"	92	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 1999"	"1999/11"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 1999"	"1999/12"	92	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2000"	"2000/01"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2000"	"2000/02"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2000"	"2000/03"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2000"	"2000/04"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2000"	"2000/05"	127	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2000"	"2000/06"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2000"	"2000/07"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2000"	"2000/08"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2000"	"2000/09"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2000"	"2000/10"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2000"	"2000/11"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2000"	"2000/12"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2001"	"2001/01"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2001"	"2001/02"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2001"	"2001/03"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2001"	"2001/04"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2001"	"2001/05"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2001"	"2001/06"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2001"	"2001/07"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2001"	"2001/08"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2001"	"2001/09"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2001"	"2001/10"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2001"	"2001/11"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2001"	"2001/12"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2002"	"2002/01"	105	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2002"	"2002/02"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2002"	"2002/03"	133	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2002"	"2002/04"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2002"	"2002/05"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2002"	"2002/06"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2002"	"2002/07"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2002"	"2002/08"	112	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2002"	"2002/09"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2002"	"2002/10"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2002"	"2002/11"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2002"	"2002/12"	123	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2003"	"2003/01"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2003"	"2003/02"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2003"	"2003/03"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2003"	"2003/04"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2003"	"2003/05"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2003"	"2003/06"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2003"	"2003/07"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2003"	"2003/08"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2003"	"2003/09"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2003"	"2003/10"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2003"	"2003/11"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2003"	"2003/12"	124	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2004"	"2004/01"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2004"	"2004/02"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2004"	"2004/03"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2004"	"2004/04"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2004"	"2004/05"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2004"	"2004/06"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2004"	"2004/07"	78	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2004"	"2004/08"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2004"	"2004/09"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2004"	"2004/10"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2004"	"2004/11"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2004"	"2004/12"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2005"	"2005/01"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2005"	"2005/02"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2005"	"2005/03"	84	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2005"	"2005/04"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2005"	"2005/05"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2005"	"2005/06"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2005"	"2005/07"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2005"	"2005/08"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2005"	"2005/09"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2005"	"2005/10"	84	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2005"	"2005/11"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2005"	"2005/12"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2006"	"2006/01"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2006"	"2006/02"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2006"	"2006/03"	133	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2006"	"2006/04"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2006"	"2006/05"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2006"	"2006/06"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2006"	"2006/07"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2006"	"2006/08"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2006"	"2006/09"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2006"	"2006/10"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2006"	"2006/11"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2006"	"2006/12"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2007"	"2007/01"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2007"	"2007/02"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2007"	"2007/03"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2007"	"2007/04"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2007"	"2007/05"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2007"	"2007/06"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2007"	"2007/07"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2007"	"2007/08"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2007"	"2007/09"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2007"	"2007/10"	105	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2007"	"2007/11"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2007"	"2007/12"	125	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2008"	"2008/01"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2008"	"2008/02"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2008"	"2008/03"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2008"	"2008/04"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2008"	"2008/05"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2008"	"2008/06"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2008"	"2008/07"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2008"	"2008/08"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2008"	"2008/09"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2008"	"2008/10"	92	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2008"	"2008/11"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2008"	"2008/12"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2009"	"2009/01"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2009"	"2009/02"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2009"	"2009/03"	128	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2009"	"2009/04"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2009"	"2009/05"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2009"	"2009/06"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2009"	"2009/07"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2009"	"2009/08"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2009"	"2009/09"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2009"	"2009/10"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2009"	"2009/11"	92	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2009"	"2009/12"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2010"	"2010/01"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2010"	"2010/02"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2010"	"2010/03"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2010"	"2010/04"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2010"	"2010/05"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2010"	"2010/06"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2010"	"2010/07"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2010"	"2010/08"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2010"	"2010/09"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2010"	"2010/10"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2010"	"2010/11"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2010"	"2010/12"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2011"	"2011/01"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2011"	"2011/02"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2011"	"2011/03"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2011"	"2011/04"	118	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2011"	"2011/05"	112	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2011"	"2011/06"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2011"	"2011/07"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2011"	"2011/08"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2011"	"2011/09"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2011"	"2011/10"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2011"	"2011/11"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2011"	"2011/12"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2012"	"2012/01"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2012"	"2012/02"	92	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2012"	"2012/03"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2012"	"2012/04"	103	Not Applicable	Not Applicable
