"Notes","State","State Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","Jan., 1999","1999/01",1044,Not Applicable,Not Applicable
,"Alabama","01","Feb., 1999","1999/02",923,Not Applicable,Not Applicable
,"Alabama","01","Mar., 1999","1999/03",1116,Not Applicable,Not Applicable
,"Alabama","01","Apr., 1999","1999/04",997,Not Applicable,Not Applicable
,"Alabama","01","May, 1999","1999/05",891,Not Applicable,Not Applicable
,"Alabama","01","Jun., 1999","1999/06",803,Not Applicable,Not Applicable
,"Alabama","01","Jul., 1999","1999/07",884,Not Applicable,Not Applicable
,"Alabama","01","Aug., 1999","1999/08",876,Not Applicable,Not Applicable
,"Alabama","01","Sep., 1999","1999/09",876,Not Applicable,Not Applicable
,"Alabama","01","Oct., 1999","1999/10",876,Not Applicable,Not Applicable
,"Alabama","01","Nov., 1999","1999/11",908,Not Applicable,Not Applicable
,"Alabama","01","Dec., 1999","1999/12",1075,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2000","2000/01",1247,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2000","2000/02",964,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2000","2000/03",934,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2000","2000/04",905,Not Applicable,Not Applicable
,"Alabama","01","May, 2000","2000/05",912,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2000","2000/06",893,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2000","2000/07",881,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2000","2000/08",858,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2000","2000/09",854,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2000","2000/10",883,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2000","2000/11",891,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2000","2000/12",1012,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2001","2001/01",1058,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2001","2001/02",889,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2001","2001/03",1002,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2001","2001/04",907,Not Applicable,Not Applicable
,"Alabama","01","May, 2001","2001/05",922,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2001","2001/06",925,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2001","2001/07",874,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2001","2001/08",874,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2001","2001/09",857,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2001","2001/10",909,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2001","2001/11",902,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2001","2001/12",933,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2002","2002/01",1055,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2002","2002/02",959,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2002","2002/03",1088,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2002","2002/04",888,Not Applicable,Not Applicable
