"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	62	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	92	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	112	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021"	"2021/01"	118	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2021"	"2021/02"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2021"	"2021/03"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2021"	"2021/04"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2021"	"2021/05"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2021"	"2021/06"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2021"	"2021/07"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2021"	"2021/08"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2021"	"2021/09"	120	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2021"	"2021/10"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2021"	"2021/11"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2021"	"2021/12"	118	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2022 (provisional)"	"2022/01"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2022 (provisional)"	"2022/02"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2022 (provisional)"	"2022/03"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2022 (provisional)"	"2022/04"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2022 (provisional)"	"2022/05"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2022 (provisional)"	"2022/06"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2022 (provisional)"	"2022/07"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2022 (provisional)"	"2022/08"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2022 (provisional)"	"2022/09"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2022 (provisional)"	"2022/10"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2022 (provisional)"	"2022/11"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2022 (provisional)"	"2022/12"	84	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2023 (provisional)"	"2023/01"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2023 (provisional)"	"2023/02"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2023 (provisional)"	"2023/03"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2023 (provisional)"	"2023/04"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2020"	"2020/01"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2020"	"2020/02"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2020"	"2020/03"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2020"	"2020/04"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2020"	"2020/05"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2020"	"2020/06"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2020"	"2020/07"	24	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2020"	"2020/08"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2020"	"2020/09"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2020"	"2020/10"	20	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2020"	"2020/11"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2020"	"2020/12"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2021"	"2021/01"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2021"	"2021/02"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2021"	"2021/03"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2021"	"2021/04"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2021"	"2021/05"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2021"	"2021/06"	22	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2021"	"2021/07"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2021"	"2021/08"	27	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2021"	"2021/09"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2021"	"2021/10"	25	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2021"	"2021/11"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2021"	"2021/12"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2022 (provisional)"	"2022/01"	13	Not Applicable	Not Applicable
