"Notes","Residence State","Residence State Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","Jan., 2020","2020/01",210,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2020","2020/02",204,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2020","2020/03",227,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2020","2020/04",240,Not Applicable,Not Applicable
,"Alabama","01","May, 2020","2020/05",241,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2020","2020/06",249,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2020","2020/07",252,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2020","2020/08",278,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2020","2020/09",236,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2020","2020/10",232,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2020","2020/11",240,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2020","2020/12",333,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2021","2021/01",322,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2021","2021/02",232,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2021","2021/03",241,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2021","2021/04",288,Not Applicable,Not Applicable
,"Alabama","01","May, 2021","2021/05",247,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2021","2021/06",268,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2021","2021/07",294,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2021","2021/08",442,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2021","2021/09",446,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2021","2021/10",322,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2021","2021/11",245,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2021","2021/12",276,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2022 (provisional)","2022/01",307,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2022 (provisional)","2022/02",244,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2022 (provisional)","2022/03",245,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2022 (provisional)","2022/04",256,Not Applicable,Not Applicable
,"Alabama","01","May, 2022 (provisional)","2022/05",235,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2022 (provisional)","2022/06",251,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2022 (provisional)","2022/07",261,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2022 (provisional)","2022/08",249,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2022 (provisional)","2022/09",209,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2022 (provisional)","2022/10",243,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2022 (provisional)","2022/11",253,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2022 (provisional)","2022/12",233,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2023 (provisional)","2023/01",250,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2023 (provisional)","2023/02",213,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2023 (provisional)","2023/03",231,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2023 (provisional)","2023/04",135,Not Applicable,Not Applicable
