"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	"Alabama"	"01"	4100	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Alaska"	"02"	221	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Arizona"	"04"	3834	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Arkansas"	"05"	2694	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"California"	"06"	21374	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Colorado"	"08"	2356	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Connecticut"	"09"	2955	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Delaware"	"10"	632	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"District of Columbia"	"11"	559	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Florida"	"12"	15081	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Georgia"	"13"	5843	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Hawaii"	"15"	765	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Idaho"	"16"	778	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Illinois"	"17"	10446	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Indiana"	"18"	5320	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Iowa"	"19"	2664	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Kansas"	"20"	2221	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Kentucky"	"21"	3607	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Louisiana"	"22"	3761	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Maine"	"23"	1141	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Maryland"	"24"	3867	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Massachusetts"	"25"	5393	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Michigan"	"26"	8079	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Minnesota"	"27"	3632	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Mississippi"	"28"	2472	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Missouri"	"29"	4973	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Montana"	"30"	703	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Nebraska"	"31"	1438	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Nevada"	"32"	1438	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New Hampshire"	"33"	912	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New Jersey"	"34"	7823	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New Mexico"	"35"	1266	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New York"	"36"	16647	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"North Carolina"	"37"	6262	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"North Dakota"	"38"	566	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Ohio"	"39"	10216	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Oklahoma"	"40"	3240	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Oregon"	"41"	2610	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Pennsylvania"	"42"	12892	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Rhode Island"	"44"	962	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"South Carolina"	"45"	3387	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"South Dakota"	"46"	646	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Tennessee"	"47"	4893	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Texas"	"48"	13601	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Utah"	"49"	1093	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Vermont"	"50"	465	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Virginia"	"51"	5092	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Washington"	"53"	3900	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"West Virginia"	"54"	1930	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Wisconsin"	"55"	4439	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Wyoming"	"56"	371	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"			225560	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Alabama"	"01"	3588	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Alaska"	"02"	215	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Arizona"	"04"	3754	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Arkansas"	"05"	2247	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"California"	"06"	19560	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Colorado"	"08"	2415	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Connecticut"	"09"	2673	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Delaware"	"10"	581	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"District of Columbia"	"11"	539	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Florida"	"12"	13499	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Georgia"	"13"	5067	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Hawaii"	"15"	708	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Idaho"	"16"	832	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Illinois"	"17"	9483	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Indiana"	"18"	4811	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Iowa"	"19"	2437	Not Applicable	Not Applicable
