"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	"Alabama"	"01"	585	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Alaska"	"02"	50	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Arizona"	"04"	501	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Arkansas"	"05"	338	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"California"	"06"	2903	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Colorado"	"08"	323	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Connecticut"	"09"	329	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Delaware"	"10"	79	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"District of Columbia"	"11"	114	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Florida"	"12"	1650	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Georgia"	"13"	897	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Hawaii"	"15"	91	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Idaho"	"16"	81	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Illinois"	"17"	1270	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Indiana"	"18"	604	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Iowa"	"19"	227	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Kansas"	"20"	199	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Kentucky"	"21"	430	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Louisiana"	"22"	580	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Maine"	"23"	125	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Maryland"	"24"	527	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Massachusetts"	"25"	564	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Michigan"	"26"	1034	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Minnesota"	"27"	367	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Mississippi"	"28"	348	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Missouri"	"29"	542	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Montana"	"30"	90	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Nebraska"	"31"	123	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Nevada"	"32"	213	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New Hampshire"	"33"	93	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New Jersey"	"34"	904	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New Mexico"	"35"	164	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"New York"	"36"	1999	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"North Carolina"	"37"	836	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"North Dakota"	"38"	61	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Ohio"	"39"	1155	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Oklahoma"	"40"	392	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Oregon"	"41"	297	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Pennsylvania"	"42"	1307	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Rhode Island"	"44"	96	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"South Carolina"	"45"	520	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"South Dakota"	"46"	74	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Tennessee"	"47"	729	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Texas"	"48"	1932	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Utah"	"49"	114	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Vermont"	"50"	56	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Virginia"	"51"	686	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Washington"	"53"	450	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"West Virginia"	"54"	203	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Wisconsin"	"55"	430	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Wyoming"	"56"	58	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"			27740	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Alabama"	"01"	511	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Alaska"	"02"	51	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Arizona"	"04"	465	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Arkansas"	"05"	260	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"California"	"06"	2531	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Colorado"	"08"	301	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Connecticut"	"09"	271	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Delaware"	"10"	71	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"District of Columbia"	"11"	98	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Florida"	"12"	1435	Not Applicable	Not Applicable
