"Notes"	"Month"	"Month Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"Jan., 2018"	"2018/01"	"Alabama"	"01"	578	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Alaska"	"02"	41	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Arizona"	"04"	496	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Arkansas"	"05"	279	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"California"	"06"	2343	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Colorado"	"08"	359	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Connecticut"	"09"	223	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Delaware"	"10"	91	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"District of Columbia"	"11"	62	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Florida"	"12"	1620	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Georgia"	"13"	934	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Hawaii"	"15"	74	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Idaho"	"16"	104	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Illinois"	"17"	979	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Indiana"	"18"	625	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Iowa"	"19"	219	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Kansas"	"20"	231	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Kentucky"	"21"	519	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Louisiana"	"22"	511	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Maine"	"23"	92	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Maryland"	"24"	420	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Massachusetts"	"25"	409	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Michigan"	"26"	828	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Minnesota"	"27"	329	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Mississippi"	"28"	372	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Missouri"	"29"	612	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Montana"	"30"	68	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Nebraska"	"31"	132	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Nevada"	"32"	262	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"New Hampshire"	"33"	94	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"New Jersey"	"34"	635	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"New Mexico"	"35"	170	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"New York"	"36"	1254	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"North Carolina"	"37"	927	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"North Dakota"	"38"	46	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Ohio"	"39"	1045	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Oklahoma"	"40"	462	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Oregon"	"41"	286	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Pennsylvania"	"42"	1059	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Rhode Island"	"44"	60	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"South Carolina"	"45"	514	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"South Dakota"	"46"	56	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Tennessee"	"47"	747	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Texas"	"48"	2123	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Utah"	"49"	131	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Vermont"	"50"	49	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Virginia"	"51"	634	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Washington"	"53"	471	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"West Virginia"	"54"	236	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Wisconsin"	"55"	392	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Wyoming"	"56"	47	Not Applicable	Not Applicable
"Total"	"Jan., 2018"	"2018/01"			25250	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Alabama"	"01"	464	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Alaska"	"02"	57	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Arizona"	"04"	452	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Arkansas"	"05"	272	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"California"	"06"	1981	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Colorado"	"08"	289	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Connecticut"	"09"	205	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Delaware"	"10"	74	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"District of Columbia"	"11"	53	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Florida"	"12"	1485	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Georgia"	"13"	734	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Hawaii"	"15"	67	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Idaho"	"16"	80	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Illinois"	"17"	831	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Indiana"	"18"	508	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Iowa"	"19"	196	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Kansas"	"20"	205	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Kentucky"	"21"	426	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Louisiana"	"22"	402	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Maine"	"23"	84	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Maryland"	"24"	397	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Massachusetts"	"25"	368	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Michigan"	"26"	741	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Minnesota"	"27"	292	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Mississippi"	"28"	287	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Missouri"	"29"	498	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Montana"	"30"	74	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Nebraska"	"31"	112	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Nevada"	"32"	209	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"New Hampshire"	"33"	98	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"New Jersey"	"34"	514	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"New Mexico"	"35"	149	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"New York"	"36"	1095	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"North Carolina"	"37"	745	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"North Dakota"	"38"	38	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Ohio"	"39"	882	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Oklahoma"	"40"	360	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Oregon"	"41"	218	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Pennsylvania"	"42"	876	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Rhode Island"	"44"	84	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"South Carolina"	"45"	437	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"South Dakota"	"46"	55	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Tennessee"	"47"	608	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Texas"	"48"	1807	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Utah"	"49"	110	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Vermont"	"50"	36	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Virginia"	"51"	532	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Washington"	"53"	381	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"West Virginia"	"54"	191	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Wisconsin"	"55"	338	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Wyoming"	"56"	36	Not Applicable	Not Applicable
"Total"	"Feb., 2018"	"2018/02"			21433	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Alabama"	"01"	469	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Alaska"	"02"	37	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Arizona"	"04"	460	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Arkansas"	"05"	277	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"California"	"06"	2151	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Colorado"	"08"	269	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Connecticut"	"09"	208	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Delaware"	"10"	85	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"District of Columbia"	"11"	52	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Florida"	"12"	1519	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Georgia"	"13"	826	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Hawaii"	"15"	96	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Idaho"	"16"	110	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Illinois"	"17"	847	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Indiana"	"18"	576	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Iowa"	"19"	198	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Kansas"	"20"	217	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Kentucky"	"21"	452	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Louisiana"	"22"	408	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Maine"	"23"	91	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Maryland"	"24"	430	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Massachusetts"	"25"	410	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Michigan"	"26"	855	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Minnesota"	"27"	289	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Mississippi"	"28"	323	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Missouri"	"29"	519	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Montana"	"30"	53	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Nebraska"	"31"	106	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Nevada"	"32"	218	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"New Hampshire"	"33"	86	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"New Jersey"	"34"	564	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"New Mexico"	"35"	165	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"New York"	"36"	1076	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"North Carolina"	"37"	815	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"North Dakota"	"38"	41	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Ohio"	"39"	912	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Oklahoma"	"40"	374	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Oregon"	"41"	259	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Pennsylvania"	"42"	956	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Rhode Island"	"44"	58	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"South Carolina"	"45"	438	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"South Dakota"	"46"	53	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Tennessee"	"47"	636	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Texas"	"48"	1850	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Utah"	"49"	123	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Vermont"	"50"	38	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Virginia"	"51"	561	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Washington"	"53"	432	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"West Virginia"	"54"	218	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Wisconsin"	"55"	346	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Wyoming"	"56"	47	Not Applicable	Not Applicable
"Total"	"Mar., 2018"	"2018/03"			22599	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Alabama"	"01"	462	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Alaska"	"02"	47	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Arizona"	"04"	444	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Arkansas"	"05"	268	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"California"	"06"	1995	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Colorado"	"08"	310	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Connecticut"	"09"	200	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Delaware"	"10"	72	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"District of Columbia"	"11"	67	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Florida"	"12"	1451	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Georgia"	"13"	764	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Hawaii"	"15"	75	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Idaho"	"16"	86	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Illinois"	"17"	815	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Indiana"	"18"	478	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Iowa"	"19"	200	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Kansas"	"20"	173	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Kentucky"	"21"	430	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Louisiana"	"22"	413	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Maine"	"23"	108	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Maryland"	"24"	402	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Massachusetts"	"25"	344	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Michigan"	"26"	750	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Minnesota"	"27"	244	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Mississippi"	"28"	296	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Missouri"	"29"	506	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Montana"	"30"	74	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Nebraska"	"31"	112	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Nevada"	"32"	201	Not Applicable	Not Applicable
