"Notes"	"Month"	"Month Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"Jan., 2018"	"2018/01"	"Alabama"	"01"	4981	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Alaska"	"02"	354	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Arizona"	"04"	5359	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Arkansas"	"05"	2877	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"California"	"06"	24826	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Colorado"	"08"	3265	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Connecticut"	"09"	2693	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Delaware"	"10"	788	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"District of Columbia"	"11"	454	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Florida"	"12"	17459	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Georgia"	"13"	7629	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Hawaii"	"15"	938	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Idaho"	"16"	1150	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Illinois"	"17"	9956	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Indiana"	"18"	5923	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Iowa"	"19"	2512	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Kansas"	"20"	2400	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Kentucky"	"21"	4313	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Louisiana"	"22"	4272	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Maine"	"23"	1147	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Maryland"	"24"	4330	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Massachusetts"	"25"	5122	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Michigan"	"26"	8472	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Minnesota"	"27"	3796	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Mississippi"	"28"	2966	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Missouri"	"29"	5820	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Montana"	"30"	758	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Nebraska"	"31"	1458	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Nevada"	"32"	2178	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"New Hampshire"	"33"	1026	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"New Jersey"	"34"	6546	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"New Mexico"	"35"	1558	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"New York"	"36"	13892	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"North Carolina"	"37"	8193	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"North Dakota"	"38"	540	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Ohio"	"39"	11145	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Oklahoma"	"40"	3721	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Oregon"	"41"	3023	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Pennsylvania"	"42"	11612	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Rhode Island"	"44"	856	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"South Carolina"	"45"	4375	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"South Dakota"	"46"	639	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Tennessee"	"47"	6336	Not Applicable	Not Applicable
