"Notes"	"MMWR Week"	"MMWR Week Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Alabama"	"01"	1022	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Alaska"	"02"	63	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Arizona"	"04"	1253	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Arkansas"	"05"	614	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"California"	"06"	5726	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Colorado"	"08"	680	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Connecticut"	"09"	564	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Delaware"	"10"	172	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"District of Columbia"	"11"	96	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Florida"	"12"	3560	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Georgia"	"13"	1540	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Hawaii"	"15"	225	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Idaho"	"16"	266	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Illinois"	"17"	2169	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Indiana"	"18"	1231	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Iowa"	"19"	539	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Kansas"	"20"	525	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Kentucky"	"21"	870	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Louisiana"	"22"	929	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Maine"	"23"	260	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Maryland"	"24"	918	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Massachusetts"	"25"	1119	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Michigan"	"26"	1835	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Minnesota"	"27"	823	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Mississippi"	"28"	653	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Missouri"	"29"	1237	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Montana"	"30"	158	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Nebraska"	"31"	338	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Nevada"	"32"	469	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New Hampshire"	"33"	223	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New Jersey"	"34"	1413	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New Mexico"	"35"	340	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New York"	"36"	3034	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"North Carolina"	"37"	1696	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"North Dakota"	"38"	134	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Ohio"	"39"	2412	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Oklahoma"	"40"	775	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Oregon"	"41"	663	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Pennsylvania"	"42"	2460	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Rhode Island"	"44"	188	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"South Carolina"	"45"	854	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"South Dakota"	"46"	131	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Tennessee"	"47"	1312	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Texas"	"48"	4062	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Utah"	"49"	331	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Vermont"	"50"	108	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Virginia"	"51"	1335	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Washington"	"53"	994	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"West Virginia"	"54"	499	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Wisconsin"	"55"	987	Not Applicable	Not Applicable
	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Wyoming"	"56"	88	Not Applicable	Not Applicable
"Total"	"2018 Week 01 ending January 06, 2018"	"2018/01"			53893	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Alabama"	"01"	1248	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Alaska"	"02"	95	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Arizona"	"04"	1408	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Arkansas"	"05"	739	Not Applicable	Not Applicable
