"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	289	626175	46.2
	"2018"	"2018"	"Alaska"	"02"	46	96022	47.9
	"2018"	"2018"	"Arizona"	"04"	379	950215	39.9
	"2018"	"2018"	"Arkansas"	"05"	180	398493	45.2
	"2018"	"2018"	"California"	"06"	1231	5093348	24.2
	"2018"	"2018"	"Colorado"	"08"	261	728742	35.8
	"2018"	"2018"	"Connecticut"	"09"	97	459801	21.1
	"2018"	"2018"	"Delaware"	"10"	47	118017	39.8
	"2018"	"2018"	"District of Columbia"	"11"	28	65473	42.8
	"2018"	"2018"	"Florida"	"12"	741	2412669	30.7
	"2018"	"2018"	"Georgia"	"13"	520	1456128	35.7
	"2018"	"2018"	"Hawaii"	"15"	40	159133	25.1
	"2018"	"2018"	"Idaho"	"16"	113	255542	44.2
	"2018"	"2018"	"Illinois"	"17"	522	1647353	31.7
	"2018"	"2018"	"Indiana"	"18"	375	904243	41.5
	"2018"	"2018"	"Iowa"	"19"	135	422686	31.9
	"2018"	"2018"	"Kansas"	"20"	160	400720	39.9
	"2018"	"2018"	"Kentucky"	"21"	217	572893	37.9
	"2018"	"2018"	"Louisiana"	"22"	266	603371	44.1
	"2018"	"2018"	"Maine"	"23"	52	150626	34.5
	"2018"	"2018"	"Maryland"	"24"	218	760010	28.7
	"2018"	"2018"	"Massachusetts"	"25"	136	844548	16.1
	"2018"	"2018"	"Michigan"	"26"	417	1273169	32.8
	"2018"	"2018"	"Minnesota"	"27"	192	728461	26.4
	"2018"	"2018"	"Mississippi"	"28"	212	412860	51.3
	"2018"	"2018"	"Missouri"	"29"	354	783327	45.2
	"2018"	"2018"	"Montana"	"30"	70	129304	54.1
	"2018"	"2018"	"Nebraska"	"31"	85	265061	32.1
	"2018"	"2018"	"Nevada"	"32"	133	378120	35.2
	"2018"	"2018"	"New Hampshire"	"33"	51	161245	31.6
