"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	541	340014	159.1
	"2018"	"2018"	"Alaska"	"02"	87	61672	141.1
	"2018"	"2018"	"Arizona"	"04"	706	517980	136.3
	"2018"	"2018"	"Arkansas"	"05"	276	206497	133.7
	"2018"	"2018"	"California"	"06"	2511	3125816	80.3
	"2018"	"2018"	"Colorado"	"08"	472	453907	104.0
	"2018"	"2018"	"Connecticut"	"09"	250	222923	112.1
	"2018"	"2018"	"Delaware"	"10"	119	66980	177.7
	"2018"	"2018"	"District of Columbia"	"11"	86	83096	103.5
	"2018"	"2018"	"Florida"	"12"	1781	1436477	124.0
	"2018"	"2018"	"Georgia"	"13"	904	767745	117.7
	"2018"	"2018"	"Hawaii"	"15"	90	103977	86.6
	"2018"	"2018"	"Idaho"	"16"	122	119176	102.4
	"2018"	"2018"	"Illinois"	"17"	1062	903780	117.5
	"2018"	"2018"	"Indiana"	"18"	640	458859	139.5
	"2018"	"2018"	"Iowa"	"19"	199	204286	97.4
	"2018"	"2018"	"Kansas"	"20"	233	195035	119.5
	"2018"	"2018"	"Kentucky"	"21"	470	310326	151.5
	"2018"	"2018"	"Louisiana"	"22"	520	343819	151.2
	"2018"	"2018"	"Maine"	"23"	114	80641	141.4
	"2018"	"2018"	"Maryland"	"24"	628	418434	150.1
	"2018"	"2018"	"Massachusetts"	"25"	583	507860	114.8
	"2018"	"2018"	"Michigan"	"26"	921	694454	132.6
	"2018"	"2018"	"Minnesota"	"27"	332	376534	88.2
	"2018"	"2018"	"Mississippi"	"28"	334	209411	159.5
	"2018"	"2018"	"Missouri"	"29"	708	426568	166.0
	"2018"	"2018"	"Montana"	"30"	102	71120	143.4
	"2018"	"2018"	"Nebraska"	"31"	105	128475	81.7
	"2018"	"2018"	"Nevada"	"32"	240	227464	105.5
	"2018"	"2018"	"New Hampshire"	"33"	117	85844	136.3
	"2018"	"2018"	"New Jersey"	"34"	737	583053	126.4
	"2018"	"2018"	"New Mexico"	"35"	278	145687	190.8
	"2018"	"2018"	"New York"	"36"	1295	1485577	87.2
	"2018"	"2018"	"North Carolina"	"37"	946	728562	129.8
	"2018"	"2018"	"North Dakota"	"38"	85	61153	139.0
	"2018"	"2018"	"Ohio"	"39"	1214	806886	150.5
	"2018"	"2018"	"Oklahoma"	"40"	382	280849	136.0
	"2018"	"2018"	"Oregon"	"41"	274	302744	90.5
	"2018"	"2018"	"Pennsylvania"	"42"	1318	870748	151.4
	"2018"	"2018"	"Rhode Island"	"44"	64	76369	83.8
	"2018"	"2018"	"South Carolina"	"45"	538	354451	151.8
	"2018"	"2018"	"South Dakota"	"46"	79	58754	134.5
	"2018"	"2018"	"Tennessee"	"47"	755	492464	153.3
	"2018"	"2018"	"Texas"	"48"	2081	2159807	96.4
	"2018"	"2018"	"Utah"	"49"	241	247231	97.5
	"2018"	"2018"	"Vermont"	"50"	56	37533	149.2
	"2018"	"2018"	"Virginia"	"51"	613	604186	101.5
	"2018"	"2018"	"Washington"	"53"	518	589604	87.9
	"2018"	"2018"	"West Virginia"	"54"	229	113614	201.6
	"2018"	"2018"	"Wisconsin"	"55"	458	374435	122.3
	"2018"	"2018"	"Wyoming"	"56"	47	38879	120.9
"Total"	"2018"	"2018"			27461	23561756	116.5
	"2019"	"2019"	"Alabama"	"01"	498	338138	147.3
	"2019"	"2019"	"Alaska"	"02"	110	60427	182.0
	"2019"	"2019"	"Arizona"	"04"	726	525879	138.1
	"2019"	"2019"	"Arkansas"	"05"	236	205499	114.8
	"2019"	"2019"	"California"	"06"	2652	3094978	85.7
	"2019"	"2019"	"Colorado"	"08"	511	461160	110.8
	"2019"	"2019"	"Connecticut"	"09"	257	225457	114.0
	"2019"	"2019"	"Delaware"	"10"	111	65311	170.0
	"2019"	"2019"	"District of Columbia"	"11"	72	82514	87.3
	"2019"	"2019"	"Florida"	"12"	1807	1419816	127.3
	"2019"	"2019"	"Georgia"	"13"	872	771584	113.0
	"2019"	"2019"	"Hawaii"	"15"	77	101864	75.6
	"2019"	"2019"	"Idaho"	"16"	109	121631	89.6
	"2019"	"2019"	"Illinois"	"17"	1003	897230	111.8
	"2019"	"2019"	"Indiana"	"18"	644	464458	138.7
	"2019"	"2019"	"Iowa"	"19"	203	206055	98.5
	"2019"	"2019"	"Kansas"	"20"	230	196221	117.2
	"2019"	"2019"	"Kentucky"	"21"	416	309470	134.4
	"2019"	"2019"	"Louisiana"	"22"	486	335245	145.0
	"2019"	"2019"	"Maine"	"23"	100	81044	123.4
	"2019"	"2019"	"Maryland"	"24"	593	412144	143.9
	"2019"	"2019"	"Massachusetts"	"25"	531	504506	105.3
	"2019"	"2019"	"Michigan"	"26"	922	697811	132.1
	"2019"	"2019"	"Minnesota"	"27"	359	378787	94.8
	"2019"	"2019"	"Mississippi"	"28"	341	206989	164.7
	"2019"	"2019"	"Missouri"	"29"	618	425414	145.3
	"2019"	"2019"	"Montana"	"30"	74	71677	103.2
