"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Jan., 1999"	"1999/01"	10566	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	9578	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	10491	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	9877	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	10030	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	9697	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	10215	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	9842	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	9669	Not Applicable	Not Applicable
	"1999"	"1999"	"Oct., 1999"	"1999/10"	10034	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	9791	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	10782	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			120572	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	11326	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	9913	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	10126	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	10054	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	10316	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	10100	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	10432	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	10268	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	10075	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	10478	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	10373	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	11029	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			124490	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	11281	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	10005	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	10847	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	10352	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	10612	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	10386	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	10596	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	10724	Not Applicable	Not Applicable
	"2001"	"2001"	"Sep., 2001"	"2001/09"	11124	Not Applicable	Not Applicable
	"2001"	"2001"	"Oct., 2001"	"2001/10"	10899	Not Applicable	Not Applicable
	"2001"	"2001"	"Nov., 2001"	"2001/11"	10628	Not Applicable	Not Applicable
	"2001"	"2001"	"Dec., 2001"	"2001/12"	11009	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			128463	Not Applicable	Not Applicable
	"2002"	"2002"	"Jan., 2002"	"2002/01"	11505	Not Applicable	Not Applicable
	"2002"	"2002"	"Feb., 2002"	"2002/02"	10370	Not Applicable	Not Applicable
	"2002"	"2002"	"Mar., 2002"	"2002/03"	11256	Not Applicable	Not Applicable
	"2002"	"2002"	"Apr., 2002"	"2002/04"	10829	Not Applicable	Not Applicable
	"2002"	"2002"	"May, 2002"	"2002/05"	11131	Not Applicable	Not Applicable
	"2002"	"2002"	"Jun., 2002"	"2002/06"	10641	Not Applicable	Not Applicable
	"2002"	"2002"	"Jul., 2002"	"2002/07"	11273	Not Applicable	Not Applicable
	"2002"	"2002"	"Aug., 2002"	"2002/08"	11039	Not Applicable	Not Applicable
	"2002"	"2002"	"Sep., 2002"	"2002/09"	10558	Not Applicable	Not Applicable
	"2002"	"2002"	"Oct., 2002"	"2002/10"	10878	Not Applicable	Not Applicable
	"2002"	"2002"	"Nov., 2002"	"2002/11"	10960	Not Applicable	Not Applicable
	"2002"	"2002"	"Dec., 2002"	"2002/12"	11418	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			131858	Not Applicable	Not Applicable
	"2003"	"2003"	"Jan., 2003"	"2003/01"	11633	Not Applicable	Not Applicable
	"2003"	"2003"	"Feb., 2003"	"2003/02"	10455	Not Applicable	Not Applicable
	"2003"	"2003"	"Mar., 2003"	"2003/03"	11432	Not Applicable	Not Applicable
	"2003"	"2003"	"Apr., 2003"	"2003/04"	10793	Not Applicable	Not Applicable
	"2003"	"2003"	"May, 2003"	"2003/05"	11092	Not Applicable	Not Applicable
	"2003"	"2003"	"Jun., 2003"	"2003/06"	10735	Not Applicable	Not Applicable
	"2003"	"2003"	"Jul., 2003"	"2003/07"	11455	Not Applicable	Not Applicable
	"2003"	"2003"	"Aug., 2003"	"2003/08"	11088	Not Applicable	Not Applicable
	"2003"	"2003"	"Sep., 2003"	"2003/09"	10721	Not Applicable	Not Applicable
	"2003"	"2003"	"Oct., 2003"	"2003/10"	11163	Not Applicable	Not Applicable
	"2003"	"2003"	"Nov., 2003"	"2003/11"	10905	Not Applicable	Not Applicable
	"2003"	"2003"	"Dec., 2003"	"2003/12"	12107	Not Applicable	Not Applicable
"Total"	"2003"	"2003"			133579	Not Applicable	Not Applicable
	"2004"	"2004"	"Jan., 2004"	"2004/01"	11769	Not Applicable	Not Applicable
	"2004"	"2004"	"Feb., 2004"	"2004/02"	10691	Not Applicable	Not Applicable
	"2004"	"2004"	"Mar., 2004"	"2004/03"	11267	Not Applicable	Not Applicable
	"2004"	"2004"	"Apr., 2004"	"2004/04"	10738	Not Applicable	Not Applicable
	"2004"	"2004"	"May, 2004"	"2004/05"	10944	Not Applicable	Not Applicable
	"2004"	"2004"	"Jun., 2004"	"2004/06"	10839	Not Applicable	Not Applicable
	"2004"	"2004"	"Jul., 2004"	"2004/07"	11073	Not Applicable	Not Applicable
	"2004"	"2004"	"Aug., 2004"	"2004/08"	10874	Not Applicable	Not Applicable
	"2004"	"2004"	"Sep., 2004"	"2004/09"	10512	Not Applicable	Not Applicable
	"2004"	"2004"	"Oct., 2004"	"2004/10"	10892	Not Applicable	Not Applicable
	"2004"	"2004"	"Nov., 2004"	"2004/11"	10623	Not Applicable	Not Applicable
	"2004"	"2004"	"Dec., 2004"	"2004/12"	11123	Not Applicable	Not Applicable
"Total"	"2004"	"2004"			131345	Not Applicable	Not Applicable
	"2005"	"2005"	"Jan., 2005"	"2005/01"	11686	Not Applicable	Not Applicable
	"2005"	"2005"	"Feb., 2005"	"2005/02"	10673	Not Applicable	Not Applicable
	"2005"	"2005"	"Mar., 2005"	"2005/03"	11592	Not Applicable	Not Applicable
	"2005"	"2005"	"Apr., 2005"	"2005/04"	10965	Not Applicable	Not Applicable
	"2005"	"2005"	"May, 2005"	"2005/05"	11010	Not Applicable	Not Applicable
	"2005"	"2005"	"Jun., 2005"	"2005/06"	10658	Not Applicable	Not Applicable
	"2005"	"2005"	"Jul., 2005"	"2005/07"	11250	Not Applicable	Not Applicable
	"2005"	"2005"	"Aug., 2005"	"2005/08"	11065	Not Applicable	Not Applicable
	"2005"	"2005"	"Sep., 2005"	"2005/09"	10507	Not Applicable	Not Applicable
	"2005"	"2005"	"Oct., 2005"	"2005/10"	10877	Not Applicable	Not Applicable
