"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	6512	1150379	566.1
	"1999"	"1999"	"Alaska"	"02"	628	177663	353.5
	"1999"	"1999"	"Arizona"	"04"	5401	1202233	449.2
	"1999"	"1999"	"Arkansas"	"05"	3592	670293	535.9
	"1999"	"1999"	"California"	"06"	31525	8237027	382.7
	"1999"	"1999"	"Colorado"	"08"	3825	1147004	333.5
	"1999"	"1999"	"Connecticut"	"09"	3308	927336	356.7
	"1999"	"1999"	"Delaware"	"10"	886	200909	441.0
	"1999"	"1999"	"District of Columbia"	"11"	1216	141900	856.9
	"1999"	"1999"	"Florida"	"12"	18894	3977258	475.1
	"1999"	"1999"	"Georgia"	"13"	10332	2051064	503.7
	"1999"	"1999"	"Hawaii"	"15"	1142	320914	355.9
	"1999"	"1999"	"Idaho"	"16"	1087	320259	339.4
	"1999"	"1999"	"Illinois"	"17"	13711	3129062	438.2
	"1999"	"1999"	"Indiana"	"18"	6782	1563635	433.7
	"1999"	"1999"	"Iowa"	"19"	2529	746182	338.9
	"1999"	"1999"	"Kansas"	"20"	2622	675293	388.3
	"1999"	"1999"	"Kentucky"	"21"	5327	1059154	502.9
	"1999"	"1999"	"Louisiana"	"22"	6397	1122346	570.0
	"1999"	"1999"	"Maine"	"23"	1263	360171	350.7
	"1999"	"1999"	"Maryland"	"24"	6431	1439127	446.9
	"1999"	"1999"	"Massachusetts"	"25"	5922	1664398	355.8
	"1999"	"1999"	"Michigan"	"26"	11882	2612736	454.8
	"1999"	"1999"	"Minnesota"	"27"	3984	1268198	314.1
	"1999"	"1999"	"Mississippi"	"28"	4321	691701	624.7
	"1999"	"1999"	"Missouri"	"29"	6619	1431801	462.3
	"1999"	"1999"	"Montana"	"30"	967	252462	383.0
	"1999"	"1999"	"Nebraska"	"31"	1496	428238	349.3
	"1999"	"1999"	"Nevada"	"32"	2499	507814	492.1
	"1999"	"1999"	"New Hampshire"	"33"	1133	346605	326.9
	"1999"	"1999"	"New Jersey"	"34"	9222	2241855	411.4
	"1999"	"1999"	"New Mexico"	"35"	1993	463343	430.1
	"1999"	"1999"	"New York"	"36"	20811	4900589	424.7
	"1999"	"1999"	"North Carolina"	"37"	9948	2067924	481.1
	"1999"	"1999"	"North Dakota"	"38"	557	162514	342.7
	"1999"	"1999"	"Ohio"	"39"	12983	2990573	434.1
	"1999"	"1999"	"Oklahoma"	"40"	4509	874218	515.8
	"1999"	"1999"	"Oregon"	"41"	3552	935334	379.8
	"1999"	"1999"	"Pennsylvania"	"42"	14141	3260797	433.7
	"1999"	"1999"	"Rhode Island"	"44"	981	269259	364.3
	"1999"	"1999"	"South Carolina"	"45"	5939	1041472	570.3
	"1999"	"1999"	"South Dakota"	"46"	727	185002	393.0
	"1999"	"1999"	"Tennessee"	"47"	7918	1499495	528.0
	"1999"	"1999"	"Texas"	"48"	21605	4987959	433.1
	"1999"	"1999"	"Utah"	"49"	1529	454988	336.1
	"1999"	"1999"	"Vermont"	"50"	585	174785	334.7
	"1999"	"1999"	"Virginia"	"51"	7733	1899092	407.2
	"1999"	"1999"	"Washington"	"53"	5473	1588760	344.5
	"1999"	"1999"	"West Virginia"	"54"	2485	505393	491.7
	"1999"	"1999"	"Wisconsin"	"55"	4836	1392056	347.4
	"1999"	"1999"	"Wyoming"	"56"	550	138210	397.9
"Total"	"1999"	"1999"			310310	71856780	431.8
	"2000"	"2000"	"Alabama"	"01"	6713	1170871	573.3
	"2000"	"2000"	"Alaska"	"02"	685	180701	379.1
	"2000"	"2000"	"Arizona"	"04"	5633	1242696	453.3
	"2000"	"2000"	"Arkansas"	"05"	3798	686699	553.1
	"2000"	"2000"	"California"	"06"	32456	8469485	383.2
	"2000"	"2000"	"Colorado"	"08"	3998	1179578	338.9
	"2000"	"2000"	"Connecticut"	"09"	3531	947951	372.5
	"2000"	"2000"	"Delaware"	"10"	954	206266	462.5
	"2000"	"2000"	"District of Columbia"	"11"	1219	144841	841.6
	"2000"	"2000"	"Florida"	"12"	20239	4115203	491.8
	"2000"	"2000"	"Georgia"	"13"	10765	2110416	510.1
	"2000"	"2000"	"Hawaii"	"15"	1180	326782	361.1
	"2000"	"2000"	"Idaho"	"16"	1127	328327	343.3
	"2000"	"2000"	"Illinois"	"17"	13792	3191473	432.2
	"2000"	"2000"	"Indiana"	"18"	7060	1593530	443.0
	"2000"	"2000"	"Iowa"	"19"	2635	759148	347.1
	"2000"	"2000"	"Kansas"	"20"	2600	688594	377.6
	"2000"	"2000"	"Kentucky"	"21"	5453	1082149	503.9
	"2000"	"2000"	"Louisiana"	"22"	6733	1143870	588.6
	"2000"	"2000"	"Maine"	"23"	1346	369917	363.9
	"2000"	"2000"	"Maryland"	"24"	6713	1475047	455.1
	"2000"	"2000"	"Massachusetts"	"25"	6267	1705757	367.4
	"2000"	"2000"	"Michigan"	"26"	11994	2664840	450.1
	"2000"	"2000"	"Minnesota"	"27"	4091	1304245	313.7
	"2000"	"2000"	"Mississippi"	"28"	4387	707246	620.3
	"2000"	"2000"	"Missouri"	"29"	6705	1465854	457.4
	"2000"	"2000"	"Montana"	"30"	932	257623	361.8
	"2000"	"2000"	"Nebraska"	"31"	1456	437145	333.1
	"2000"	"2000"	"Nevada"	"32"	2674	530158	504.4
	"2000"	"2000"	"New Hampshire"	"33"	1202	358175	335.6
	"2000"	"2000"	"New Jersey"	"34"	9306	2289418	406.5
	"2000"	"2000"	"New Mexico"	"35"	2022	474590	426.1
	"2000"	"2000"	"New York"	"36"	20811	4993159	416.8
	"2000"	"2000"	"North Carolina"	"37"	10478	2117037	494.9
	"2000"	"2000"	"North Dakota"	"38"	515	165370	311.4
	"2000"	"2000"	"Ohio"	"39"	13372	3041103	439.7
	"2000"	"2000"	"Oklahoma"	"40"	4742	891351	532.0
	"2000"	"2000"	"Oregon"	"41"	3560	950986	374.3
	"2000"	"2000"	"Pennsylvania"	"42"	14547	3321677	437.9
	"2000"	"2000"	"Rhode Island"	"44"	1053	276791	380.4
	"2000"	"2000"	"South Carolina"	"45"	6157	1067649	576.7
	"2000"	"2000"	"South Dakota"	"46"	669	190092	351.9
	"2000"	"2000"	"Tennessee"	"47"	8130	1530058	531.4
	"2000"	"2000"	"Texas"	"48"	22713	5141013	441.8
	"2000"	"2000"	"Utah"	"49"	1548	466604	331.8
	"2000"	"2000"	"Vermont"	"50"	606	178948	338.6
	"2000"	"2000"	"Virginia"	"51"	8138	1947578	417.9
	"2000"	"2000"	"Washington"	"53"	5699	1622614	351.2
	"2000"	"2000"	"West Virginia"	"54"	2632	511815	514.2
	"2000"	"2000"	"Wisconsin"	"55"	5158	1425315	361.9
	"2000"	"2000"	"Wyoming"	"56"	556	141297	393.5
"Total"	"2000"	"2000"			320750	73589052	435.9
	"2001"	"2001"	"Alabama"	"01"	6933	1201790	576.9
	"2001"	"2001"	"Alaska"	"02"	745	186923	398.6
	"2001"	"2001"	"Arizona"	"04"	5754	1304003	441.3
	"2001"	"2001"	"Arkansas"	"05"	3851	705566	545.8
	"2001"	"2001"	"California"	"06"	33785	8804243	383.7
	"2001"	"2001"	"Colorado"	"08"	4227	1234321	342.5
	"2001"	"2001"	"Connecticut"	"09"	3518	980206	358.9
	"2001"	"2001"	"Delaware"	"10"	1046	214501	487.6
	"2001"	"2001"	"District of Columbia"	"11"	1267	147623	858.3
	"2001"	"2001"	"Florida"	"12"	20825	4317285	482.4
	"2001"	"2001"	"Georgia"	"13"	11270	2202920	511.6
	"2001"	"2001"	"Hawaii"	"15"	1287	337072	381.8
	"2001"	"2001"	"Idaho"	"16"	1219	341255	357.2
	"2001"	"2001"	"Illinois"	"17"	14176	3283650	431.7
	"2001"	"2001"	"Indiana"	"18"	7219	1639897	440.2
	"2001"	"2001"	"Iowa"	"19"	2584	779084	331.7
	"2001"	"2001"	"Kansas"	"20"	2859	710115	402.6
	"2001"	"2001"	"Kentucky"	"21"	5878	1112141	528.5
	"2001"	"2001"	"Louisiana"	"22"	6832	1175286	581.3
	"2001"	"2001"	"Maine"	"23"	1381	383402	360.2
	"2001"	"2001"	"Maryland"	"24"	6872	1529252	449.4
	"2001"	"2001"	"Massachusetts"	"25"	6596	1760571	374.7
	"2001"	"2001"	"Michigan"	"26"	12292	2737559	449.0
	"2001"	"2001"	"Minnesota"	"27"	4127	1355513	304.5
