"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Alaska"	"02"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Arizona"	"04"	41	Not Applicable	Not Applicable
	"1999"	"1999"	"Arkansas"	"05"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"California"	"06"	81	Not Applicable	Not Applicable
	"1999"	"1999"	"Colorado"	"08"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Connecticut"	"09"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Delaware"	"10"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"District of Columbia"	"11"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Florida"	"12"	51	Not Applicable	Not Applicable
	"1999"	"1999"	"Georgia"	"13"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Hawaii"	"15"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Idaho"	"16"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Illinois"	"17"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Indiana"	"18"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Iowa"	"19"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Kansas"	"20"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Kentucky"	"21"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Louisiana"	"22"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Maine"	"23"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Maryland"	"24"	26	Not Applicable	Not Applicable
	"1999"	"1999"	"Massachusetts"	"25"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Michigan"	"26"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Minnesota"	"27"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Mississippi"	"28"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Missouri"	"29"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Montana"	"30"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Nebraska"	"31"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Nevada"	"32"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"New Hampshire"	"33"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"New Jersey"	"34"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"New Mexico"	"35"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"New York"	"36"	24	Not Applicable	Not Applicable
	"1999"	"1999"	"North Carolina"	"37"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"North Dakota"	"38"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Ohio"	"39"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Oklahoma"	"40"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Oregon"	"41"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Pennsylvania"	"42"	12	Not Applicable	Not Applicable
	"1999"	"1999"	"Rhode Island"	"44"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"South Carolina"	"45"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"South Dakota"	"46"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Tennessee"	"47"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Texas"	"48"	19	Not Applicable	Not Applicable
	"1999"	"1999"	"Utah"	"49"	Suppressed	Not Applicable	Not Applicable
	"1999"	"1999"	"Vermont"	"50"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Virginia"	"51"	Suppressed	Not Applicable	Not Applicable
