"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",214986,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",196915,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",214320,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",185479,Not Applicable,Not Applicable
,"May, 1999","1999/05",180881,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",169735,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",176146,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",171916,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",170195,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",184562,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",181331,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",210482,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",234677,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",192282,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",190729,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",179584,Not Applicable,Not Applicable
,"May, 2000","2000/05",181931,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",172595,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",177632,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",177913,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",176430,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",188769,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",188254,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",208104,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",214136,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",187837,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",203634,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",191456,Not Applicable,Not Applicable
,"May, 2001","2001/05",189534,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",180665,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",180458,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",179963,Not Applicable,Not Applicable
,"Sep., 2001","2001/09",178228,Not Applicable,Not Applicable
,"Oct., 2001","2001/10",190960,Not Applicable,Not Applicable
,"Nov., 2001","2001/11",185945,Not Applicable,Not Applicable
,"Dec., 2001","2001/12",198571,Not Applicable,Not Applicable
,"Jan., 2002","2002/01",213472,Not Applicable,Not Applicable
,"Feb., 2002","2002/02",198055,Not Applicable,Not Applicable
,"Mar., 2002","2002/03",214204,Not Applicable,Not Applicable
,"Apr., 2002","2002/04",188509,Not Applicable,Not Applicable
,"May, 2002","2002/05",188476,Not Applicable,Not Applicable
,"Jun., 2002","2002/06",176886,Not Applicable,Not Applicable
,"Jul., 2002","2002/07",182047,Not Applicable,Not Applicable
,"Aug., 2002","2002/08",180004,Not Applicable,Not Applicable
,"Sep., 2002","2002/09",176747,Not Applicable,Not Applicable
,"Oct., 2002","2002/10",188484,Not Applicable,Not Applicable
,"Nov., 2002","2002/11",190664,Not Applicable,Not Applicable
,"Dec., 2002","2002/12",207581,Not Applicable,Not Applicable
,"Jan., 2003","2003/01",211312,Not Applicable,Not Applicable
,"Feb., 2003","2003/02",189018,Not Applicable,Not Applicable
,"Mar., 2003","2003/03",201126,Not Applicable,Not Applicable
,"Apr., 2003","2003/04",187546,Not Applicable,Not Applicable
,"May, 2003","2003/05",187334,Not Applicable,Not Applicable
,"Jun., 2003","2003/06",180102,Not Applicable,Not Applicable
,"Jul., 2003","2003/07",182097,Not Applicable,Not Applicable
,"Aug., 2003","2003/08",181045,Not Applicable,Not Applicable
,"Sep., 2003","2003/09",177225,Not Applicable,Not Applicable
,"Oct., 2003","2003/10",190849,Not Applicable,Not Applicable
,"Nov., 2003","2003/11",189409,Not Applicable,Not Applicable
,"Dec., 2003","2003/12",227703,Not Applicable,Not Applicable
,"Jan., 2004","2004/01",224278,Not Applicable,Not Applicable
,"Feb., 2004","2004/02",192559,Not Applicable,Not Applicable
,"Mar., 2004","2004/03",197564,Not Applicable,Not Applicable
,"Apr., 2004","2004/04",184629,Not Applicable,Not Applicable
,"May, 2004","2004/05",182578,Not Applicable,Not Applicable
,"Jun., 2004","2004/06",174877,Not Applicable,Not Applicable
,"Jul., 2004","2004/07",178993,Not Applicable,Not Applicable
,"Aug., 2004","2004/08",177932,Not Applicable,Not Applicable
,"Sep., 2004","2004/09",172914,Not Applicable,Not Applicable
,"Oct., 2004","2004/10",186253,Not Applicable,Not Applicable
,"Nov., 2004","2004/11",182150,Not Applicable,Not Applicable
,"Dec., 2004","2004/12",199008,Not Applicable,Not Applicable
,"Jan., 2005","2005/01",213059,Not Applicable,Not Applicable
,"Feb., 2005","2005/02",200999,Not Applicable,Not Applicable
,"Mar., 2005","2005/03",217845,Not Applicable,Not Applicable
,"Apr., 2005","2005/04",192615,Not Applicable,Not Applicable
,"May, 2005","2005/05",188338,Not Applicable,Not Applicable
,"Jun., 2005","2005/06",175665,Not Applicable,Not Applicable
,"Jul., 2005","2005/07",179402,Not Applicable,Not Applicable
,"Aug., 2005","2005/08",178923,Not Applicable,Not Applicable
,"Sep., 2005","2005/09",174039,Not Applicable,Not Applicable
,"Oct., 2005","2005/10",185902,Not Applicable,Not Applicable
,"Nov., 2005","2005/11",186649,Not Applicable,Not Applicable
,"Dec., 2005","2005/12",206503,Not Applicable,Not Applicable
,"Jan., 2006","2006/01",206946,Not Applicable,Not Applicable
,"Feb., 2006","2006/02",189004,Not Applicable,Not Applicable
,"Mar., 2006","2006/03",208885,Not Applicable,Not Applicable
,"Apr., 2006","2006/04",190010,Not Applicable,Not Applicable
,"May, 2006","2006/05",188178,Not Applicable,Not Applicable
,"Jun., 2006","2006/06",176670,Not Applicable,Not Applicable
,"Jul., 2006","2006/07",182379,Not Applicable,Not Applicable
,"Aug., 2006","2006/08",179039,Not Applicable,Not Applicable
,"Sep., 2006","2006/09",176515,Not Applicable,Not Applicable
,"Oct., 2006","2006/10",189671,Not Applicable,Not Applicable
,"Nov., 2006","2006/11",188112,Not Applicable,Not Applicable
,"Dec., 2006","2006/12",202287,Not Applicable,Not Applicable
,"Jan., 2007","2007/01",208331,Not Applicable,Not Applicable
,"Feb., 2007","2007/02",192094,Not Applicable,Not Applicable
,"Mar., 2007","2007/03",204487,Not Applicable,Not Applicable
,"Apr., 2007","2007/04",190129,Not Applicable,Not Applicable
,"May, 2007","2007/05",187081,Not Applicable,Not Applicable
,"Jun., 2007","2007/06",175973,Not Applicable,Not Applicable
,"Jul., 2007","2007/07",179705,Not Applicable,Not Applicable
,"Aug., 2007","2007/08",179224,Not Applicable,Not Applicable
,"Sep., 2007","2007/09",176118,Not Applicable,Not Applicable
,"Oct., 2007","2007/10",185599,Not Applicable,Not Applicable
,"Nov., 2007","2007/11",187305,Not Applicable,Not Applicable
,"Dec., 2007","2007/12",202813,Not Applicable,Not Applicable
,"Jan., 2008","2008/01",209779,Not Applicable,Not Applicable
,"Feb., 2008","2008/02",209273,Not Applicable,Not Applicable
,"Mar., 2008","2008/03",218224,Not Applicable,Not Applicable
,"Apr., 2008","2008/04",193580,Not Applicable,Not Applicable
,"May, 2008","2008/05",189204,Not Applicable,Not Applicable
,"Jun., 2008","2008/06",177856,Not Applicable,Not Applicable
,"Jul., 2008","2008/07",178968,Not Applicable,Not Applicable
,"Aug., 2008","2008/08",179158,Not Applicable,Not Applicable
,"Sep., 2008","2008/09",175197,Not Applicable,Not Applicable
,"Oct., 2008","2008/10",187349,Not Applicable,Not Applicable
,"Nov., 2008","2008/11",188002,Not Applicable,Not Applicable
,"Dec., 2008","2008/12",203773,Not Applicable,Not Applicable
,"Jan., 2009","2009/01",208346,Not Applicable,Not Applicable
,"Feb., 2009","2009/02",187093,Not Applicable,Not Applicable
,"Mar., 2009","2009/03",201848,Not Applicable,Not Applicable
,"Apr., 2009","2009/04",189455,Not Applicable,Not Applicable
,"May, 2009","2009/05",186855,Not Applicable,Not Applicable
,"Jun., 2009","2009/06",177888,Not Applicable,Not Applicable
,"Jul., 2009","2009/07",181167,Not Applicable,Not Applicable
,"Aug., 2009","2009/08",179067,Not Applicable,Not Applicable
,"Sep., 2009","2009/09",176470,Not Applicable,Not Applicable
,"Oct., 2009","2009/10",193121,Not Applicable,Not Applicable
,"Nov., 2009","2009/11",187224,Not Applicable,Not Applicable
,"Dec., 2009","2009/12",202773,Not Applicable,Not Applicable
,"Jan., 2010","2010/01",207797,Not Applicable,Not Applicable
,"Feb., 2010","2010/02",186510,Not Applicable,Not Applicable
,"Mar., 2010","2010/03",204019,Not Applicable,Not Applicable
,"Apr., 2010","2010/04",188385,Not Applicable,Not Applicable
,"May, 2010","2010/05",189899,Not Applicable,Not Applicable
,"Jun., 2010","2010/06",178902,Not Applicable,Not Applicable
,"Jul., 2010","2010/07",184929,Not Applicable,Not Applicable
,"Aug., 2010","2010/08",182855,Not Applicable,Not Applicable
,"Sep., 2010","2010/09",179666,Not Applicable,Not Applicable
,"Oct., 2010","2010/10",192535,Not Applicable,Not Applicable
,"Nov., 2010","2010/11",191792,Not Applicable,Not Applicable
,"Dec., 2010","2010/12",210179,Not Applicable,Not Applicable
,"Jan., 2011","2011/01",217599,Not Applicable,Not Applicable
,"Feb., 2011","2011/02",197180,Not Applicable,Not Applicable
,"Mar., 2011","2011/03",209570,Not Applicable,Not Applicable
,"Apr., 2011","2011/04",193557,Not Applicable,Not Applicable
,"May, 2011","2011/05",193600,Not Applicable,Not Applicable
,"Jun., 2011","2011/06",183009,Not Applicable,Not Applicable
,"Jul., 2011","2011/07",187382,Not Applicable,Not Applicable
,"Aug., 2011","2011/08",185762,Not Applicable,Not Applicable
,"Sep., 2011","2011/09",180917,Not Applicable,Not Applicable
,"Oct., 2011","2011/10",193102,Not Applicable,Not Applicable
,"Nov., 2011","2011/11",191584,Not Applicable,Not Applicable
,"Dec., 2011","2011/12",203019,Not Applicable,Not Applicable
,"Jan., 2012","2012/01",209842,Not Applicable,Not Applicable
,"Feb., 2012","2012/02",194347,Not Applicable,Not Applicable
,"Mar., 2012","2012/03",206049,Not Applicable,Not Applicable
,"Apr., 2012","2012/04",193237,Not Applicable,Not Applicable
,"May, 2012","2012/05",193035,Not Applicable,Not Applicable
,"Jun., 2012","2012/06",184602,Not Applicable,Not Applicable
,"Jul., 2012","2012/07",189029,Not Applicable,Not Applicable
,"Aug., 2012","2012/08",189646,Not Applicable,Not Applicable
,"Sep., 2012","2012/09",186423,Not Applicable,Not Applicable
,"Oct., 2012","2012/10",198484,Not Applicable,Not Applicable
,"Nov., 2012","2012/11",199073,Not Applicable,Not Applicable
,"Dec., 2012","2012/12",218737,Not Applicable,Not Applicable
,"Jan., 2013","2013/01",243907,Not Applicable,Not Applicable
,"Feb., 2013","2013/02",202674,Not Applicable,Not Applicable
,"Mar., 2013","2013/03",216648,Not Applicable,Not Applicable
,"Apr., 2013","2013/04",198726,Not Applicable,Not Applicable
,"May, 2013","2013/05",194972,Not Applicable,Not Applicable
,"Jun., 2013","2013/06",185422,Not Applicable,Not Applicable
,"Jul., 2013","2013/07",189420,Not Applicable,Not Applicable
,"Aug., 2013","2013/08",189737,Not Applicable,Not Applicable
,"Sep., 2013","2013/09",184199,Not Applicable,Not Applicable
,"Oct., 2013","2013/10",196393,Not Applicable,Not Applicable
,"Nov., 2013","2013/11",196520,Not Applicable,Not Applicable
,"Dec., 2013","2013/12",213097,Not Applicable,Not Applicable
,"Jan., 2014","2014/01",225102,Not Applicable,Not Applicable
,"Feb., 2014","2014/02",196516,Not Applicable,Not Applicable
,"Mar., 2014","2014/03",211966,Not Applicable,Not Applicable
,"Apr., 2014","2014/04",200144,Not Applicable,Not Applicable
,"May, 2014","2014/05",201184,Not Applicable,Not Applicable
,"Jun., 2014","2014/06",189587,Not Applicable,Not Applicable
,"Jul., 2014","2014/07",193888,Not Applicable,Not Applicable
,"Aug., 2014","2014/08",192693,Not Applicable,Not Applicable
,"Sep., 2014","2014/09",190251,Not Applicable,Not Applicable
,"Oct., 2014","2014/10",201917,Not Applicable,Not Applicable
,"Nov., 2014","2014/11",205327,Not Applicable,Not Applicable
,"Dec., 2014","2014/12",226042,Not Applicable,Not Applicable
,"Jan., 2015","2015/01",247163,Not Applicable,Not Applicable
,"Feb., 2015","2015/02",211036,Not Applicable,Not Applicable
,"Mar., 2015","2015/03",225277,Not Applicable,Not Applicable
