"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	205859	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	188347	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	205454	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	179011	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	175429	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	165024	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	171179	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	167069	Not Applicable	Not Applicable
	"Sep., 1999"	"1999/09"	164703	Not Applicable	Not Applicable
	"Oct., 1999"	"1999/10"	178318	Not Applicable	Not Applicable
	"Nov., 1999"	"1999/11"	174589	Not Applicable	Not Applicable
	"Dec., 1999"	"1999/12"	202070	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	223058	Not Applicable	Not Applicable
	"Feb., 2000"	"2000/02"	184105	Not Applicable	Not Applicable
	"Mar., 2000"	"2000/03"	183706	Not Applicable	Not Applicable
	"Apr., 2000"	"2000/04"	173571	Not Applicable	Not Applicable
	"May, 2000"	"2000/05"	175983	Not Applicable	Not Applicable
	"Jun., 2000"	"2000/06"	167333	Not Applicable	Not Applicable
	"Jul., 2000"	"2000/07"	172131	Not Applicable	Not Applicable
	"Aug., 2000"	"2000/08"	172255	Not Applicable	Not Applicable
	"Sep., 2000"	"2000/09"	170286	Not Applicable	Not Applicable
	"Oct., 2000"	"2000/10"	181220	Not Applicable	Not Applicable
	"Nov., 2000"	"2000/11"	180882	Not Applicable	Not Applicable
	"Dec., 2000"	"2000/12"	199182	Not Applicable	Not Applicable
	"Jan., 2001"	"2001/01"	204847	Not Applicable	Not Applicable
	"Feb., 2001"	"2001/02"	179839	Not Applicable	Not Applicable
	"Mar., 2001"	"2001/03"	195089	Not Applicable	Not Applicable
	"Apr., 2001"	"2001/04"	184219	Not Applicable	Not Applicable
	"May, 2001"	"2001/05"	182504	Not Applicable	Not Applicable
	"Jun., 2001"	"2001/06"	174032	Not Applicable	Not Applicable
	"Jul., 2001"	"2001/07"	174237	Not Applicable	Not Applicable
