"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	227573	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	208148	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	226735	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	196520	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	191951	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	180118	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	186837	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	182459	Not Applicable	Not Applicable
	"Sep., 1999"	"1999/09"	180279	Not Applicable	Not Applicable
	"Oct., 1999"	"1999/10"	195614	Not Applicable	Not Applicable
	"Nov., 1999"	"1999/11"	192055	Not Applicable	Not Applicable
	"Dec., 1999"	"1999/12"	222754	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	247784	Not Applicable	Not Applicable
	"Feb., 2000"	"2000/02"	203288	Not Applicable	Not Applicable
	"Mar., 2000"	"2000/03"	201798	Not Applicable	Not Applicable
	"Apr., 2000"	"2000/04"	190393	Not Applicable	Not Applicable
	"May, 2000"	"2000/05"	193086	Not Applicable	Not Applicable
	"Jun., 2000"	"2000/06"	183101	Not Applicable	Not Applicable
	"Jul., 2000"	"2000/07"	188544	Not Applicable	Not Applicable
	"Aug., 2000"	"2000/08"	188655	Not Applicable	Not Applicable
	"Sep., 2000"	"2000/09"	186935	Not Applicable	Not Applicable
	"Oct., 2000"	"2000/10"	199799	Not Applicable	Not Applicable
	"Nov., 2000"	"2000/11"	199268	Not Applicable	Not Applicable
	"Dec., 2000"	"2000/12"	220344	Not Applicable	Not Applicable
	"Jan., 2001"	"2001/01"	226608	Not Applicable	Not Applicable
	"Feb., 2001"	"2001/02"	198651	Not Applicable	Not Applicable
	"Mar., 2001"	"2001/03"	215477	Not Applicable	Not Applicable
	"Apr., 2001"	"2001/04"	202690	Not Applicable	Not Applicable
	"May, 2001"	"2001/05"	200592	Not Applicable	Not Applicable
	"Jun., 2001"	"2001/06"	191187	Not Applicable	Not Applicable
	"Jul., 2001"	"2001/07"	191231	Not Applicable	Not Applicable
	"Aug., 2001"	"2001/08"	190920	Not Applicable	Not Applicable
	"Sep., 2001"	"2001/09"	188804	Not Applicable	Not Applicable
	"Oct., 2001"	"2001/10"	202405	Not Applicable	Not Applicable
	"Nov., 2001"	"2001/11"	197128	Not Applicable	Not Applicable
	"Dec., 2001"	"2001/12"	210310	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	225954	Not Applicable	Not Applicable
	"Feb., 2002"	"2002/02"	209396	Not Applicable	Not Applicable
	"Mar., 2002"	"2002/03"	226449	Not Applicable	Not Applicable
	"Apr., 2002"	"2002/04"	199744	Not Applicable	Not Applicable
	"May, 2002"	"2002/05"	199849	Not Applicable	Not Applicable
	"Jun., 2002"	"2002/06"	187655	Not Applicable	Not Applicable
	"Jul., 2002"	"2002/07"	193235	Not Applicable	Not Applicable
	"Aug., 2002"	"2002/08"	190982	Not Applicable	Not Applicable
	"Sep., 2002"	"2002/09"	187537	Not Applicable	Not Applicable
	"Oct., 2002"	"2002/10"	199959	Not Applicable	Not Applicable
	"Nov., 2002"	"2002/11"	202284	Not Applicable	Not Applicable
