"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 2018","2018/01",272,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",259,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",273,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",259,Not Applicable,Not Applicable
,"May, 2018","2018/05",271,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",259,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",271,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",250,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",241,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",259,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",247,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",259,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",255,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",245,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",246,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",270,Not Applicable,Not Applicable
,"May, 2019","2019/05",264,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",282,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",278,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",270,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",268,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",244,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",265,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",277,Not Applicable,Not Applicable
,"Jan., 2020","2020/01",286,Not Applicable,Not Applicable
,"Feb., 2020","2020/02",276,Not Applicable,Not Applicable
,"Mar., 2020","2020/03",261,Not Applicable,Not Applicable
,"Apr., 2020","2020/04",252,Not Applicable,Not Applicable
,"May, 2020","2020/05",261,Not Applicable,Not Applicable
,"Jun., 2020","2020/06",299,Not Applicable,Not Applicable
,"Jul., 2020","2020/07",323,Not Applicable,Not Applicable
,"Aug., 2020","2020/08",270,Not Applicable,Not Applicable
,"Sep., 2020","2020/09",294,Not Applicable,Not Applicable
,"Oct., 2020","2020/10",299,Not Applicable,Not Applicable
,"Nov., 2020","2020/11",314,Not Applicable,Not Applicable
,"Dec., 2020","2020/12",278,Not Applicable,Not Applicable
,"Jan., 2021","2021/01",256,Not Applicable,Not Applicable
,"Feb., 2021","2021/02",267,Not Applicable,Not Applicable
,"Mar., 2021","2021/03",306,Not Applicable,Not Applicable
,"Apr., 2021","2021/04",260,Not Applicable,Not Applicable
,"May, 2021","2021/05",304,Not Applicable,Not Applicable
,"Jun., 2021","2021/06",358,Not Applicable,Not Applicable
,"Jul., 2021","2021/07",310,Not Applicable,Not Applicable
,"Aug., 2021","2021/08",308,Not Applicable,Not Applicable
,"Sep., 2021","2021/09",306,Not Applicable,Not Applicable
,"Oct., 2021","2021/10",299,Not Applicable,Not Applicable
,"Nov., 2021","2021/11",282,Not Applicable,Not Applicable
,"Dec., 2021","2021/12",313,Not Applicable,Not Applicable
"Total",,,13266,Not Applicable,Not Applicable
