"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	57318	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	52995	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	57572	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	50022	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	48688	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	45936	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	47038	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	45945	Not Applicable	Not Applicable
	"Sep., 1999"	"1999/09"	45570	Not Applicable	Not Applicable
	"Oct., 1999"	"1999/10"	49253	Not Applicable	Not Applicable
	"Nov., 1999"	"1999/11"	48177	Not Applicable	Not Applicable
	"Dec., 1999"	"1999/12"	55740	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	61403	Not Applicable	Not Applicable
	"Feb., 2000"	"2000/02"	50769	Not Applicable	Not Applicable
	"Mar., 2000"	"2000/03"	51023	Not Applicable	Not Applicable
	"Apr., 2000"	"2000/04"	47796	Not Applicable	Not Applicable
	"May, 2000"	"2000/05"	48101	Not Applicable	Not Applicable
	"Jun., 2000"	"2000/06"	45795	Not Applicable	Not Applicable
	"Jul., 2000"	"2000/07"	46642	Not Applicable	Not Applicable
	"Aug., 2000"	"2000/08"	46697	Not Applicable	Not Applicable
	"Sep., 2000"	"2000/09"	46159	Not Applicable	Not Applicable
	"Oct., 2000"	"2000/10"	49565	Not Applicable	Not Applicable
	"Nov., 2000"	"2000/11"	49370	Not Applicable	Not Applicable
	"Dec., 2000"	"2000/12"	53850	Not Applicable	Not Applicable
	"Jan., 2001"	"2001/01"	55301	Not Applicable	Not Applicable
	"Feb., 2001"	"2001/02"	48800	Not Applicable	Not Applicable
	"Mar., 2001"	"2001/03"	53119	Not Applicable	Not Applicable
	"Apr., 2001"	"2001/04"	49889	Not Applicable	Not Applicable
	"May, 2001"	"2001/05"	48917	Not Applicable	Not Applicable
	"Jun., 2001"	"2001/06"	46663	Not Applicable	Not Applicable
	"Jul., 2001"	"2001/07"	46266	Not Applicable	Not Applicable
	"Aug., 2001"	"2001/08"	46167	Not Applicable	Not Applicable
	"Sep., 2001"	"2001/09"	44516	Not Applicable	Not Applicable
	"Oct., 2001"	"2001/10"	48625	Not Applicable	Not Applicable
	"Nov., 2001"	"2001/11"	47608	Not Applicable	Not Applicable
	"Dec., 2001"	"2001/12"	50534	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	53630	Not Applicable	Not Applicable
	"Feb., 2002"	"2002/02"	49758	Not Applicable	Not Applicable
	"Mar., 2002"	"2002/03"	54129	Not Applicable	Not Applicable
	"Apr., 2002"	"2002/04"	47629	Not Applicable	Not Applicable
	"May, 2002"	"2002/05"	47756	Not Applicable	Not Applicable
	"Jun., 2002"	"2002/06"	44344	Not Applicable	Not Applicable
	"Jul., 2002"	"2002/07"	45291	Not Applicable	Not Applicable
	"Aug., 2002"	"2002/08"	45141	Not Applicable	Not Applicable
	"Sep., 2002"	"2002/09"	43994	Not Applicable	Not Applicable
	"Oct., 2002"	"2002/10"	46992	Not Applicable	Not Applicable
	"Nov., 2002"	"2002/11"	47596	Not Applicable	Not Applicable
	"Dec., 2002"	"2002/12"	51279	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	51911	Not Applicable	Not Applicable
	"Feb., 2003"	"2003/02"	46496	Not Applicable	Not Applicable
	"Mar., 2003"	"2003/03"	49616	Not Applicable	Not Applicable
	"Apr., 2003"	"2003/04"	46512	Not Applicable	Not Applicable
	"May, 2003"	"2003/05"	46268	Not Applicable	Not Applicable
	"Jun., 2003"	"2003/06"	44445	Not Applicable	Not Applicable
	"Jul., 2003"	"2003/07"	44321	Not Applicable	Not Applicable
	"Aug., 2003"	"2003/08"	44148	Not Applicable	Not Applicable
	"Sep., 2003"	"2003/09"	43214	Not Applicable	Not Applicable
	"Oct., 2003"	"2003/10"	46303	Not Applicable	Not Applicable
	"Nov., 2003"	"2003/11"	45800	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	54831	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	53694	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	46564	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	48052	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	45127	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	43870	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	41919	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	42491	Not Applicable	Not Applicable
	"Aug., 2004"	"2004/08"	42121	Not Applicable	Not Applicable
	"Sep., 2004"	"2004/09"	40955	Not Applicable	Not Applicable
	"Oct., 2004"	"2004/10"	44160	Not Applicable	Not Applicable
	"Nov., 2004"	"2004/11"	42644	Not Applicable	Not Applicable
	"Dec., 2004"	"2004/12"	46831	Not Applicable	Not Applicable
	"Jan., 2005"	"2005/01"	49701	Not Applicable	Not Applicable
	"Feb., 2005"	"2005/02"	47065	Not Applicable	Not Applicable
	"Mar., 2005"	"2005/03"	50483	Not Applicable	Not Applicable
	"Apr., 2005"	"2005/04"	45081	Not Applicable	Not Applicable
	"May, 2005"	"2005/05"	44262	Not Applicable	Not Applicable
	"Jun., 2005"	"2005/06"	41351	Not Applicable	Not Applicable
	"Jul., 2005"	"2005/07"	41340	Not Applicable	Not Applicable
	"Aug., 2005"	"2005/08"	41588	Not Applicable	Not Applicable
	"Sep., 2005"	"2005/09"	40175	Not Applicable	Not Applicable
	"Oct., 2005"	"2005/10"	42709	Not Applicable	Not Applicable
	"Nov., 2005"	"2005/11"	42773	Not Applicable	Not Applicable
	"Dec., 2005"	"2005/12"	47479	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	47497	Not Applicable	Not Applicable
	"Feb., 2006"	"2006/02"	43264	Not Applicable	Not Applicable
	"Mar., 2006"	"2006/03"	47922	Not Applicable	Not Applicable
	"Apr., 2006"	"2006/04"	43298	Not Applicable	Not Applicable
	"May, 2006"	"2006/05"	42824	Not Applicable	Not Applicable
	"Jun., 2006"	"2006/06"	39971	Not Applicable	Not Applicable
	"Jul., 2006"	"2006/07"	40687	Not Applicable	Not Applicable
	"Aug., 2006"	"2006/08"	40325	Not Applicable	Not Applicable
	"Sep., 2006"	"2006/09"	39683	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	42524	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	42446	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	45479	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	46494	Not Applicable	Not Applicable
	"Feb., 2007"	"2007/02"	42736	Not Applicable	Not Applicable
	"Mar., 2007"	"2007/03"	45558	Not Applicable	Not Applicable
	"Apr., 2007"	"2007/04"	42353	Not Applicable	Not Applicable
	"May, 2007"	"2007/05"	41850	Not Applicable	Not Applicable
	"Jun., 2007"	"2007/06"	39388	Not Applicable	Not Applicable
	"Jul., 2007"	"2007/07"	39874	Not Applicable	Not Applicable
	"Aug., 2007"	"2007/08"	39317	Not Applicable	Not Applicable
	"Sep., 2007"	"2007/09"	38769	Not Applicable	Not Applicable
	"Oct., 2007"	"2007/10"	41113	Not Applicable	Not Applicable
	"Nov., 2007"	"2007/11"	41028	Not Applicable	Not Applicable
	"Dec., 2007"	"2007/12"	44796	Not Applicable	Not Applicable
	"Jan., 2008"	"2008/01"	46334	Not Applicable	Not Applicable
	"Feb., 2008"	"2008/02"	45600	Not Applicable	Not Applicable
	"Mar., 2008"	"2008/03"	46933	Not Applicable	Not Applicable
	"Apr., 2008"	"2008/04"	42215	Not Applicable	Not Applicable
	"May, 2008"	"2008/05"	41656	Not Applicable	Not Applicable
	"Jun., 2008"	"2008/06"	38944	Not Applicable	Not Applicable
	"Jul., 2008"	"2008/07"	39188	Not Applicable	Not Applicable
	"Aug., 2008"	"2008/08"	39545	Not Applicable	Not Applicable
	"Sep., 2008"	"2008/09"	38338	Not Applicable	Not Applicable
	"Oct., 2008"	"2008/10"	41119	Not Applicable	Not Applicable
	"Nov., 2008"	"2008/11"	41105	Not Applicable	Not Applicable
	"Dec., 2008"	"2008/12"	44522	Not Applicable	Not Applicable
	"Jan., 2009"	"2009/01"	45140	Not Applicable	Not Applicable
	"Feb., 2009"	"2009/02"	40668	Not Applicable	Not Applicable
	"Mar., 2009"	"2009/03"	43545	Not Applicable	Not Applicable
	"Apr., 2009"	"2009/04"	41144	Not Applicable	Not Applicable
	"May, 2009"	"2009/05"	40671	Not Applicable	Not Applicable
	"Jun., 2009"	"2009/06"	38759	Not Applicable	Not Applicable
	"Jul., 2009"	"2009/07"	38619	Not Applicable	Not Applicable
	"Aug., 2009"	"2009/08"	38742	Not Applicable	Not Applicable
	"Sep., 2009"	"2009/09"	37742	Not Applicable	Not Applicable
	"Oct., 2009"	"2009/10"	41342	Not Applicable	Not Applicable
	"Nov., 2009"	"2009/11"	40183	Not Applicable	Not Applicable
	"Dec., 2009"	"2009/12"	43693	Not Applicable	Not Applicable
	"Jan., 2010"	"2010/01"	44815	Not Applicable	Not Applicable
	"Feb., 2010"	"2010/02"	40057	Not Applicable	Not Applicable
	"Mar., 2010"	"2010/03"	43841	Not Applicable	Not Applicable
	"Apr., 2010"	"2010/04"	40272	Not Applicable	Not Applicable
	"May, 2010"	"2010/05"	40933	Not Applicable	Not Applicable
	"Jun., 2010"	"2010/06"	38338	Not Applicable	Not Applicable
	"Jul., 2010"	"2010/07"	39191	Not Applicable	Not Applicable
	"Aug., 2010"	"2010/08"	39204	Not Applicable	Not Applicable
	"Sep., 2010"	"2010/09"	37923	Not Applicable	Not Applicable
	"Oct., 2010"	"2010/10"	40760	Not Applicable	Not Applicable
	"Nov., 2010"	"2010/11"	40947	Not Applicable	Not Applicable
	"Dec., 2010"	"2010/12"	44256	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	45651	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	41398	Not Applicable	Not Applicable
	"Mar., 2011"	"2011/03"	44011	Not Applicable	Not Applicable
	"Apr., 2011"	"2011/04"	41035	Not Applicable	Not Applicable
	"May, 2011"	"2011/05"	41071	Not Applicable	Not Applicable
	"Jun., 2011"	"2011/06"	38872	Not Applicable	Not Applicable
	"Jul., 2011"	"2011/07"	39709	Not Applicable	Not Applicable
	"Aug., 2011"	"2011/08"	39682	Not Applicable	Not Applicable
	"Sep., 2011"	"2011/09"	38327	Not Applicable	Not Applicable
	"Oct., 2011"	"2011/10"	40845	Not Applicable	Not Applicable
	"Nov., 2011"	"2011/11"	40425	Not Applicable	Not Applicable
	"Dec., 2011"	"2011/12"	42827	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	44117	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	40903	Not Applicable	Not Applicable
	"Mar., 2012"	"2012/03"	43549	Not Applicable	Not Applicable
	"Apr., 2012"	"2012/04"	40550	Not Applicable	Not Applicable
	"May, 2012"	"2012/05"	40758	Not Applicable	Not Applicable
	"Jun., 2012"	"2012/06"	39001	Not Applicable	Not Applicable
	"Jul., 2012"	"2012/07"	39588	Not Applicable	Not Applicable
	"Aug., 2012"	"2012/08"	40065	Not Applicable	Not Applicable
	"Sep., 2012"	"2012/09"	39311	Not Applicable	Not Applicable
	"Oct., 2012"	"2012/10"	42247	Not Applicable	Not Applicable
	"Nov., 2012"	"2012/11"	42389	Not Applicable	Not Applicable
	"Dec., 2012"	"2012/12"	46314	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	51063	Not Applicable	Not Applicable
	"Feb., 2013"	"2013/02"	42751	Not Applicable	Not Applicable
	"Mar., 2013"	"2013/03"	45864	Not Applicable	Not Applicable
	"Apr., 2013"	"2013/04"	42930	Not Applicable	Not Applicable
	"May, 2013"	"2013/05"	42125	Not Applicable	Not Applicable
	"Jun., 2013"	"2013/06"	39669	Not Applicable	Not Applicable
	"Jul., 2013"	"2013/07"	40620	Not Applicable	Not Applicable
	"Aug., 2013"	"2013/08"	41044	Not Applicable	Not Applicable
	"Sep., 2013"	"2013/09"	39644	Not Applicable	Not Applicable
	"Oct., 2013"	"2013/10"	42925	Not Applicable	Not Applicable
	"Nov., 2013"	"2013/11"	42508	Not Applicable	Not Applicable
	"Dec., 2013"	"2013/12"	46091	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	48890	Not Applicable	Not Applicable
	"Feb., 2014"	"2014/02"	42771	Not Applicable	Not Applicable
	"Mar., 2014"	"2014/03"	46442	Not Applicable	Not Applicable
