"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",25215,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",23254,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",25223,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",22075,Not Applicable,Not Applicable
,"May, 1999","1999/05",21680,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",20198,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",20935,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",20142,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",20126,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",21749,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",21213,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",24095,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",26484,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",21987,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",22282,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",20890,Not Applicable,Not Applicable
,"May, 2000","2000/05",21201,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",20012,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",20418,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",20270,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",20140,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",21487,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",21276,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",23023,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",23619,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",20995,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",22471,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",21373,Not Applicable,Not Applicable
,"May, 2001","2001/05",21188,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",20306,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",20179,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",20093,Not Applicable,Not Applicable
