"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	31	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	26	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	30	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	24	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	31	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	35	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	29	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	37	Not Applicable	Not Applicable
	"Sep., 1999"	"1999/09"	31	Not Applicable	Not Applicable
	"Oct., 1999"	"1999/10"	25	Not Applicable	Not Applicable
	"Nov., 1999"	"1999/11"	30	Not Applicable	Not Applicable
	"Dec., 1999"	"1999/12"	27	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	44	Not Applicable	Not Applicable
	"Feb., 2000"	"2000/02"	30	Not Applicable	Not Applicable
	"Mar., 2000"	"2000/03"	38	Not Applicable	Not Applicable
	"Apr., 2000"	"2000/04"	33	Not Applicable	Not Applicable
	"May, 2000"	"2000/05"	25	Not Applicable	Not Applicable
	"Jun., 2000"	"2000/06"	21	Not Applicable	Not Applicable
	"Jul., 2000"	"2000/07"	26	Not Applicable	Not Applicable
	"Aug., 2000"	"2000/08"	33	Not Applicable	Not Applicable
	"Sep., 2000"	"2000/09"	27	Not Applicable	Not Applicable
	"Oct., 2000"	"2000/10"	26	Not Applicable	Not Applicable
	"Nov., 2000"	"2000/11"	26	Not Applicable	Not Applicable
	"Dec., 2000"	"2000/12"	27	Not Applicable	Not Applicable
	"Jan., 2001"	"2001/01"	29	Not Applicable	Not Applicable
	"Feb., 2001"	"2001/02"	33	Not Applicable	Not Applicable
	"Mar., 2001"	"2001/03"	47	Not Applicable	Not Applicable
	"Apr., 2001"	"2001/04"	33	Not Applicable	Not Applicable
	"May, 2001"	"2001/05"	42	Not Applicable	Not Applicable
	"Jun., 2001"	"2001/06"	32	Not Applicable	Not Applicable
	"Jul., 2001"	"2001/07"	32	Not Applicable	Not Applicable
	"Aug., 2001"	"2001/08"	40	Not Applicable	Not Applicable
	"Sep., 2001"	"2001/09"	30	Not Applicable	Not Applicable
	"Oct., 2001"	"2001/10"	42	Not Applicable	Not Applicable
	"Nov., 2001"	"2001/11"	36	Not Applicable	Not Applicable
	"Dec., 2001"	"2001/12"	26	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	27	Not Applicable	Not Applicable
	"Feb., 2002"	"2002/02"	37	Not Applicable	Not Applicable
	"Mar., 2002"	"2002/03"	22	Not Applicable	Not Applicable
	"Apr., 2002"	"2002/04"	38	Not Applicable	Not Applicable
	"May, 2002"	"2002/05"	17	Not Applicable	Not Applicable
	"Jun., 2002"	"2002/06"	33	Not Applicable	Not Applicable
