"Notes","Month","Month Code","State","State Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01","Alabama","01",3942,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Alaska","02",207,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Arizona","04",3700,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Arkansas","05",2599,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","California","06",20692,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Colorado","08",2286,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Connecticut","09",2876,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Delaware","10",604,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","District of Columbia","11",536,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Florida","12",14592,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Georgia","13",5637,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Hawaii","15",747,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Idaho","16",759,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Illinois","17",10071,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Indiana","18",5128,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Iowa","19",2579,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Kansas","20",2171,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Kentucky","21",3480,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Louisiana","22",3630,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Maine","23",1100,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Maryland","24",3729,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Massachusetts","25",5230,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Michigan","26",7793,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Minnesota","27",3529,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Mississippi","28",2380,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Missouri","29",4818,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Montana","30",676,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Nebraska","31",1399,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Nevada","32",1382,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","New Hampshire","33",881,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","New Jersey","34",7592,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","New Mexico","35",1212,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","New York","36",16047,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","North Carolina","37",6004,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","North Dakota","38",543,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Ohio","39",9887,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Oklahoma","40",3145,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Oregon","41",2528,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Pennsylvania","42",12516,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Rhode Island","44",930,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","South Carolina","45",3274,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","South Dakota","46",625,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Tennessee","47",4686,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Texas","48",13094,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Utah","49",1083,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Vermont","50",446,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Virginia","51",4903,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Washington","53",3783,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","West Virginia","54",1864,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Wisconsin","55",4310,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Wyoming","56",357,Not Applicable,Not Applicable
"Total","Jan., 1999","1999/01",,,217982,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Alabama","01",3471,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Alaska","02",200,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Arizona","04",3627,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Arkansas","05",2159,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","California","06",19042,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Colorado","08",2347,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Connecticut","09",2588,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Delaware","10",561,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","District of Columbia","11",516,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Florida","12",13145,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Georgia","13",4893,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Hawaii","15",668,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Idaho","16",807,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Illinois","17",9168,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Indiana","18",4680,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Iowa","19",2382,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Kansas","20",1995,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Kentucky","21",3174,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Louisiana","22",3218,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Maine","23",1118,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Maryland","24",3842,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Massachusetts","25",5094,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Michigan","26",7077,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Minnesota","27",3244,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Mississippi","28",2267,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Missouri","29",4615,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Montana","30",707,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Nebraska","31",1351,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Nevada","32",1149,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","New Hampshire","33",807,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","New Jersey","34",6227,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","New Mexico","35",1191,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","New York","36",13650,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","North Carolina","37",5737,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","North Dakota","38",533,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Ohio","39",9094,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Oklahoma","40",2856,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Oregon","41",2562,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Pennsylvania","42",11308,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Rhode Island","44",863,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","South Carolina","45",2892,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","South Dakota","46",543,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Tennessee","47",4160,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Texas","48",12293,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Utah","49",1017,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Vermont","50",436,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Virginia","51",4684,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Washington","53",3748,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","West Virginia","54",1778,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Wisconsin","55",3907,Not Applicable,Not Applicable
,"Feb., 1999","1999/02","Wyoming","56",303,Not Applicable,Not Applicable
"Total","Feb., 1999","1999/02",,,199694,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Alabama","01",4213,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Alaska","02",208,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Arizona","04",3584,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Arkansas","05",2642,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","California","06",19709,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Colorado","08",2415,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Connecticut","09",2614,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Delaware","10",619,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","District of Columbia","11",527,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Florida","12",14765,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Georgia","13",5621,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Hawaii","15",677,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Idaho","16",835,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Illinois","17",10027,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Indiana","18",5382,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Iowa","19",2752,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Kansas","20",2259,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Kentucky","21",3898,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Louisiana","22",3672,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Maine","23",1123,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Maryland","24",4005,Not Applicable,Not Applicable
,"Mar., 1999","1999/03","Massachusetts","25",5077,Not Applicable,Not Applicable
