"Notes","Month","Month Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"Jan., 2018","2018/01","Alabama","01",221,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Alaska","02",33,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Arizona","04",257,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Arkansas","05",133,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","California","06",991,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Colorado","08",166,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Connecticut","09",85,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Delaware","10",27,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","District of Columbia","11",17,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Florida","12",702,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Georgia","13",337,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Hawaii","15",30,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Idaho","16",43,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Illinois","17",391,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Indiana","18",220,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Iowa","19",56,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Kansas","20",94,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Kentucky","21",176,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Louisiana","22",187,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Maine","23",34,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Maryland","24",231,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Massachusetts","25",236,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Michigan","26",344,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Minnesota","27",124,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Mississippi","28",116,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Missouri","29",234,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Montana","30",45,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Nebraska","31",42,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Nevada","32",94,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","New Hampshire","33",30,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","New Jersey","34",269,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","New Mexico","35",87,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","New York","36",450,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","North Carolina","37",336,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","North Dakota","38",26,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Ohio","39",416,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Oklahoma","40",151,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Oregon","41",95,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Pennsylvania","42",473,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Rhode Island","44",23,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","South Carolina","45",170,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","South Dakota","46",29,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Tennessee","47",276,Not Applicable,Not Applicable
