"Notes","Month","Month Code","State","State Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01","Alabama","01",10,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Alaska","02",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Arizona","04",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Arkansas","05",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","California","06",37,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Colorado","08",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Connecticut","09",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Delaware","10",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","District of Columbia","11",0,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Florida","12",11,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Georgia","13",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Hawaii","15",0,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Idaho","16",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Illinois","17",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Indiana","18",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Iowa","19",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Kansas","20",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Kentucky","21",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Louisiana","22",14,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Maine","23",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Maryland","24",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Massachusetts","25",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Michigan","26",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Minnesota","27",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Mississippi","28",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Missouri","29",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Montana","30",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Nebraska","31",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Nevada","32",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","New Hampshire","33",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","New Jersey","34",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","New Mexico","35",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","New York","36",15,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","North Carolina","37",Suppressed,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","North Dakota","38",0,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Ohio","39",10,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Oklahoma","40",Suppressed,Not Applicable,Not Applicable
