"Notes","Month","Month Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"Jan., 2018","2018/01","Alabama","01",5451,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Alaska","02",383,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Arizona","04",5836,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Arkansas","05",3196,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","California","06",25946,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Colorado","08",3453,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Connecticut","09",2790,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Delaware","10",846,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","District of Columbia","11",465,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Florida","12",18704,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Georgia","13",8350,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Hawaii","15",941,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Idaho","16",1234,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Illinois","17",10508,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Indiana","18",6303,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Iowa","19",2643,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Kansas","20",2524,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Kentucky","21",4663,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Louisiana","22",4654,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Maine","23",1268,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Maryland","24",4608,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Massachusetts","25",5330,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Michigan","26",9014,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Minnesota","27",3967,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Mississippi","28",3218,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Missouri","29",6273,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Montana","30",808,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Nebraska","31",1520,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Nevada","32",2392,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","New Hampshire","33",1115,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","New Jersey","34",6886,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","New Mexico","35",1683,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","New York","36",14505,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","North Carolina","37",8891,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","North Dakota","38",555,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Ohio","39",11951,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Oklahoma","40",4049,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Oregon","41",3250,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Pennsylvania","42",12360,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Rhode Island","44",885,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","South Carolina","45",4810,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","South Dakota","46",671,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Tennessee","47",6902,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Texas","48",20281,Not Applicable,Not Applicable
