"Notes","Month","Month Code","State","State Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01","Alabama","01",4136,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Alaska","02",225,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Arizona","04",3878,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Arkansas","05",2720,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","California","06",21599,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Colorado","08",2380,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Connecticut","09",2982,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Delaware","10",632,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","District of Columbia","11",574,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Florida","12",15205,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Georgia","13",5922,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Hawaii","15",776,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Idaho","16",787,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Illinois","17",10528,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Indiana","18",5357,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Iowa","19",2669,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Kansas","20",2237,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Kentucky","21",3641,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Louisiana","22",3818,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Maine","23",1149,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Maryland","24",3901,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Massachusetts","25",5433,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Michigan","26",8149,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Minnesota","27",3659,Not Applicable,Not Applicable
,"Jan., 1999","1999/01","Mississippi","28",2500,Not Applicable,Not Applicable
