"Notes","MMWR Week","MMWR Week Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01","Alabama","01",1081,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Alaska","02",65,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Arizona","04",1304,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Arkansas","05",648,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","California","06",5967,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Colorado","08",716,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Connecticut","09",591,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Delaware","10",183,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","District of Columbia","11",106,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Florida","12",3729,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Georgia","13",1641,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Hawaii","15",234,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Idaho","16",277,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Illinois","17",2281,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Indiana","18",1298,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Iowa","19",565,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Kansas","20",540,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Kentucky","21",920,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Louisiana","22",1003,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Maine","23",267,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Maryland","24",941,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Massachusetts","25",1164,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Michigan","26",1924,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Minnesota","27",858,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Mississippi","28",697,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Missouri","29",1310,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Montana","30",162,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Nebraska","31",356,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Nevada","32",501,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","New Hampshire","33",235,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","New Jersey","34",1474,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","New Mexico","35",357,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","New York","36",3180,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","North Carolina","37",1799,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","North Dakota","38",134,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Ohio","39",2532,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Oklahoma","40",828,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Oregon","41",695,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Pennsylvania","42",2566,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Rhode Island","44",194,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","South Carolina","45",917,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","South Dakota","46",133,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Tennessee","47",1398,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Texas","48",4287,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Utah","49",346,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Vermont","50",113,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Virginia","51",1417,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Washington","53",1039,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","West Virginia","54",531,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Wisconsin","55",1030,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Wyoming","56",96,Not Applicable,Not Applicable
"Total","2018 Week 01 ending January 06, 2018","2018/01",,,56630,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Alabama","01",1319,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Alaska","02",104,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Arizona","04",1473,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Arkansas","05",763,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","California","06",6768,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Colorado","08",849,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Connecticut","09",786,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Delaware","10",193,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","District of Columbia","11",126,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Florida","12",4515,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Georgia","13",2033,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Hawaii","15",245,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Idaho","16",312,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Illinois","17",2723,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Indiana","18",1546,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Iowa","19",686,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Kansas","20",634,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Kentucky","21",1194,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Louisiana","22",1111,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Maine","23",316,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Maryland","24",1170,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Massachusetts","25",1418,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Michigan","26",2170,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Minnesota","27",1034,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Mississippi","28",775,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Missouri","29",1540,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Montana","30",212,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Nebraska","31",363,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Nevada","32",593,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","New Hampshire","33",276,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","New Jersey","34",1775,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","New Mexico","35",399,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","New York","36",3811,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","North Carolina","37",2174,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","North Dakota","38",137,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Ohio","39",3062,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Oklahoma","40",972,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Oregon","41",830,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Pennsylvania","42",3156,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Rhode Island","44",236,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","South Carolina","45",1134,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","South Dakota","46",151,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Tennessee","47",1678,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Texas","48",4975,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Utah","49",378,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Vermont","50",142,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Virginia","51",1538,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Washington","53",1293,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","West Virginia","54",579,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Wisconsin","55",1168,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Wyoming","56",93,Not Applicable,Not Applicable
"Total","2018 Week 02 ending January 13, 2018","2018/02",,,66928,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Alabama","01",1285,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Alaska","02",95,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Arizona","04",1325,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Arkansas","05",777,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","California","06",6273,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Colorado","08",805,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Connecticut","09",669,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Delaware","10",208,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","District of Columbia","11",99,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Florida","12",4572,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Georgia","13",1932,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Hawaii","15",230,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Idaho","16",269,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Illinois","17",2506,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Indiana","18",1522,Not Applicable,Not Applicable
