"Notes","MMWR Week","MMWR Week Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01","Alabama","01",231,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Alaska","02",12,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Arizona","04",218,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Arkansas","05",118,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","California","06",1036,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Colorado","08",121,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Connecticut","09",97,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Delaware","10",30,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","District of Columbia","11",23,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Florida","12",707,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Georgia","13",346,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Hawaii","15",52,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Idaho","16",51,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Illinois","17",408,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Indiana","18",230,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Iowa","19",102,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Kansas","20",105,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Kentucky","21",183,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Louisiana","22",197,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Maine","23",58,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Maryland","24",161,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Massachusetts","25",210,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Michigan","26",347,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Minnesota","27",147,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Mississippi","28",136,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Missouri","29",265,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Montana","30",32,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Nebraska","31",68,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Nevada","32",116,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","New Hampshire","33",39,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","New Jersey","34",257,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","New Mexico","35",73,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","New York","36",568,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","North Carolina","37",376,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","North Dakota","38",22,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Ohio","39",476,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Oklahoma","40",171,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Oregon","41",140,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Pennsylvania","42",448,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Rhode Island","44",32,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","South Carolina","45",187,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","South Dakota","46",25,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Tennessee","47",320,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Texas","48",784,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Utah","49",59,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Vermont","50",24,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Virginia","51",273,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Washington","53",206,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","West Virginia","54",120,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Wisconsin","55",178,Not Applicable,Not Applicable
,"2018 Week 01 ending January 06, 2018","2018/01","Wyoming","56",14,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Alabama","01",279,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Alaska","02",28,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Arizona","04",277,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Arkansas","05",169,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","California","06",1181,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Colorado","08",152,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Connecticut","09",122,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Delaware","10",42,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","District of Columbia","11",22,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Florida","12",886,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Georgia","13",439,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Hawaii","15",47,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Idaho","16",70,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Illinois","17",462,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Indiana","18",289,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Iowa","19",117,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Kansas","20",101,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Kentucky","21",230,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Louisiana","22",237,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Maine","23",66,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Maryland","24",196,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Massachusetts","25",251,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Michigan","26",432,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Minnesota","27",160,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Mississippi","28",182,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Missouri","29",294,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Montana","30",35,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Nebraska","31",60,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Nevada","32",128,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","New Hampshire","33",58,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","New Jersey","34",277,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","New Mexico","35",77,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","New York","36",613,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","North Carolina","37",445,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","North Dakota","38",16,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Ohio","39",590,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Oklahoma","40",207,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Oregon","41",169,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Pennsylvania","42",545,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Rhode Island","44",38,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","South Carolina","45",242,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","South Dakota","46",34,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Tennessee","47",363,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Texas","48",967,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Utah","49",66,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Vermont","50",27,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Virginia","51",323,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Washington","53",223,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","West Virginia","54",115,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Wisconsin","55",210,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02","Wyoming","56",11,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Alabama","01",293,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Alaska","02",11,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Arizona","04",250,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Arkansas","05",160,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","California","06",1110,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Colorado","08",139,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Connecticut","09",98,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Delaware","10",44,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","District of Columbia","11",20,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Florida","12",890,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Georgia","13",417,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Hawaii","15",44,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Idaho","16",43,Not Applicable,Not Applicable
