"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022","Alabama","01",1678,301395,556.7
,"2022 (provisional)","2022","Alaska","02",180,40625,443.1
,"2022 (provisional)","2022","Arizona","04",1747,418520,417.4
,"2022 (provisional)","2022","Arkansas","05",940,176327,533.1
,"2022 (provisional)","2022","California","06",7176,2430013,295.3
,"2022 (provisional)","2022","Colorado","08",1159,355419,326.1
,"2022 (provisional)","2022","Connecticut","09",580,212438,273.0
,"2022 (provisional)","2022","Delaware","10",244,54225,450.0
,"2022 (provisional)","2022","District of Columbia","11",148,36273,408.0
,"2022 (provisional)","2022","Florida","12",4731,1305273,362.5
,"2022 (provisional)","2022","Georgia","13",2677,685774,390.4
,"2022 (provisional)","2022","Hawaii","15",261,83159,313.9
,"2022 (provisional)","2022","Idaho","16",355,108152,328.2
,"2022 (provisional)","2022","Illinois","17",2684,772063,347.6
,"2022 (provisional)","2022","Indiana","18",1874,399900,468.6
,"2022 (provisional)","2022","Iowa","19",616,175075,351.8
,"2022 (provisional)","2022","Kansas","20",620,161634,383.6
,"2022 (provisional)","2022","Kentucky","21",1519,270922,560.7
,"2022 (provisional)","2022","Louisiana","22",1475,259788,567.8
,"2022 (provisional)","2022","Maine","23",316,78928,400.4
,"2022 (provisional)","2022","Maryland","24",1229,371585,330.7
,"2022 (provisional)","2022","Massachusetts","25",1077,410712,262.2
,"2022 (provisional)","2022","Michigan","26",2218,576745,384.6
,"2022 (provisional)","2022","Minnesota","27",902,319464,282.3
,"2022 (provisional)","2022","Mississippi","28",1077,173638,620.3
,"2022 (provisional)","2022","Missouri","29",1534,348770,439.8
,"2022 (provisional)","2022","Montana","30",207,59223,349.5
,"2022 (provisional)","2022","Nebraska","31",339,108509,312.4
,"2022 (provisional)","2022","Nevada","32",772,194333,397.3
,"2022 (provisional)","2022","New Hampshire","33",237,80174,295.6
,"2022 (provisional)","2022","New Jersey","34",1629,581917,279.9
