"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate
,"1999","1999","Alabama","01",6670,357177,1867.4
,"1999","1999","Alaska","02",434,29179,1487.4
,"1999","1999","Arizona","04",5604,386685,1449.2
,"1999","1999","Arkansas","05",3911,220514,1773.6
,"1999","1999","California","06",29789,2112750,1410.0
,"1999","1999","Colorado","08",3516,262248,1340.7
,"1999","1999","Connecticut","09",3310,249252,1328.0
,"1999","1999","Delaware","10",978,61568,1588.5
,"1999","1999","District of Columbia","11",841,40582,2072.3
,"1999","1999","Florida","12",20788,1452505,1431.2
,"1999","1999","Georgia","13",9537,514209,1854.7
,"1999","1999","Hawaii","15",1101,88718,1241.0
,"1999","1999","Idaho","16",1214,86365,1405.7
,"1999","1999","Illinois","17",14181,862358,1644.4
,"1999","1999","Indiana","18",7677,438961,1748.9
,"1999","1999","Iowa","19",3258,226792,1436.6
,"1999","1999","Kansas","20",2894,189499,1527.2
,"1999","1999","Kentucky","21",5934,310797,1909.3
,"1999","1999","Louisiana","22",6060,317481,1908.8
,"1999","1999","Maine","23",1651,103995,1587.6
,"1999","1999","Maryland","24",5927,366789,1615.9
,"1999","1999","Massachusetts","25",6477,452932,1430.0
,"1999","1999","Michigan","26",11762,705032,1668.3
,"1999","1999","Minnesota","27",4254,328077,1296.6
,"1999","1999","Mississippi","28",4216,210797,2000.0
,"1999","1999","Missouri","29",7604,432018,1760.1
,"1999","1999","Montana","30",1053,69772,1509.2
,"1999","1999","Nebraska","31",1875,124152,1510.2
,"1999","1999","Nevada","32",2711,151940,1784.3
,"1999","1999","New Hampshire","33",1279,86858,1472.5
,"1999","1999","New Jersey","34",9497,623750,1522.6
,"1999","1999","New Mexico","35",1862,133185,1398.1
,"1999","1999","New York","36",21030,1410151,1491.3
,"1999","1999","North Carolina","37",10353,603025,1716.8
,"1999","1999","North Dakota","38",673,48102,1399.1
,"1999","1999","Ohio","39",14787,861278,1716.9
,"1999","1999","Oklahoma","40",4820,270852,1779.6
,"1999","1999","Oregon","41",3546,241560,1468.0
,"1999","1999","Pennsylvania","42",16192,999168,1620.5
,"1999","1999","Rhode Island","44",1097,75305,1456.7
,"1999","1999","South Carolina","45",5780,308485,1873.7
,"1999","1999","South Dakota","46",769,55979,1373.7
,"1999","1999","Tennessee","47",8030,440088,1824.6
,"1999","1999","Texas","48",20740,1298067,1597.8
,"1999","1999","Utah","49",1458,115204,1265.6
,"1999","1999","Vermont","50",673,44790,1502.6
,"1999","1999","Virginia","51",8155,497889,1637.9
,"1999","1999","Washington","53",5571,383351,1453.2
,"1999","1999","West Virginia","54",3082,162174,1900.4
,"1999","1999","Wisconsin","55",5611,386656,1451.2
,"1999","1999","Wyoming","56",558,35650,1565.2
"Total","1999","1999",,,320790,20234711,1585.3
,"2000","2000","Alabama","01",6714,358050,1875.2
,"2000","2000","Alaska","02",430,29953,1435.6
,"2000","2000","Arizona","04",5502,392704,1401.1
,"2000","2000","Arkansas","05",3978,222565,1787.3
,"2000","2000","California","06",28960,2131376,1358.7
,"2000","2000","Colorado","08",3518,265807,1323.5
,"2000","2000","Connecticut","09",3475,249208,1394.4
,"2000","2000","Delaware","10",969,62151,1559.1
,"2000","2000","District of Columbia","11",846,40505,2088.6
,"2000","2000","Florida","12",20309,1464991,1386.3
,"2000","2000","Georgia","13",9484,522439,1815.3
,"2000","2000","Hawaii","15",1146,89247,1284.1
,"2000","2000","Idaho","16",1214,87674,1384.7
,"2000","2000","Illinois","17",13585,860329,1579.0
,"2000","2000","Indiana","18",7615,439412,1733.0
,"2000","2000","Iowa","19",3123,225733,1383.5
,"2000","2000","Kansas","20",2796,188693,1481.8
