"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022","Alabama","01",4883,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Alaska","02",325,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Arizona","04",6784,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Arkansas","05",3034,Not Applicable,Not Applicable
,"2022 (provisional)","2022","California","06",35359,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Colorado","08",4798,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Connecticut","09",4677,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Delaware","10",1061,Not Applicable,Not Applicable
,"2022 (provisional)","2022","District of Columbia","11",413,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Florida","12",26133,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Georgia","13",7769,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Hawaii","15",1693,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Idaho","16",1766,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Illinois","17",13116,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Indiana","18",7057,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Iowa","19",4113,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Kansas","20",3449,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Kentucky","21",4404,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Louisiana","22",4156,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Maine","23",1977,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Maryland","24",5758,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Massachusetts","25",8177,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Michigan","26",11446,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Minnesota","27",6173,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Mississippi","28",2777,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Missouri","29",6714,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Montana","30",1216,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Nebraska","31",2351,Not Applicable,Not Applicable
,"2022 (provisional)","2022","Nevada","32",2273,Not Applicable,Not Applicable
,"2022 (provisional)","2022","New Hampshire","33",1687,Not Applicable,Not Applicable
