"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01",712,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02",790,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03",822,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04",878,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05",830,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06",799,Not Applicable,Not Applicable
,"2018 Week 07 ending February 17, 2018","2018/07",827,Not Applicable,Not Applicable
,"2018 Week 08 ending February 24, 2018","2018/08",807,Not Applicable,Not Applicable
,"2018 Week 09 ending March 03, 2018","2018/09",754,Not Applicable,Not Applicable
,"2018 Week 10 ending March 10, 2018","2018/10",822,Not Applicable,Not Applicable
,"2018 Week 11 ending March 17, 2018","2018/11",772,Not Applicable,Not Applicable
,"2018 Week 12 ending March 24, 2018","2018/12",793,Not Applicable,Not Applicable
,"2018 Week 13 ending March 31, 2018","2018/13",769,Not Applicable,Not Applicable
,"2018 Week 14 ending April 07, 2018","2018/14",752,Not Applicable,Not Applicable
,"2018 Week 15 ending April 14, 2018","2018/15",747,Not Applicable,Not Applicable
,"2018 Week 16 ending April 21, 2018","2018/16",796,Not Applicable,Not Applicable
,"2018 Week 17 ending April 28, 2018","2018/17",764,Not Applicable,Not Applicable
,"2018 Week 18 ending May 05, 2018","2018/18",775,Not Applicable,Not Applicable
,"2018 Week 19 ending May 12, 2018","2018/19",875,Not Applicable,Not Applicable
,"2018 Week 20 ending May 19, 2018","2018/20",780,Not Applicable,Not Applicable
,"2018 Week 21 ending May 26, 2018","2018/21",778,Not Applicable,Not Applicable
,"2018 Week 22 ending June 02, 2018","2018/22",845,Not Applicable,Not Applicable
,"2018 Week 23 ending June 09, 2018","2018/23",786,Not Applicable,Not Applicable
,"2018 Week 24 ending June 16, 2018","2018/24",800,Not Applicable,Not Applicable
,"2018 Week 25 ending June 23, 2018","2018/25",815,Not Applicable,Not Applicable
,"2018 Week 26 ending June 30, 2018","2018/26",755,Not Applicable,Not Applicable
,"2018 Week 27 ending July 07, 2018","2018/27",879,Not Applicable,Not Applicable
,"2018 Week 28 ending July 14, 2018","2018/28",792,Not Applicable,Not Applicable
,"2018 Week 29 ending July 21, 2018","2018/29",789,Not Applicable,Not Applicable
,"2018 Week 30 ending July 28, 2018","2018/30",838,Not Applicable,Not Applicable
,"2018 Week 31 ending August 04, 2018","2018/31",772,Not Applicable,Not Applicable
,"2018 Week 32 ending August 11, 2018","2018/32",775,Not Applicable,Not Applicable
,"2018 Week 33 ending August 18, 2018","2018/33",732,Not Applicable,Not Applicable
,"2018 Week 34 ending August 25, 2018","2018/34",790,Not Applicable,Not Applicable
,"2018 Week 35 ending September 01, 2018","2018/35",784,Not Applicable,Not Applicable
,"2018 Week 36 ending September 08, 2018","2018/36",782,Not Applicable,Not Applicable
,"2018 Week 37 ending September 15, 2018","2018/37",769,Not Applicable,Not Applicable
,"2018 Week 38 ending September 22, 2018","2018/38",825,Not Applicable,Not Applicable
,"2018 Week 39 ending September 29, 2018","2018/39",817,Not Applicable,Not Applicable
,"2018 Week 40 ending October 06, 2018","2018/40",783,Not Applicable,Not Applicable
,"2018 Week 41 ending October 13, 2018","2018/41",776,Not Applicable,Not Applicable
,"2018 Week 42 ending October 20, 2018","2018/42",805,Not Applicable,Not Applicable
,"2018 Week 43 ending October 27, 2018","2018/43",779,Not Applicable,Not Applicable
,"2018 Week 44 ending November 03, 2018","2018/44",782,Not Applicable,Not Applicable
,"2018 Week 45 ending November 10, 2018","2018/45",790,Not Applicable,Not Applicable
,"2018 Week 46 ending November 17, 2018","2018/46",782,Not Applicable,Not Applicable
,"2018 Week 47 ending November 24, 2018","2018/47",729,Not Applicable,Not Applicable
,"2018 Week 48 ending December 01, 2018","2018/48",743,Not Applicable,Not Applicable
,"2018 Week 49 ending December 08, 2018","2018/49",732,Not Applicable,Not Applicable
,"2018 Week 50 ending December 15, 2018","2018/50",762,Not Applicable,Not Applicable
,"2018 Week 51 ending December 22, 2018","2018/51",735,Not Applicable,Not Applicable
,"2018 Week 52 ending December 29, 2018","2018/52",727,Not Applicable,Not Applicable
,"2018 Week Not Available","2018/99",Suppressed,Not Applicable,Not Applicable
,"2019 Week 01 ending January 05, 2019","2019/01",767,Not Applicable,Not Applicable
