"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	2516	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	2818	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	2660	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	2679	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	2737	Not Applicable	Not Applicable
	"2018 Week 06 ending February 10, 2018"	"2018/06"	2695	Not Applicable	Not Applicable
	"2018 Week 07 ending February 17, 2018"	"2018/07"	2629	Not Applicable	Not Applicable
	"2018 Week 08 ending February 24, 2018"	"2018/08"	2628	Not Applicable	Not Applicable
	"2018 Week 09 ending March 03, 2018"	"2018/09"	2740	Not Applicable	Not Applicable
	"2018 Week 10 ending March 10, 2018"	"2018/10"	2643	Not Applicable	Not Applicable
	"2018 Week 11 ending March 17, 2018"	"2018/11"	2613	Not Applicable	Not Applicable
	"2018 Week 12 ending March 24, 2018"	"2018/12"	2555	Not Applicable	Not Applicable
	"2018 Week 13 ending March 31, 2018"	"2018/13"	2582	Not Applicable	Not Applicable
	"2018 Week 14 ending April 07, 2018"	"2018/14"	2690	Not Applicable	Not Applicable
	"2018 Week 15 ending April 14, 2018"	"2018/15"	2625	Not Applicable	Not Applicable
	"2018 Week 16 ending April 21, 2018"	"2018/16"	2560	Not Applicable	Not Applicable
	"2018 Week 17 ending April 28, 2018"	"2018/17"	2550	Not Applicable	Not Applicable
	"2018 Week 18 ending May 05, 2018"	"2018/18"	2645	Not Applicable	Not Applicable
	"2018 Week 19 ending May 12, 2018"	"2018/19"	2759	Not Applicable	Not Applicable
	"2018 Week 20 ending May 19, 2018"	"2018/20"	2511	Not Applicable	Not Applicable
	"2018 Week 21 ending May 26, 2018"	"2018/21"	2618	Not Applicable	Not Applicable
	"2018 Week 22 ending June 02, 2018"	"2018/22"	2706	Not Applicable	Not Applicable
	"2018 Week 23 ending June 09, 2018"	"2018/23"	2807	Not Applicable	Not Applicable
	"2018 Week 24 ending June 16, 2018"	"2018/24"	2708	Not Applicable	Not Applicable
	"2018 Week 25 ending June 23, 2018"	"2018/25"	2695	Not Applicable	Not Applicable
	"2018 Week 26 ending June 30, 2018"	"2018/26"	2775	Not Applicable	Not Applicable
	"2018 Week 27 ending July 07, 2018"	"2018/27"	2825	Not Applicable	Not Applicable
