"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",186695,9541498,1956.7
,"2000","2000",181739,9533545,1906.3
,"2001","2001",178232,9562233,1863.9
,"2002","2002",175591,9638481,1821.8
,"2003","2003",174817,9830796,1778.3
,"2004","2004",171984,10073429,1707.3
,"2005","2005",172236,10278627,1675.7
,"2006","2006",171883,10553201,1628.7
,"2007","2007",174991,10970235,1595.1
,"2008","2008",183450,11594347,1582.2
,"2009","2009",185771,12092377,1536.3
,"2010","2010",189962,12435263,1527.6
,"2011","2011",193475,12873788,1502.9
,"2012","2012",205490,13977353,1470.2
,"2013","2013",214509,14608717,1468.4
,"2014","2014",222834,15325266,1454.0
,"2015","2015",235482,16067468,1465.6
,"2016","2016",246655,16820083,1466.4
,"2017","2017",248087,16836381,1473.5
,"2018","2018",251246,17086893,1470.4
,"2019","2019",254412,17455001,1457.5
,"2020 ","2020",306388,17873667,1714.2
"Total",,,4525929,285028649,1587.9
