"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",356,Not Applicable,Not Applicable
,"2000","2000",356,Not Applicable,Not Applicable
,"2001","2001",422,Not Applicable,Not Applicable
,"2002","2002",357,Not Applicable,Not Applicable
,"2003","2003",342,Not Applicable,Not Applicable
,"2004","2004",346,Not Applicable,Not Applicable
,"2005","2005",255,Not Applicable,Not Applicable
,"2006","2006",220,Not Applicable,Not Applicable
,"2007","2007",201,Not Applicable,Not Applicable
,"2008","2008",147,Not Applicable,Not Applicable
,"2009","2009",255,Not Applicable,Not Applicable
,"2010","2010",126,Not Applicable,Not Applicable
,"2011","2011",134,Not Applicable,Not Applicable
,"2012","2012",147,Not Applicable,Not Applicable
,"2013","2013",132,Not Applicable,Not Applicable
,"2014","2014",163,Not Applicable,Not Applicable
,"2015","2015",138,Not Applicable,Not Applicable
,"2016","2016",137,Not Applicable,Not Applicable
,"2017","2017",129,Not Applicable,Not Applicable
,"2018","2018",144,Not Applicable,Not Applicable
,"2019","2019",147,Not Applicable,Not Applicable
,"2020 ","2020",116,Not Applicable,Not Applicable
"Total",,,4770,Not Applicable,Not Applicable
