"Notes"	"Residence County"	"Residence County Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Barbour County, WV"	"54001"	"2020 Week 33 ending August 15, 2020"	"2020/33"	10	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2021 Week 04 ending January 30, 2021"	"2021/04"	13	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2021 Week 19 ending May 15, 2021"	"2021/19"	10	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2021 Week 47 ending November 27, 2021"	"2021/47"	10	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2021 Week 49 ending December 11, 2021"	"2021/49"	11	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2022 Week 04 ending January 29, 2022 (provisional)"	"2022/04"	11	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 01 ending January 06, 2018"	"2018/01"	19	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 02 ending January 13, 2018"	"2018/02"	25	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 03 ending January 20, 2018"	"2018/03"	31	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 04 ending January 27, 2018"	"2018/04"	28	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 05 ending February 03, 2018"	"2018/05"	25	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 06 ending February 10, 2018"	"2018/06"	22	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 07 ending February 17, 2018"	"2018/07"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 08 ending February 24, 2018"	"2018/08"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 09 ending March 03, 2018"	"2018/09"	23	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 10 ending March 10, 2018"	"2018/10"	26	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 11 ending March 17, 2018"	"2018/11"	27	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 12 ending March 24, 2018"	"2018/12"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 13 ending March 31, 2018"	"2018/13"	21	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 14 ending April 07, 2018"	"2018/14"	26	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 15 ending April 14, 2018"	"2018/15"	23	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 16 ending April 21, 2018"	"2018/16"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 17 ending April 28, 2018"	"2018/17"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 18 ending May 05, 2018"	"2018/18"	24	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 19 ending May 12, 2018"	"2018/19"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 20 ending May 19, 2018"	"2018/20"	21	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 21 ending May 26, 2018"	"2018/21"	16	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 22 ending June 02, 2018"	"2018/22"	23	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 23 ending June 09, 2018"	"2018/23"	13	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 24 ending June 16, 2018"	"2018/24"	25	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 25 ending June 23, 2018"	"2018/25"	20	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 26 ending June 30, 2018"	"2018/26"	16	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 27 ending July 07, 2018"	"2018/27"	29	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 28 ending July 14, 2018"	"2018/28"	22	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 29 ending July 21, 2018"	"2018/29"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 30 ending July 28, 2018"	"2018/30"	17	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 31 ending August 04, 2018"	"2018/31"	16	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 32 ending August 11, 2018"	"2018/32"	26	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 33 ending August 18, 2018"	"2018/33"	27	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 34 ending August 25, 2018"	"2018/34"	22	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 35 ending September 01, 2018"	"2018/35"	17	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 36 ending September 08, 2018"	"2018/36"	25	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 37 ending September 15, 2018"	"2018/37"	13	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 39 ending September 29, 2018"	"2018/39"	26	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 40 ending October 06, 2018"	"2018/40"	19	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 41 ending October 13, 2018"	"2018/41"	14	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 42 ending October 20, 2018"	"2018/42"	23	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 43 ending October 27, 2018"	"2018/43"	21	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 44 ending November 03, 2018"	"2018/44"	27	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 45 ending November 10, 2018"	"2018/45"	19	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 47 ending November 24, 2018"	"2018/47"	20	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 48 ending December 01, 2018"	"2018/48"	21	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 49 ending December 08, 2018"	"2018/49"	23	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 50 ending December 15, 2018"	"2018/50"	29	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 51 ending December 22, 2018"	"2018/51"	14	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018 Week 52 ending December 29, 2018"	"2018/52"	31	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 01 ending January 05, 2019"	"2019/01"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 02 ending January 12, 2019"	"2019/02"	20	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 03 ending January 19, 2019"	"2019/03"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 04 ending January 26, 2019"	"2019/04"	33	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 05 ending February 02, 2019"	"2019/05"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 06 ending February 09, 2019"	"2019/06"	21	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 07 ending February 16, 2019"	"2019/07"	28	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 08 ending February 23, 2019"	"2019/08"	15	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 09 ending March 02, 2019"	"2019/09"	25	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 10 ending March 09, 2019"	"2019/10"	36	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 11 ending March 16, 2019"	"2019/11"	23	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 12 ending March 23, 2019"	"2019/12"	20	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 13 ending March 30, 2019"	"2019/13"	24	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 14 ending April 06, 2019"	"2019/14"	12	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 15 ending April 13, 2019"	"2019/15"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 16 ending April 20, 2019"	"2019/16"	27	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 17 ending April 27, 2019"	"2019/17"	18	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 18 ending May 04, 2019"	"2019/18"	24	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 19 ending May 11, 2019"	"2019/19"	22	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019 Week 20 ending May 18, 2019"	"2019/20"	26	Not Applicable	Not Applicable
