"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	11269	266463	4229.1
	"Alabama"	"01"	"2000"	"2000"	11234	266888	4209.3
	"Alabama"	"01"	"2001"	"2001"	11052	267751	4127.7
	"Alabama"	"01"	"2002"	"2002"	11065	267563	4135.5
	"Alabama"	"01"	"2003"	"2003"	10924	268073	4075.0
	"Alabama"	"01"	"2004"	"2004"	10747	267350	4019.8
	"Alabama"	"01"	"2005"	"2005"	10741	270008	3978.0
	"Alabama"	"01"	"2006"	"2006"	10564	273520	3862.2
	"Alabama"	"01"	"2007"	"2007"	10224	274543	3724.0
	"Alabama"	"01"	"2008"	"2008"	10304	277974	3706.8
	"Alabama"	"01"	"2009"	"2009"	10248	280767	3650.0
	"Alabama"	"01"	"2010"	"2010"	10354	283700	3649.6
	"Alabama"	"01"	"2011"	"2011"	10457	289857	3607.6
	"Alabama"	"01"	"2012"	"2012"	10492	296567	3537.8
	"Alabama"	"01"	"2013"	"2013"	10927	308003	3547.7
	"Alabama"	"01"	"2014"	"2014"	10998	318097	3457.4
	"Alabama"	"01"	"2015"	"2015"	11452	325325	3520.2
	"Alabama"	"01"	"2016"	"2016"	11687	332315	3516.8
	"Alabama"	"01"	"2017"	"2017"	12153	351798	3454.5
	"Alabama"	"01"	"2018"	"2018"	12767	367780	3471.4
	"Alabama"	"01"	"2019"	"2019"	12937	381813	3388.3
	"Alabama"	"01"	"2020 "	"2020"	15893	396138	4012.0
"Total"	"Alabama"	"01"			248489	6632293	3746.7
	"Alaska"	"02"	"1999"	"1999"	605	16037	3772.5
	"Alaska"	"02"	"2000"	"2000"	656	16744	3917.8
	"Alaska"	"02"	"2001"	"2001"	637	17513	3637.3
	"Alaska"	"02"	"2002"	"2002"	616	17899	3441.5
	"Alaska"	"02"	"2003"	"2003"	710	18317	3876.2
	"Alaska"	"02"	"2004"	"2004"	601	18980	3166.5
	"Alaska"	"02"	"2005"	"2005"	627	19590	3200.6
	"Alaska"	"02"	"2006"	"2006"	670	19847	3375.8
	"Alaska"	"02"	"2007"	"2007"	697	20212	3448.4
	"Alaska"	"02"	"2008"	"2008"	662	20975	3156.1
	"Alaska"	"02"	"2009"	"2009"	669	21564	3102.4
	"Alaska"	"02"	"2010"	"2010"	675	22040	3062.6
	"Alaska"	"02"	"2011"	"2011"	704	23404	3008.0
	"Alaska"	"02"	"2012"	"2012"	721	24969	2887.6
	"Alaska"	"02"	"2013"	"2013"	713	26553	2685.2
	"Alaska"	"02"	"2014"	"2014"	770	27906	2759.3
	"Alaska"	"02"	"2015"	"2015"	846	29448	2872.9
	"Alaska"	"02"	"2016"	"2016"	890	31114	2860.4
	"Alaska"	"02"	"2017"	"2017"	867	34827	2489.4
	"Alaska"	"02"	"2018"	"2018"	933	37370	2496.7
	"Alaska"	"02"	"2019"	"2019"	996	40117	2482.7
	"Alaska"	"02"	"2020 "	"2020"	1171	42567	2751.0
"Total"	"Alaska"	"02"			16436	547993	2999.3
	"Arizona"	"04"	"1999"	"1999"	10357	316282	3274.6
	"Arizona"	"04"	"2000"	"2000"	10382	319035	3254.2
	"Arizona"	"04"	"2001"	"2001"	10156	323987	3134.7
	"Arizona"	"04"	"2002"	"2002"	10325	326542	3161.9
	"Arizona"	"04"	"2003"	"2003"	10176	330372	3080.2
	"Arizona"	"04"	"2004"	"2004"	9748	333722	2921.0
	"Arizona"	"04"	"2005"	"2005"	10220	341494	2992.7
	"Arizona"	"04"	"2006"	"2006"	9974	348094	2865.3
	"Arizona"	"04"	"2007"	"2007"	9604	354480	2709.3
	"Arizona"	"04"	"2008"	"2008"	9626	361962	2659.4
	"Arizona"	"04"	"2009"	"2009"	9656	370913	2603.3
	"Arizona"	"04"	"2010"	"2010"	9753	377287	2585.0
	"Arizona"	"04"	"2011"	"2011"	9916	394145	2515.8
	"Arizona"	"04"	"2012"	"2012"	10219	412886	2475.0
