"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","1999","1999",2204,220728,998.5
,"Alabama","01","2000","2000",2321,225450,1029.5
,"Alabama","01","2001","2001",2291,231202,990.9
,"Alabama","01","2002","2002",2454,248643,987.0
,"Alabama","01","2003","2003",2533,258551,979.7
,"Alabama","01","2004","2004",2739,270380,1013.0
,"Alabama","01","2005","2005",2773,284084,976.1
,"Alabama","01","2006","2006",2904,297745,975.3
,"Alabama","01","2007","2007",2890,298032,969.7
,"Alabama","01","2008","2008",2989,301833,990.3
,"Alabama","01","2009","2009",2957,307017,963.1
,"Alabama","01","2010","2010",3045,311906,976.3
,"Alabama","01","2011","2011",3186,320496,994.1
,"Alabama","01","2012","2012",3249,327489,992.1
,"Alabama","01","2013","2013",3354,333146,1006.8
,"Alabama","01","2014","2014",3460,335287,1032.0
,"Alabama","01","2015","2015",3494,337506,1035.2
,"Alabama","01","2016","2016",3383,338734,998.7
,"Alabama","01","2017","2017",3583,337258,1062.4
,"Alabama","01","2018","2018",3442,336811,1021.9
,"Alabama","01","2019","2019",3358,336320,998.5
,"Alabama","01","2020 ","2020",3929,332661,1181.1
"Total","Alabama","01",,,66538,6591279,1009.5
,"Alaska","02","1999","1999",195,26381,739.2
,"Alaska","02","2000","2000",192,27423,700.1
,"Alaska","02","2001","2001",197,28949,680.5
,"Alaska","02","2002","2002",225,32190,699.0
,"Alaska","02","2003","2003",238,34181,696.3
,"Alaska","02","2004","2004",227,37026,613.1
,"Alaska","02","2005","2005",231,39951,578.2
,"Alaska","02","2006","2006",285,42996,662.9
,"Alaska","02","2007","2007",299,44050,678.8
,"Alaska","02","2008","2008",294,46586,631.1
,"Alaska","02","2009","2009",290,48807,594.2
,"Alaska","02","2010","2010",295,49971,590.3
,"Alaska","02","2011","2011",351,51838,677.1
,"Alaska","02","2012","2012",352,52601,669.2
,"Alaska","02","2013","2013",368,51675,712.1
,"Alaska","02","2014","2014",395,51002,774.5
,"Alaska","02","2015","2015",383,50530,758.0
,"Alaska","02","2016","2016",390,50922,765.9
,"Alaska","02","2017","2017",351,50140,700.0
,"Alaska","02","2018","2018",324,49246,657.9
,"Alaska","02","2019","2019",333,48222,690.6
,"Alaska","02","2020 ","2020",389,46576,835.2
"Total","Alaska","02",,,6604,961263,687.0
,"Arizona","04","1999","1999",1780,229311,776.2
,"Arizona","04","2000","2000",1833,238675,768.0
,"Arizona","04","2001","2001",1862,251367,740.7
,"Arizona","04","2002","2002",1951,273288,713.9
,"Arizona","04","2003","2003",2065,288991,714.6
,"Arizona","04","2004","2004",2167,306685,706.6
,"Arizona","04","2005","2005",2362,328711,718.6
,"Arizona","04","2006","2006",2472,350991,704.3
,"Arizona","04","2007","2007",2423,356562,679.5
,"Arizona","04","2008","2008",2521,361835,696.7
,"Arizona","04","2009","2009",2540,369424,687.6
,"Arizona","04","2010","2010",2677,375268,713.4
,"Arizona","04","2011","2011",2687,385938,696.2
,"Arizona","04","2012","2012",2947,396911,742.5
,"Arizona","04","2013","2013",2932,405877,722.4
,"Arizona","04","2014","2014",2943,414575,709.9
,"Arizona","04","2015","2015",2988,424536,703.8
,"Arizona","04","2016","2016",3164,431930,732.5
,"Arizona","04","2017","2017",3099,435609,711.4
,"Arizona","04","2018","2018",3234,442085,731.5
,"Arizona","04","2019","2019",3213,446731,719.2
,"Arizona","04","2020 ","2020",4109,448906,915.3
"Total","Arizona","04",,,57969,7964206,727.9
,"Arkansas","05","1999","1999",1283,135264,948.5
,"Arkansas","05","2000","2000",1367,139393,980.7
,"Arkansas","05","2001","2001",1369,142212,962.6
,"Arkansas","05","2002","2002",1479,151659,975.2
,"Arkansas","05","2003","2003",1448,156775,923.6
,"Arkansas","05","2004","2004",1486,163147,910.8
,"Arkansas","05","2005","2005",1593,169933,937.4
,"Arkansas","05","2006","2006",1648,177584,928.0
,"Arkansas","05","2007","2007",1597,177053,902.0
,"Arkansas","05","2008","2008",1704,178827,952.9
,"Arkansas","05","2009","2009",1682,181568,926.4
,"Arkansas","05","2010","2010",1707,183960,927.9
,"Arkansas","05","2011","2011",1844,188390,978.8
,"Arkansas","05","2012","2012",1923,191820,1002.5
,"Arkansas","05","2013","2013",1981,193980,1021.2
,"Arkansas","05","2014","2014",1930,194765,990.9
,"Arkansas","05","2015","2015",2085,196389,1061.7
,"Arkansas","05","2016","2016",2123,197906,1072.7
,"Arkansas","05","2017","2017",2058,197723,1040.9
,"Arkansas","05","2018","2018",1953,198163,985.6
,"Arkansas","05","2019","2019",1962,198021,990.8
,"Arkansas","05","2020 ","2020",2326,196283,1185.0
"Total","Arkansas","05",,,38548,3910815,985.7
