"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Arizona","04","1999","1999",41,Not Applicable,Not Applicable
,"Arizona","04","2000","2000",25,Not Applicable,Not Applicable
,"Arizona","04","2001","2001",54,Not Applicable,Not Applicable
,"Arizona","04","2002","2002",43,Not Applicable,Not Applicable
,"Arizona","04","2003","2003",56,Not Applicable,Not Applicable
,"Arizona","04","2004","2004",76,Not Applicable,Not Applicable
,"Arizona","04","2005","2005",36,Not Applicable,Not Applicable
,"Arizona","04","2006","2006",56,Not Applicable,Not Applicable
,"Arizona","04","2007","2007",30,Not Applicable,Not Applicable
,"Arizona","04","2008","2008",10,Not Applicable,Not Applicable
,"Arizona","04","2009","2009",105,Not Applicable,Not Applicable
,"Arizona","04","2011","2011",12,Not Applicable,Not Applicable
,"Arizona","04","2013","2013",17,Not Applicable,Not Applicable
,"California","06","1999","1999",81,Not Applicable,Not Applicable
,"California","06","2000","2000",108,Not Applicable,Not Applicable
,"California","06","2001","2001",103,Not Applicable,Not Applicable
,"California","06","2002","2002",69,Not Applicable,Not Applicable
,"California","06","2003","2003",82,Not Applicable,Not Applicable
,"California","06","2004","2004",57,Not Applicable,Not Applicable
,"California","06","2005","2005",48,Not Applicable,Not Applicable
,"California","06","2006","2006",45,Not Applicable,Not Applicable
,"California","06","2007","2007",43,Not Applicable,Not Applicable
,"California","06","2008","2008",35,Not Applicable,Not Applicable
,"California","06","2009","2009",30,Not Applicable,Not Applicable
,"California","06","2010","2010",28,Not Applicable,Not Applicable
,"California","06","2011","2011",22,Not Applicable,Not Applicable
,"California","06","2012","2012",17,Not Applicable,Not Applicable
,"California","06","2013","2013",24,Not Applicable,Not Applicable
,"California","06","2014","2014",23,Not Applicable,Not Applicable
,"California","06","2015","2015",15,Not Applicable,Not Applicable
,"California","06","2016","2016",25,Not Applicable,Not Applicable
,"California","06","2017","2017",18,Not Applicable,Not Applicable
,"California","06","2018","2018",24,Not Applicable,Not Applicable
,"California","06","2019","2019",34,Not Applicable,Not Applicable
,"California","06","2020 ","2020",27,Not Applicable,Not Applicable
,"District of Columbia","11","2000","2000",17,Not Applicable,Not Applicable
,"District of Columbia","11","2001","2001",21,Not Applicable,Not Applicable
,"District of Columbia","11","2002","2002",16,Not Applicable,Not Applicable
,"Florida","12","1999","1999",51,Not Applicable,Not Applicable
,"Florida","12","2000","2000",34,Not Applicable,Not Applicable
