"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	6585	150858	4365.0
	"Alabama"	"01"	"2019"	"2019"	6601	155814	4236.5
	"Alabama"	"01"	"2020"	"2020"	8057	160349	5024.7
	"Alabama"	"01"	"2021"	"2021"	8474	160361	5284.3
	"Alabama"	"01"	"2022 (provisional)"	"2022"	8199	160361	5112.8
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	2396	160361	1494.1
"Total"	"Alabama"	"01"			40312	948104	4251.9
	"Alaska"	"02"	"2018"	"2018"	462	13893	3325.4
	"Alaska"	"02"	"2019"	"2019"	489	15078	3243.1
	"Alaska"	"02"	"2020"	"2020"	583	15938	3657.9
	"Alaska"	"02"	"2021"	"2021"	700	15913	4398.9
	"Alaska"	"02"	"2022 (provisional)"	"2022"	667	15913	4191.5
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	172	15913	1080.9
"Total"	"Alaska"	"02"			3073	92648	3316.9
	"Arizona"	"04"	"2018"	"2018"	7264	239494	3033.1
	"Arizona"	"04"	"2019"	"2019"	7546	252667	2986.5
	"Arizona"	"04"	"2020"	"2020"	9533	267038	3569.9
	"Arizona"	"04"	"2021"	"2021"	10418	256251	4065.5
	"Arizona"	"04"	"2022 (provisional)"	"2022"	9781	256251	3817.0
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	2976	256251	1161.4
"Total"	"Arizona"	"04"			47518	1527952	3109.9
	"Arkansas"	"05"	"2018"	"2018"	4039	95234	4241.1
	"Arkansas"	"05"	"2019"	"2019"	4104	98087	4184.0
	"Arkansas"	"05"	"2020"	"2020"	4740	100225	4729.4
	"Arkansas"	"05"	"2021"	"2021"	4983	96748	5150.5
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	5158	96748	5331.4
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	1551	96748	1603.1
"Total"	"Arkansas"	"05"			24575	583790	4209.6
	"California"	"06"	"2018"	"2018"	28572	976718	2925.3
	"California"	"06"	"2019"	"2019"	29045	1017681	2854.0
	"California"	"06"	"2020"	"2020"	34896	1052210	3316.4
	"California"	"06"	"2021"	"2021"	36504	1046111	3489.5
	"California"	"06"	"2022 (provisional)"	"2022"	36081	1046111	3449.1
	"California"	"06"	"2023 (provisional and partial)"	"2023"	10846	1046111	1036.8
"Total"	"California"	"06"			175944	6184942	2844.7
	"Colorado"	"08"	"2018"	"2018"	4117	134107	3069.9
	"Colorado"	"08"	"2019"	"2019"	4246	141798	2994.4
	"Colorado"	"08"	"2020"	"2020"	5276	149796	3522.1
	"Colorado"	"08"	"2021"	"2021"	5421	149828	3618.1
	"Colorado"	"08"	"2022 (provisional)"	"2022"	5517	149828	3682.2
	"Colorado"	"08"	"2023 (provisional and partial)"	"2023"	1724	149828	1150.7
"Total"	"Colorado"	"08"			26301	875185	3005.2
	"Connecticut"	"09"	"2018"	"2018"	3191	107386	2971.5
	"Connecticut"	"09"	"2019"	"2019"	3354	112284	2987.1
	"Connecticut"	"09"	"2020"	"2020"	4130	116400	3548.1
	"Connecticut"	"09"	"2021"	"2021"	3962	116528	3400.0
	"Connecticut"	"09"	"2022 (provisional)"	"2022"	3998	116528	3430.9
	"Connecticut"	"09"	"2023 (provisional and partial)"	"2023"	1224	116528	1050.4
"Total"	"Connecticut"	"09"			19859	685654	2896.4
	"Delaware"	"10"	"2018"	"2018"	1155	32805	3520.8
	"Delaware"	"10"	"2019"	"2019"	1106	34652	3191.7
	"Delaware"	"10"	"2020"	"2020"	1421	36546	3888.3
	"Delaware"	"10"	"2021"	"2021"	1403	36734	3819.3
	"Delaware"	"10"	"2022 (provisional)"	"2022"	1499	36734	4080.7
	"Delaware"	"10"	"2023 (provisional and partial)"	"2023"	490	36734	1333.9
"Total"	"Delaware"	"10"			7074	214205	3302.4
	"District of Columbia"	"11"	"2018"	"2018"	459	14419	3183.3
	"District of Columbia"	"11"	"2019"	"2019"	463	15010	3084.6
	"District of Columbia"	"11"	"2020"	"2020"	622	15577	3993.1
	"District of Columbia"	"11"	"2021"	"2021"	556	14783	3761.1
	"District of Columbia"	"11"	"2022 (provisional)"	"2022"	561	14783	3794.9
	"District of Columbia"	"11"	"2023 (provisional and partial)"	"2023"	146	14783	987.6
"Total"	"District of Columbia"	"11"			2807	89355	3141.4
	"Florida"	"12"	"2018"	"2018"	24227	833186	2907.8
	"Florida"	"12"	"2019"	"2019"	24821	870367	2851.8
	"Florida"	"12"	"2020"	"2020"	29344	903122	3249.2
	"Florida"	"12"	"2021"	"2021"	32227	888506	3627.1
	"Florida"	"12"	"2022 (provisional)"	"2022"	30754	888506	3461.3
	"Florida"	"12"	"2023 (provisional and partial)"	"2023"	9503	888506	1069.5
"Total"	"Florida"	"12"			150876	5272193	2861.7
	"Georgia"	"13"	"2018"	"2018"	9982	259740	3843.1
	"Georgia"	"13"	"2019"	"2019"	10260	273561	3750.5
	"Georgia"	"13"	"2020"	"2020"	12500	286294	4366.1
	"Georgia"	"13"	"2021"	"2021"	13501	284558	4744.6
	"Georgia"	"13"	"2022 (provisional)"	"2022"	13029	284558	4578.7
	"Georgia"	"13"	"2023 (provisional and partial)"	"2023"	3756	284558	1319.9
"Total"	"Georgia"	"13"			63028	1673269	3766.8
	"Hawaii"	"15"	"2018"	"2018"	1129	42395	2663.0
	"Hawaii"	"15"	"2019"	"2019"	1146	45499	2518.7
	"Hawaii"	"15"	"2020"	"2020"	1269	48085	2639.1
	"Hawaii"	"15"	"2021"	"2021"	1357	50178	2704.4
	"Hawaii"	"15"	"2022 (provisional)"	"2022"	1556	50178	3101.0
	"Hawaii"	"15"	"2023 (provisional and partial)"	"2023"	458	50178	912.8
"Total"	"Hawaii"	"15"			6915	286513	2413.5
	"Idaho"	"16"	"2018"	"2018"	1705	50168	3398.6
	"Idaho"	"16"	"2019"	"2019"	1881	52941	3553.0
	"Idaho"	"16"	"2020"	"2020"	2110	55797	3781.6
	"Idaho"	"16"	"2021"	"2021"	2303	56494	4076.5
	"Idaho"	"16"	"2022 (provisional)"	"2022"	2346	56494	4152.7
	"Idaho"	"16"	"2023 (provisional and partial)"	"2023"	686	56494	1214.3
"Total"	"Idaho"	"16"			11031	328388	3359.1
