"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",607,303526,200.0
,"Alabama","01","2019","2019",660,309091,213.5
,"Alabama","01","2020","2020",793,318647,248.9
,"Alabama","01","2021","2021",960,331924,289.2
,"Alabama","01","2022 (provisional)","2022",869,331924,261.8
,"Alabama","01","2023 (provisional and partial)","2023",204,331924,61.5
"Total","Alabama","01",,,4093,1927036,212.4
,"Alaska","02","2018","2018",106,57193,185.3
,"Alaska","02","2019","2019",117,57161,204.7
,"Alaska","02","2020","2020",139,57802,240.5
,"Alaska","02","2021","2021",176,57990,303.5
,"Alaska","02","2022 (provisional)","2022",177,57990,305.2
,"Alaska","02","2023 (provisional and partial)","2023",37,57990,63.8
"Total","Alaska","02",,,752,346126,217.3
,"Arizona","04","2018","2018",744,467865,159.0
,"Arizona","04","2019","2019",784,481214,162.9
,"Arizona","04","2020","2020",1162,501041,231.9
,"Arizona","04","2021","2021",1316,498422,264.0
,"Arizona","04","2022 (provisional)","2022",1180,498422,236.7
,"Arizona","04","2023 (provisional and partial)","2023",346,498422,69.4
"Total","Arizona","04",,,5532,2945386,187.8
,"Arkansas","05","2018","2018",344,190091,181.0
,"Arkansas","05","2019","2019",335,191369,175.1
,"Arkansas","05","2020","2020",446,196068,227.5
,"Arkansas","05","2021","2021",530,198793,266.6
,"Arkansas","05","2022 (provisional)","2022",427,198793,214.8
,"Arkansas","05","2023 (provisional and partial)","2023",118,198793,59.4
"Total","Arkansas","05",,,2200,1173907,187.4
,"California","06","2018","2018",2848,2917983,97.6
,"California","06","2019","2019",3072,2957974,103.9
,"California","06","2020","2020",4077,3005343,135.7
,"California","06","2021","2021",4833,3004349,160.9
,"California","06","2022 (provisional)","2022",4563,3004349,151.9
,"California","06","2023 (provisional and partial)","2023",1174,3004349,39.1
"Total","California","06",,,20567,17894347,114.9
,"Colorado","08","2018","2018",569,440515,129.2
,"Colorado","08","2019","2019",586,452194,129.6
,"Colorado","08","2020","2020",742,462331,160.5
,"Colorado","08","2021","2021",921,464675,198.2
,"Colorado","08","2022 (provisional)","2022",854,464675,183.8
,"Colorado","08","2023 (provisional and partial)","2023",196,464675,42.2
"Total","Colorado","08",,,3868,2749065,140.7
,"Connecticut","09","2018","2018",305,222467,137.1
,"Connecticut","09","2019","2019",344,222572,154.6
,"Connecticut","09","2020","2020",397,222900,178.1
