"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",54352,4887871,1112.0
,"Alabama","01","2019","2019",54108,4903185,1103.5
,"Alabama","01","2020","2020",64779,4921532,1316.2
,"Alabama","01","2021","2021",68889,5039877,1366.9
,"Alabama","01","2022 (provisional)","2022",62290,5039877,1235.9
,"Alabama","01","2023 (provisional and partial)","2023",17939,5039877,355.9
"Total","Alabama","01",,,322357,29832219,1080.6
,"Alaska","02","2018","2018",4453,737438,603.8
,"Alaska","02","2019","2019",4613,731545,630.6
,"Alaska","02","2020","2020",5170,731158,707.1
,"Alaska","02","2021","2021",6208,732673,847.3
,"Alaska","02","2022 (provisional)","2022",5712,732673,779.6
,"Alaska","02","2023 (provisional and partial)","2023",1478,732673,201.7
"Total","Alaska","02",,,27634,4398160,628.3
,"Arizona","04","2018","2018",59282,7171646,826.6
,"Arizona","04","2019","2019",60236,7278717,827.6
,"Arizona","04","2020","2020",75747,7421401,1020.7
,"Arizona","04","2021","2021",81442,7276316,1119.3
,"Arizona","04","2022 (provisional)","2022",74077,7276316,1018.1
,"Arizona","04","2023 (provisional and partial)","2023",22103,7276316,303.8
"Total","Arizona","04",,,372887,43700712,853.3
,"Arkansas","05","2018","2018",32336,3013825,1072.9
,"Arkansas","05","2019","2019",32888,3017804,1089.8
,"Arkansas","05","2020","2020",38108,3030522,1257.5
,"Arkansas","05","2021","2021",40070,3025891,1324.2
,"Arkansas","05","2022 (provisional)","2022",37841,3025891,1250.6
,"Arkansas","05","2023 (provisional and partial)","2023",11122,3025891,367.6
"Total","Arkansas","05",,,192365,18139824,1060.5
,"California","06","2018","2018",268818,39557045,679.6
,"California","06","2019","2019",269831,39512223,682.9
,"California","06","2020","2020",319808,39368078,812.4
,"California","06","2021","2021",333249,39237836,849.3
,"California","06","2022 (provisional)","2022",312967,39237836,797.6
,"California","06","2023 (provisional and partial)","2023",92973,39237836,236.9
"Total","California","06",,,1597646,236150854,676.5
,"Colorado","08","2018","2018",38526,5695564,676.4
,"Colorado","08","2019","2019",39390,5758736,684.0
,"Colorado","08","2020","2020",46918,5807719,807.9
,"Colorado","08","2021","2021",48281,5812069,830.7
,"Colorado","08","2022 (provisional)","2022",46769,5812069,804.7
,"Colorado","08","2023 (provisional and partial)","2023",13888,5812069,239.0
"Total","Colorado","08",,,233772,34698226,673.7
,"Connecticut","09","2018","2018",31230,3572665,874.1
,"Connecticut","09","2019","2019",31745,3565287,890.4
,"Connecticut","09","2020","2020",37853,3557006,1064.2
,"Connecticut","09","2021","2021",34333,3605597,952.2
,"Connecticut","09","2022 (provisional)","2022",34535,3605597,957.8
,"Connecticut","09","2023 (provisional and partial)","2023",10148,3605597,281.5
"Total","Connecticut","09",,,179844,21511749,836.0
,"Delaware","10","2018","2018",9433,967171,975.3
,"Delaware","10","2019","2019",9302,973764,955.3
,"Delaware","10","2020","2020",11072,986809,1122.0
,"Delaware","10","2021","2021",11296,1003384,1125.8
,"Delaware","10","2022 (provisional)","2022",11340,1003384,1130.2
,"Delaware","10","2023 (provisional and partial)","2023",3379,1003384,336.8
"Total","Delaware","10",,,55822,5937896,940.1
,"District of Columbia","11","2018","2018",5008,702455,712.9
,"District of Columbia","11","2019","2019",4927,705749,698.1
,"District of Columbia","11","2020","2020",6198,712816,869.5
,"District of Columbia","11","2021","2021",5833,670050,870.5
,"District of Columbia","11","2022 (provisional)","2022",5369,670050,801.3
,"District of Columbia","11","2023 (provisional and partial)","2023",1443,670050,215.4
"Total","District of Columbia","11",,,28778,4131170,696.6
,"Florida","12","2018","2018",205426,21299325,964.5
,"Florida","12","2019","2019",207002,21477737,963.8
,"Florida","12","2020","2020",239685,21733312,1102.8
,"Florida","12","2021","2021",261369,21781128,1200.0
,"Florida","12","2022 (provisional)","2022",239085,21781128,1097.7
,"Florida","12","2023 (provisional and partial)","2023",71814,21781128,329.7
"Total","Florida","12",,,1224381,129853758,942.9
,"Georgia","13","2018","2018",85202,10519475,809.9
,"Georgia","13","2019","2019",85814,10617423,808.2
,"Georgia","13","2020","2020",103075,10710017,962.4
,"Georgia","13","2021","2021",112272,10799566,1039.6
,"Georgia","13","2022 (provisional)","2022",102064,10799566,945.1
,"Georgia","13","2023 (provisional and partial)","2023",28125,10799566,260.4
"Total","Georgia","13",,,516552,64245613,804.0
,"Hawaii","15","2018","2018",11415,1420491,803.6
,"Hawaii","15","2019","2019",11559,1415872,816.4
,"Hawaii","15","2020","2020",12033,1407006,855.2
,"Hawaii","15","2021","2021",12816,1441553,889.0
,"Hawaii","15","2022 (provisional)","2022",13212,1441553,916.5
,"Hawaii","15","2023 (provisional and partial)","2023",3932,1441553,272.8
"Total","Hawaii","15",,,64967,8568028,758.2
,"Idaho","16","2018","2018",14261,1754208,813.0
,"Idaho","16","2019","2019",14430,1787065,807.5
,"Idaho","16","2020","2020",16402,1826913,897.8
,"Idaho","16","2021","2021",18346,1900923,965.1
,"Idaho","16","2022 (provisional)","2022",17160,1900923,902.7
,"Idaho","16","2023 (provisional and partial)","2023",5025,1900923,264.3
"Total","Idaho","16",,,85624,11070955,773.4
,"Illinois","17","2018","2018",110022,12741080,863.5
,"Illinois","17","2019","2019",109096,12671821,860.9
,"Illinois","17","2020","2020",132663,12587530,1053.9
,"Illinois","17","2021","2021",125048,12671469,986.8
,"Illinois","17","2022 (provisional)","2022",122946,12671469,970.3
,"Illinois","17","2023 (provisional and partial)","2023",35607,12671469,281.0
"Total","Illinois","17",,,635382,76014838,835.9
,"Indiana","18","2018","2018",65693,6691878,981.7
,"Indiana","18","2019","2019",66001,6732219,980.4
,"Indiana","18","2020","2020",78194,6754953,1157.6
,"Indiana","18","2021","2021",78317,6805985,1150.7
,"Indiana","18","2022 (provisional)","2022",75339,6805985,1107.0
,"Indiana","18","2023 (provisional and partial)","2023",21017,6805985,308.8
"Total","Indiana","18",,,384561,40597005,947.3
,"Iowa","19","2018","2018",30367,3156145,962.2
,"Iowa","19","2019","2019",30867,3155070,978.3
,"Iowa","19","2020","2020",35981,3163561,1137.4
,"Iowa","19","2021","2021",34215,3193079,1071.5
,"Iowa","19","2022 (provisional)","2022",33953,3193079,1063.3
,"Iowa","19","2023 (provisional and partial)","2023",10086,3193079,315.9
"Total","Iowa","19",,,175469,19054013,920.9
,"Kansas","20","2018","2018",27537,2911505,945.8
,"Kansas","20","2019","2019",27682,2913314,950.2
,"Kansas","20","2020","2020",32060,2913805,1100.3
,"Kansas","20","2021","2021",32029,2934582,1091.4
,"Kansas","20","2022 (provisional)","2022",31538,2934582,1074.7
,"Kansas","20","2023 (provisional and partial)","2023",9554,2934582,325.6
"Total","Kansas","20",,,160400,17542370,914.4
,"Kentucky","21","2018","2018",48707,4468402,1090.0
,"Kentucky","21","2019","2019",48990,4467673,1096.5
,"Kentucky","21","2020","2020",55880,4477251,1248.1
,"Kentucky","21","2021","2021",60303,4509394,1337.3
,"Kentucky","21","2022 (provisional)","2022",57020,4509394,1264.5
,"Kentucky","21","2023 (provisional and partial)","2023",15895,4509394,352.5
"Total","Kentucky","21",,,286795,26941508,1064.5
,"Louisiana","22","2018","2018",46048,4659978,988.2
,"Louisiana","22","2019","2019",45938,4648794,988.2
,"Louisiana","22","2020","2020",56752,4645318,1221.7
,"Louisiana","22","2021","2021",57533,4624047,1244.2
,"Louisiana","22","2022 (provisional)","2022",52176,4624047,1128.4
,"Louisiana","22","2023 (provisional and partial)","2023",12484,4624047,270.0
