"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",1435,607520,236.2
,"Alabama","01","2019","2019",1469,613236,239.5
,"Alabama","01","2020","2020",1765,621519,284.0
,"Alabama","01","2021","2021",2136,644429,331.5
,"Alabama","01","2022 (provisional)","2022",1854,644429,287.7
,"Alabama","01","2023 (provisional and partial)","2023",470,644429,72.9
"Total","Alabama","01",,,9129,3775562,241.8
,"Alaska","02","2018","2018",215,108865,197.5
,"Alaska","02","2019","2019",245,109582,223.6
,"Alaska","02","2020","2020",290,111488,260.1
,"Alaska","02","2021","2021",369,113170,326.1
,"Alaska","02","2022 (provisional)","2022",351,113170,310.2
,"Alaska","02","2023 (provisional and partial)","2023",72,113170,63.6
"Total","Alaska","02",,,1542,669445,230.3
,"Arizona","04","2018","2018",1579,926752,170.4
,"Arizona","04","2019","2019",1720,948195,181.4
,"Arizona","04","2020","2020",2439,973623,250.5
,"Arizona","04","2021","2021",2837,968313,293.0
,"Arizona","04","2022 (provisional)","2022",2520,968313,260.2
,"Arizona","04","2023 (provisional and partial)","2023",722,968313,74.6
"Total","Arizona","04",,,11817,5753509,205.4
,"Arkansas","05","2018","2018",811,381764,212.4
,"Arkansas","05","2019","2019",768,383525,200.2
,"Arkansas","05","2020","2020",1029,387042,265.9
,"Arkansas","05","2021","2021",1214,390816,310.6
,"Arkansas","05","2022 (provisional)","2022",972,390816,248.7
,"Arkansas","05","2023 (provisional and partial)","2023",258,390816,66.0
"Total","Arkansas","05",,,5052,2324779,217.3
,"California","06","2018","2018",6346,5672963,111.9
,"California","06","2019","2019",6668,5738548,116.2
,"California","06","2020","2020",8761,5786851,151.4
,"California","06","2021","2021",10535,5820411,181.0
,"California","06","2022 (provisional)","2022",9474,5820411,162.8
,"California","06","2023 (provisional and partial)","2023",2517,5820411,43.2
"Total","California","06",,,44301,34659595,127.8
,"Colorado","08","2018","2018",1207,855573,141.1
,"Colorado","08","2019","2019",1264,877711,144.0
,"Colorado","08","2020","2020",1551,895468,173.2
,"Colorado","08","2021","2021",1946,907261,214.5
,"Colorado","08","2022 (provisional)","2022",1792,907261,197.5
,"Colorado","08","2023 (provisional and partial)","2023",441,907261,48.6
"Total","Colorado","08",,,8201,5350535,153.3
,"Connecticut","09","2018","2018",643,440343,146.0
,"Connecticut","09","2019","2019",719,442427,162.5
,"Connecticut","09","2020","2020",872,444385,196.2
,"Connecticut","09","2021","2021",896,458674,195.3
,"Connecticut","09","2022 (provisional)","2022",869,458674,189.5
,"Connecticut","09","2023 (provisional and partial)","2023",235,458674,51.2
"Total","Connecticut","09",,,4234,2703177,156.6
,"Delaware","10","2018","2018",268,120933,221.6
,"Delaware","10","2019","2019",309,123143,250.9
,"Delaware","10","2020","2020",308,125996,244.5
,"Delaware","10","2021","2021",344,129376,265.9
,"Delaware","10","2022 (provisional)","2022",310,129376,239.6
,"Delaware","10","2023 (provisional and partial)","2023",82,129376,63.4
"Total","Delaware","10",,,1621,758200,213.8
,"District of Columbia","11","2018","2018",168,143203,117.3
,"District of Columbia","11","2019","2019",172,145835,117.9
,"District of Columbia","11","2020","2020",243,148490,163.6
,"District of Columbia","11","2021","2021",232,138606,167.4
,"District of Columbia","11","2022 (provisional)","2022",219,138606,158.0
,"District of Columbia","11","2023 (provisional and partial)","2023",76,138606,54.8
"Total","District of Columbia","11",,,1110,853346,130.1
,"Florida","12","2018","2018",4652,2670360,174.2
,"Florida","12","2019","2019",4904,2716347,180.5
,"Florida","12","2020","2020",5995,2778537,215.8
,"Florida","12","2021","2021",7422,2816728,263.5
,"Florida","12","2022 (provisional)","2022",6070,2816728,215.5
,"Florida","12","2023 (provisional and partial)","2023",1744,2816728,61.9
"Total","Florida","12",,,30787,16615428,185.3
,"Georgia","13","2018","2018",2297,1410729,162.8
,"Georgia","13","2019","2019",2338,1430695,163.4
,"Georgia","13","2020","2020",3000,1451335,206.7
,"Georgia","13","2021","2021",3744,1475988,253.7
,"Georgia","13","2022 (provisional)","2022",3398,1475988,230.2
,"Georgia","13","2023 (provisional and partial)","2023",675,1475988,45.7
"Total","Georgia","13",,,15452,8720723,177.2
,"Hawaii","15","2018","2018",215,195825,109.8
,"Hawaii","15","2019","2019",266,195002,136.4
,"Hawaii","15","2020","2020",251,193366,129.8
,"Hawaii","15","2021","2021",297,199178,149.1
,"Hawaii","15","2022 (provisional)","2022",253,199178,127.0
,"Hawaii","15","2023 (provisional and partial)","2023",81,199178,40.7
"Total","Hawaii","15",,,1363,1181727,115.3
,"Idaho","16","2018","2018",304,227589,133.6
,"Idaho","16","2019","2019",287,233092,123.1
,"Idaho","16","2020","2020",384,239107,160.6
,"Idaho","16","2021","2021",462,251402,183.8
,"Idaho","16","2022 (provisional)","2022",407,251402,161.9
,"Idaho","16","2023 (provisional and partial)","2023",121,251402,48.1
"Total","Idaho","16",,,1965,1453994,135.1
,"Illinois","17","2018","2018",2483,1720522,144.3
,"Illinois","17","2019","2019",2529,1710821,147.8
,"Illinois","17","2020","2020",3092,1700100,181.9
,"Illinois","17","2021","2021",3387,1718561,197.1
,"Illinois","17","2022 (provisional)","2022",3279,1718561,190.8
,"Illinois","17","2023 (provisional and partial)","2023",897,1718561,52.2
"Total","Illinois","17",,,15667,10287126,152.3
,"Indiana","18","2018","2018",1592,844497,188.5
,"Indiana","18","2019","2019",1645,853494,192.7
,"Indiana","18","2020","2020",2101,860236,244.2
,"Indiana","18","2021","2021",2364,876545,269.7
,"Indiana","18","2022 (provisional)","2022",2136,876545,243.7
,"Indiana","18","2023 (provisional and partial)","2023",463,876545,52.8
"Total","Indiana","18",,,10301,5187862,198.6
,"Iowa","19","2018","2018",462,395533,116.8
,"Iowa","19","2019","2019",522,394368,132.4
,"Iowa","19","2020","2020",636,395256,160.9
,"Iowa","19","2021","2021",657,400860,163.9
,"Iowa","19","2022 (provisional)","2022",619,400860,154.4
,"Iowa","19","2023 (provisional and partial)","2023",153,400860,38.2
"Total","Iowa","19",,,3049,2387737,127.7
,"Kansas","20","2018","2018",582,377821,154.0
,"Kansas","20","2019","2019",565,378131,149.4
,"Kansas","20","2020","2020",687,376599,182.4
,"Kansas","20","2021","2021",819,380593,215.2
,"Kansas","20","2022 (provisional)","2022",826,380593,217.0
,"Kansas","20","2023 (provisional and partial)","2023",223,380593,58.6
"Total","Kansas","20",,,3702,2274330,162.8
,"Kentucky","21","2018","2018",1311,557826,235.0
,"Kentucky","21","2019","2019",1322,558458,236.7
,"Kentucky","21","2020","2020",1775,562560,315.5
,"Kentucky","21","2021","2021",1982,573930,345.3
,"Kentucky","21","2022 (provisional)","2022",1737,573930,302.7
,"Kentucky","21","2023 (provisional and partial)","2023",369,573930,64.3
"Total","Kentucky","21",,,8496,3400634,249.8
,"Louisiana","22","2018","2018",1400,637050,219.8
,"Louisiana","22","2019","2019",1467,638107,229.9
,"Louisiana","22","2020","2020",1900,639001,297.3
,"Louisiana","22","2021","2021",2262,637980,354.6
,"Louisiana","22","2022 (provisional)","2022",1911,637980,299.5
,"Louisiana","22","2023 (provisional and partial)","2023",292,637980,45.8
"Total","Louisiana","22",,,9232,3828098,241.2
,"Maine","23","2018","2018",268,157862,169.8
,"Maine","23","2019","2019",317,160929,197.0
,"Maine","23","2020","2020",340,163828,207.5
,"Maine","23","2021","2021",418,170673,244.9
,"Maine","23","2022 (provisional)","2022",467,170673,273.6
,"Maine","23","2023 (provisional and partial)","2023",116,170673,68.0
"Total","Maine","23",,,1926,994638,193.6
,"Maryland","24","2018","2018",1492,823580,181.2
,"Maryland","24","2019","2019",1618,827633,195.5
,"Maryland","24","2020","2020",1864,833899,223.5
,"Maryland","24","2021","2021",1889,853423,221.3
,"Maryland","24","2022 (provisional)","2022",1717,853423,201.2
,"Maryland","24","2023 (provisional and partial)","2023",472,853423,55.3
"Total","Maryland","24",,,9052,5045381,179.4
,"Massachusetts","25","2018","2018",1396,925134,150.9
,"Massachusetts","25","2019","2019",1318,934749,141.0
,"Massachusetts","25","2020","2020",1568,946415,165.7
,"Massachusetts","25","2021","2021",1649,966642,170.6
,"Massachusetts","25","2022 (provisional)","2022",1551,966642,160.5
,"Massachusetts","25","2023 (provisional and partial)","2023",430,966642,44.5
"Total","Massachusetts","25",,,7912,5706224,138.7
,"Michigan","26","2018","2018",2283,1201887,190.0
,"Michigan","26","2019","2019",2191,1213131,180.6
,"Michigan","26","2020","2020",2654,1229514,215.9
,"Michigan","26","2021","2021",3138,1266132,247.8
,"Michigan","26","2022 (provisional)","2022",2718,1266132,214.7
,"Michigan","26","2023 (provisional and partial)","2023",783,1266132,61.8
"Total","Michigan","26",,,13767,7442928,185.0
,"Minnesota","27","2018","2018",825,768081,107.4
,"Minnesota","27","2019","2019",871,772644,112.7
,"Minnesota","27","2020","2020",1131,774054,146.1
,"Minnesota","27","2021","2021",1358,779368,174.2
